Dutch name,French name,HASC,NUTS,NIS/INS
Aalst,Alost,BE.OV.AL,BE231,41
Aarlen,Arlon,BE.LX.AR,BE341,81
Aat,Ath,BE.HT.AT,BE321,51
Antwerpen,Anvers,BE.AN.AW,BE211,11
Bastenaken,Bastogne,BE.LX.BS,BE342,82
Bergen,Mons,BE.HT.MN,BE323,53
Borgworm,Waremme,BE.LG.WR,BE334,64
Brugge,Bruges,BE.WV.BG,BE251,31
Brussel-Hoofdstad,Bruxelles-Capitale,BE.BU.BR,BE100,21
-,Charleroi,BE.HT.CR,BE322,52
Dendermonde,Termonde,BE.OV.DM,BE232,42
Diksmuide,Dixmude,BE.WV.DK,BE252,32
-,Dinant,BE.NA.DN,BE351,91
Doornik,Tournai,BE.HT.TR,BE327,57
Eeklo,-,BE.OV.EK,BE233,43
Gent,Gand,BE.OV.GT,BE234,44
Halle-Vilvoorde,Hal-Vilvorde,BE.VB.HV,BE241,23
Hasselt,-,BE.LI.HS,BE221,71
Hoei,Huy,BE.LG.HY,BE331,61
Ieper,Ypres,BE.WV.IP,BE253,33
Kortrijk,Courtrai,BE.WV.KR,BE254,34
Leuven,Louvain,BE.VB.LV,BE242,24
Luik,Liège,BE.LG.LG,BE332,62
Maaseik,-,BE.LI.MS,BE222,72
-,Marche-en-Famenne,BE.LX.MR,BE343,83
Mechelen,Malines,BE.AN.MH,BE212,12
Moeskroen,Mouscron,BE.HT.MC,BE324,54
Namen,Namur,BE.NA.NM,BE352,92
-,Neufchâteau,BE.LX.NC,BE344,84
Nijvel,Nivelles,BE.BW.NV,BE310,25
Oostende,Ostende,BE.WV.OS,BE255,35
Oudenaarde,Audenarde,BE.OV.OD,BE235,45
-,Philippeville,BE.NA.PV,BE353,93
Roeselare,Roulers,BE.WV.RS,BE256,36
Sint-Niklaas,Saint-Nicolas,BE.OV.SN,BE236,46
-,Thuin,BE.HT.TN,BE326,56
Tielt,-,BE.WV.TL,BE257,37
Tongeren,Tongres,BE.LI.TG,BE223,73
Turnhout,-,BE.AN.TH,BE213,13
,,,"BE335, BE336",63
Veurne,Furnes,BE.WV.VR,BE258,38
-,Virton,BE.LX.VT,BE345,85
Zinnik,Soignies,BE.HT.SG,BE325,55
