"V1","V2"
"Entités administratives","Code INS"
"ROYAUME","1000"
"RÉGION DE BRUXELLES-CAPITALE","4000"
"Arrondissement de Bruxelles-Capitale","21000"
"Anderlecht","21001"
"Auderghem","21002"
"Berchem-Sainte-Agathe","21003"
"Bruxelles","21004"
"Etterbeek","21005"
"Evere","21006"
"Forest","21007"
"Ganshoren","21008"
"Ixelles","21009"
"Jette","21010"
"Koekelberg","21011"
"Molenbeek-Saint-Jean","21012"
"Saint-Gilles","21013"
"Saint-Josse-ten-Noode","21014"
"Schaerbeek","21015"
"Uccle","21016"
"Watermael-Boitsfort","21017"
"Woluwe-Saint-Lambert","21018"
"Woluwe-Saint-Pierre","21019"
"RÉGION FLAMANDE","2000"
"Province d'Anvers","10000"
"Arrondissement d'Anvers","11000"
"Aartselaar","11001"
"Anvers","11002"
"Boechout","11004"
"Boom","11005"
"Borsbeek","11007"
"Brasschaat","11008"
"Brecht","11009"
"Edegem","11013"
"Essen","11016"
"Hemiksem","11018"
"Hove","11021"
"Kalmthout","11022"
"Kapellen","11023"
"Kontich","11024"
"Lint","11025"
"Malle","11057"
"Mortsel","11029"
"Niel","11030"
"Ranst","11035"
"Rumst","11037"
"Schelle","11038"
"Schilde","11039"
"Schoten","11040"
"Stabroek","11044"
"Wijnegem","11050"
"Wommelgem","11052"
"Wuustwezel","11053"
"Zandhoven","11054"
"Zoersel","11055"
"Zwijndrecht","11056"
"Arrondissement de Malines","12000"
"Berlaar","12002"
"Bonheiden","12005"
"Bornem","12007"
"Duffel","12009"
"Heist-op-den-Berg","12014"
"Lierre","12021"
"Malines","12025"
"Nijlen","12026"
"Putte","12029"
"Puurs","12030"
"Sint-Amands","12034"
"Sint-Katelijne-Waver","12035"
"Willebroek","12040"
"Arrondissement de Turnhout","13000"
"Arendonk","13001"
"Baerle-Duc","13002"
"Balen","13003"
"Beerse","13004"
"Dessel","13006"
"Geel","13008"
"Grobbendonk","13010"
"Herentals","13011"
"Herenthout","13012"
"Herselt","13013"
"Hoogstraten","13014"
"Hulshout","13016"
"Kasterlee","13017"
"Laakdal","13053"
"Lille","13019"
"Meerhout","13021"
"Merksplas","13023"
"Mol","13025"
"Olen","13029"
"Oud-Turnhout","13031"
"Ravels","13035"
"Retie","13036"
"Rijkevorsel","13037"
"Turnhout","13040"
"Vorselaar","13044"
"Vosselaar","13046"
"Westerlo","13049"
"Province du Brabant Flamand","20001"
"Arrondissement de Hal-Vilvorde","23000"
"Affligem","23105"
"Asse","23002"
"Beersel","23003"
"Biévène","23009"
"Dilbeek","23016"
"Drogenbos","23098"
"Gammerages","23023"
"Gooik","23024"
"Grimbergen","23025"
"Hal","23027"
"Herne","23032"
"Hoeilaart","23033"
"Kampenhout","23038"
"Kapelle-op-den-Bos","23039"
"Kraainem","23099"
"Lennik","23104"
"Liedekerke","23044"
"Linkebeek","23100"
"Londerzeel","23045"
"Machelen","23047"
"Meise","23050"
"Merchtem","23052"
"Opwijk","23060"
"Overijse","23062"
"Pepingen","23064"
"Rhode-Saint-Genèse","23101"
"Roosdaal","23097"
"Sint-Pieters-Leeuw","23077"
"Steenokkerzeel","23081"
"Ternat","23086"
"Vilvorde","23088"
"Wemmel","23102"
"Wezembeek-Oppem","23103"
"Zaventem","23094"
"Zemst","23096"
"Arrondissement de Louvain","24000"
"Aarschot","24001"
"Begijnendijk","24007"
"Bekkevoort","24008"
"Bertem","24009"
"Bierbeek","24011"
"Boortmeerbeek","24014"
"Boutersem","24016"
"Diest","24020"
"Geetbets","24028"
"Glabbeek","24137"
"Haacht","24033"
"Herent","24038"
"Hoegaarden","24041"
"Holsbeek","24043"
"Huldenberg","24045"
"Keerbergen","24048"
"Kortenaken","24054"
"Kortenberg","24055"
"Landen","24059"
"Léau","24130"
"Linter","24133"
"Louvain","24062"
"Lubbeek","24066"
"Montaigu-Zichem","24134"
"Oud-Heverlee","24086"
"Rotselaar","24094"
"Tervuren","24104"
"Tielt-Winge","24135"
"Tirlemont","24107"
"Tremelo","24109"
"Province de Flandre Occidentale","30000"
"Arrondissement de Bruges","31000"
"Beernem","31003"
"Blankenberge","31004"
"Bruges","31005"
"Damme","31006"
"Jabbeke","31012"
"Knokke-Heist","31043"
"Oostkamp","31022"
"Torhout","31033"
"Zedelgem","31040"
"Zuienkerke","31042"
"Arrondissement de Courtrai","34000"
"Anzegem","34002"
"Avelgem","34003"
"Courtrai","34022"
"Deerlijk","34009"
"Espierres-Helchin","34043"
"Harelbeke","34013"
"Kuurne","34023"
"Lendelede","34025"
"Menin","34027"
"Waregem","34040"
"Wevelgem","34041"
"Zwevegem","34042"
"Arrondissement de Dixmude","32000"
"Dixmude","32003"
"Houthulst","32006"
"Koekelare","32010"
"Kortemark","32011"
"Lo-Reninge","32030"
"Arrondissement de Furnes","38000"
"Alveringem","38002"
"Furnes","38025"
"Koksijde","38014"
"La Panne","38008"
"Nieuport","38016"
"Arrondissement d'Ostende","35000"
"Bredene","35002"
"De Haan","35029"
"Gistel","35005"
"Ichtegem","35006"
"Middelkerke","35011"
"Ostende","35013"
"Oudenburg","35014"
"Arrondissement de Roulers","36000"
"Hooglede","36006"
"Ingelmunster","36007"
"Izegem","36008"
"Ledegem","36010"
"Lichtervelde","36011"
"Moorslede","36012"
"Roulers","36015"
"Staden","36019"
"Arrondissement de Tielt","37000"
"Ardooie","37020"
"Dentergem","37002"
"Meulebeke","37007"
"Oostrozebeke","37010"
"Pittem","37011"
"Ruiselede","37012"
"Tielt","37015"
"Wielsbeke","37017"
"Wingene","37018"
"Arrondissement d'Ypres","33000"
"Heuvelland","33039"
"Langemark-Poelkapelle","33040"
"Messines","33016"
"Poperinge","33021"
"Vleteren","33041"
"Wervik","33029"
"Ypres","33011"
"Zonnebeke","33037"
"Province de Flandre Orientale","40000"
"Arrondissement d'Alost","41000"
"Alost","41002"
"Denderleeuw","41011"
"Erpe-Mere","41082"
"Grammont","41018"
"Haaltert","41024"
"Herzele","41027"
"Lede","41034"
"Ninove","41048"
"Sint-Lievens-Houtem","41063"
"Zottegem","41081"
"Arrondissement d'Audenarde","45000"
"Audenarde","45035"
"Brakel","45059"
"Horebeke","45062"
"Kluisbergen","45060"
"Kruishoutem","45017"
"Lierde","45063"
"Maarkedal","45064"
"Renaix","45041"
"Wortegem-Petegem","45061"
"Zingem","45057"
"Zwalm","45065"
"Arrondissement d'Eeklo","43000"
"Assenede","43002"
"Eeklo","43005"
"Kaprijke","43007"
"Maldegem","43010"
"Sint-Laureins","43014"
"Zelzate","43018"
"Arrondissement de Gand","44000"
"Aalter","44001"
"De Pinte","44012"
"Deinze","44011"
"Destelbergen","44013"
"Evergem","44019"
"Gand","44021"
"Gavere","44020"
"Knesselare","44029"
"Lochristi","44034"
"Lovendegem","44036"
"Melle","44040"
"Merelbeke","44043"
"Moerbeke","44045"
"Nazareth","44048"
"Nevele","44049"
"Oosterzele","44052"
"Sint-Martens-Latem","44064"
"Waarschoot","44072"
"Wachtebeke","44073"
"Zomergem","44080"
"Zulte","44081"
"Arrondissement de Saint-Nicolas","46000"
"Beveren","46003"
"Kruibeke","46013"
"Lokeren","46014"
"Saint-Nicolas","46021"
"Sint-Gillis-Waas","46020"
"Stekene","46024"
"Tamise","46025"
"Arrondissement de Termonde","42000"
"Berlare","42003"
"Buggenhout","42004"
"Hamme","42008"
"Laarne","42010"
"Lebbeke","42011"
"Termonde","42006"
"Waasmunster","42023"
"Wetteren","42025"
"Wichelen","42026"
"Zele","42028"
"Province du Limbourg","70000"
"Arrondissement de Hasselt","71000"
"As","71002"
"Beringen","71004"
"Bourg-Léopold","71034"
"Diepenbeek","71011"
"Genk","71016"
"Gingelom","71017"
"Halen","71020"
"Ham","71069"
"Hasselt","71022"
"Herck-la-Ville","71024"
"Heusden-Zolder","71070"
"Lummen","71037"
"Nieuwerkerken","71045"
"Opglabbeek","71047"
"Saint-Trond","71053"
"Tessenderlo","71057"
"Zonhoven","71066"
"Zutendaal","71067"
"Arrondissement de Maaseik","72000"
"Bocholt","72003"
"Bree","72004"
"Dilsen-Stokkem","72041"
"Hamont-Achel","72037"
"Hechtel-Eksel","72038"
