"id","municipality_name_fr","code_ins"
"056F11001","Aartselaar","11001"
"056F11002","Anvers","11002"
"056F11004","Boechout","11004"
"056F11005","Boom","11005"
"056F11007","Borsbeek","11007"
"056F11008","Brasschaat","11008"
"056F11009","Brecht","11009"
"056F11013","Edegem","11013"
"056F11016","Essen","11016"
"056F11018","Hemiksem","11018"
"056F11021","Hove","11021"
"056F11022","Kalmthout","11022"
"056F11023","Kapellen","11023"
"056F11024","Kontich","11024"
"056F11025","Lint","11025"
"056F11057","Malle","11057"
"056F11029","Mortsel","11029"
"056F11030","Niel","11030"
"056F11035","Ranst","11035"
"056F11037","Rumst","11037"
"056F11038","Schelle","11038"
"056F11039","Schilde","11039"
"056F11040","Schoten","11040"
"056F11044","Stabroek","11044"
"056F11050","Wijnegem","11050"
"056F11052","Wommelgem","11052"
"056F11053","Wuustwezel","11053"
"056F11054","Zandhoven","11054"
"056F11055","Zoersel","11055"
"056F11056","Zwijndrecht","11056"
