"id","municipality_name_fr","code_ins"
"056W52074","Aiseau-Presles","52074"
"056W52010","Chapelle-lez-Herlaimont","52010"
"056W52011","Charleroi","52011"
"056W52012","Châtelet","52012"
"056W52015","Courcelles","52015"
"056W52018","Farciennes","52018"
"056W52021","Fleurus","52021"
"056W52022","Fontaine-l'Evêque","52022"
"056W52025","Gerpinnes","52025"
"056W52075","Les Bons Villers","52075"
"056W52043","Manage","52043"
"056W52048","Montigny-le-Tilleul","52048"
"056W52055","Pont-à-celles","52055"
"056W52063","Seneffe","52063"
