"id","municipality_name_fr","code_ins"
"056F44001","Aalter","44001"
"056F44012","De Pinte","44012"
"056F44011","Deinze","44011"
"056F44013","Destelbergen","44013"
"056F44019","Evergem","44019"
"056F44021","Gand","44021"
"056F44020","Gavere","44020"
"056F44029","Knesselare","44029"
"056F44034","Lochristi","44034"
"056F44036","Lovendegem","44036"
"056F44040","Melle","44040"
"056F44043","Merelbeke","44043"
"056F44045","Moerbeke","44045"
"056F44048","Nazareth","44048"
"056F44049","Nevele","44049"
"056F44052","Oosterzele","44052"
"056F44064","Sint-Martens-Latem","44064"
"056F44072","Waarschoot","44072"
"056F44073","Wachtebeke","44073"
"056F44080","Zomergem","44080"
"056F44081","Zulte","44081"
