"id","municipality_name_fr","code_ins"
"056F23105","Affligem","23105"
"056F23002","Asse","23002"
"056F23003","Beersel","23003"
"056F23009","Biévène","23009"
"056F23016","Dilbeek","23016"
"056F23098","Drogenbos","23098"
"056F23023","Gammerages","23023"
"056F23024","Gooik","23024"
"056F23025","Grimbergen","23025"
"056F23027","Hal","23027"
"056F23032","Herne","23032"
"056F23033","Hoeilaart","23033"
"056F23038","Kampenhout","23038"
"056F23039","Kapelle-op-den-Bos","23039"
"056F23099","Kraainem","23099"
"056F23104","Lennik","23104"
"056F23044","Liedekerke","23044"
"056F23100","Linkebeek","23100"
"056F23045","Londerzeel","23045"
"056F23047","Machelen","23047"
"056F23050","Meise","23050"
"056F23052","Merchtem","23052"
"056F23060","Opwijk","23060"
"056F23062","Overijse","23062"
"056F23064","Pepingen","23064"
"056F23101","Rhode-Saint-Genèse","23101"
"056F23097","Roosdaal","23097"
"056F23077","Sint-Pieters-Leeuw","23077"
"056F23081","Steenokkerzeel","23081"
"056F23086","Ternat","23086"
"056F23088","Vilvorde","23088"
"056F23102","Wemmel","23102"
"056F23103","Wezembeek-Oppem","23103"
"056F23094","Zaventem","23094"
"056F23096","Zemst","23096"
