"id","municipality_name_fr","code_ins"
"056F71002","As","71002"
"056F71004","Beringen","71004"
"056F71034","Bourg-Léopold","71034"
"056F71011","Diepenbeek","71011"
"056F71016","Genk","71016"
"056F71017","Gingelom","71017"
"056F71020","Halen","71020"
"056F71069","Ham","71069"
"056F71022","Hasselt","71022"
"056F71024","Herck-la-Ville","71024"
"056F71070","Heusden-Zolder","71070"
"056F71037","Lummen","71037"
"056F71045","Nieuwerkerken","71045"
"056F71047","Opglabbeek","71047"
"056F71053","Saint-Trond","71053"
"056F71057","Tessenderlo","71057"
"056F71066","Zonhoven","71066"
"056F71067","Zutendaal","71067"
