"id","municipality_name_fr","code_ins"
"056W61003","Amay","61003"
"056W61079","Anthisnes","61079"
"056W61010","Burdinne","61010"
"056W61012","Clavier","61012"
"056W61080","Engis","61080"
"056W61019","Ferrières","61019"
"056W61024","Hamoir","61024"
"056W61028","Héron","61028"
"056W61031","Huy","61031"
"056W61039","Marchin","61039"
"056W61041","Modave","61041"
"056W61043","Nandrin","61043"
"056W61048","Ouffet","61048"
"056W61081","Tinlot","61081"
"056W61063","Verlaine","61063"
"056W61068","Villers-le-Bouillet","61068"
"056W61072","Wanze","61072"
