"id","municipality_name_fr","code_ins"
"056W62003","Ans","62003"
"056W62006","Awans","62006"
"056W62009","Aywaille","62009"
"056W62011","Bassenge","62011"
"056W62015","Beyne-Heusay","62015"
"056W62119","Blégny","62119"
"056W62022","Chaudfontaine","62022"
"056W62026","Comblain-au-Pont","62026"
"056W62027","Dalhem","62027"
"056W62032","Esneux","62032"
"056W62120","Flémalle","62120"
"056W62038","Fléron","62038"
"056W62118","Grâce-Hollogne","62118"
"056W62051","Herstal","62051"
"056W62060","Juprelle","62060"
"056W62063","Liège","62063"
"056W62121","Neupré","62121"
"056W62079","Oupeye","62079"
"056W62093","Saint-Nicolas","62093"
"056W62096","Seraing","62096"
"056W62099","Soumagne","62099"
"056W62100","Sprimont","62100"
"056W62122","Trooz","62122"
"056W62108","Visé","62108"
