"id","municipality_name_fr","code_ins"
"056F24001","Aarschot","24001"
"056F24007","Begijnendijk","24007"
"056F24008","Bekkevoort","24008"
"056F24009","Bertem","24009"
"056F24011","Bierbeek","24011"
"056F24014","Boortmeerbeek","24014"
"056F24016","Boutersem","24016"
"056F24020","Diest","24020"
"056F24028","Geetbets","24028"
"056F24137","Glabbeek","24137"
"056F24033","Haacht","24033"
"056F24038","Herent","24038"
"056F24041","Hoegaarden","24041"
"056F24043","Holsbeek","24043"
"056F24045","Huldenberg","24045"
"056F24048","Keerbergen","24048"
"056F24054","Kortenaken","24054"
"056F24055","Kortenberg","24055"
"056F24059","Landen","24059"
"056F24130","Léau","24130"
"056F24133","Linter","24133"
"056F24062","Louvain","24062"
"056F24066","Lubbeek","24066"
"056F24134","Montaigu-Zichem","24134"
"056F24086","Oud-Heverlee","24086"
"056F24094","Rotselaar","24094"
"056F24104","Tervuren","24104"
"056F24135","Tielt-Winge","24135"
"056F24107","Tirlemont","24107"
"056F24109","Tremelo","24109"
