"id","municipality_name_fr","code_ins"
"056W92003","Andenne","92003"
"056W92006","Assesse","92006"
"056W92035","Eghezée","92035"
"056W92138","Fernelmont","92138"
"056W92045","Floreffe","92045"
"056W92048","Fosses-la-Ville","92048"
"056W92142","Gembloux","92142"
"056W92054","Gesves","92054"
"056W92140","Jemeppe-sur-Sambre","92140"
"056W92141","La Bruyère","92141"
"056W92087","Mettet","92087"
"056W92094","Namur","92094"
"056W92097","Ohey","92097"
"056W92101","Profondeville","92101"
"056W92137","Sambreville","92137"
"056W92114","Sombreffe","92114"
