"id","municipality_name_fr","code_ins"
"056W25005","Beauvechain","25005"
"056W25014","Braine-l'Alleud","25014"
"056W25015","Braine-le-Château","25015"
"056W25117","Chastre","25117"
"056W25018","Chaumont-Gistoux","25018"
"056W25023","Court-Saint-Etienne","25023"
"056W25031","Genappe","25031"
"056W25037","Grez-Doiceau","25037"
"056W25118","Hélécine","25118"
"056W25043","Incourt","25043"
"056W25044","Ittre","25044"
"056W25048","Jodoigne","25048"
"056W25050","La Hulpe","25050"
"056W25119","Lasne","25119"
"056W25068","Mont-Saint-Guibert","25068"
"056W25072","Nivelles","25072"
"056W25120","Orp-Jauche","25120"
"056W25121","Ottignies-Louvain-la-Neuve","25121"
"056W25084","Perwez","25084"
"056W25122","Ramillies","25122"
"056W25123","Rebecq","25123"
"056W25091","Rixensart","25091"
"056W25105","Tubize","25105"
"056W25107","Villers-la-Ville","25107"
"056W25124","Walhain","25124"
"056W25110","Waterloo","25110"
"056W25112","Wavre","25112"
