"id","municipality_name_fr","code_ins"
"056W56001","Anderlues","56001"
"056W56005","Beaumont","56005"
"056W56011","Binche","56011"
"056W56016","Chimay","56016"
"056W56022","Erquelinnes","56022"
"056W56085","Estinnes","56085"
"056W56029","Froidchapelle","56029"
"056W56086","Ham-sur-Heure-Nalinnes","56086"
"056W56044","Lobbes","56044"
"056W56049","Merbes-le-Château","56049"
"056W56051","Momignies","56051"
"056W56087","Morlanwelz","56087"
"056W56088","Sivry-Rance","56088"
"056W56078","Thuin","56078"
