"id","municipality_name_fr","code_ins"
"056F13001","Arendonk","13001"
"056F13002","Baerle-Duc","13002"
"056F13003","Balen","13003"
"056F13004","Beerse","13004"
"056F13006","Dessel","13006"
"056F13008","Geel","13008"
"056F13010","Grobbendonk","13010"
"056F13011","Herentals","13011"
"056F13012","Herenthout","13012"
"056F13013","Herselt","13013"
"056F13014","Hoogstraten","13014"
"056F13016","Hulshout","13016"
"056F13017","Kasterlee","13017"
"056F13053","Laakdal","13053"
"056F13019","Lille","13019"
"056F13021","Meerhout","13021"
"056F13023","Merksplas","13023"
"056F13025","Mol","13025"
"056F13029","Olen","13029"
"056F13031","Oud-Turnhout","13031"
"056F13035","Ravels","13035"
"056F13036","Retie","13036"
"056F13037","Rijkevorsel","13037"
"056F13040","Turnhout","13040"
"056F13044","Vorselaar","13044"
"056F13046","Vosselaar","13046"
"056F13049","Westerlo","13049"
