"id","municipality_name_fr","code_ins"
"056W63001","Amblève","63001"
"056W63003","Aubel","63003"
"056W63004","Baelen","63004"
"056W63012","Bullange","63012"
"056W63087","Burg-Reuland","63087"
"056W63013","Butgenbach","63013"
"056W63020","Dison","63020"
"056W63023","Eupen","63023"
"056W63035","Herve","63035"
"056W63038","Jalhay","63038"
"056W63040","La Calamine","63040"
"056W63045","Lierneux","63045"
"056W63046","Limbourg","63046"
"056W63048","Lontzen","63048"
"056W63049","Malmedy","63049"
"056W63057","Olne","63057"
"056W63058","Pepinster","63058"
"056W63088","Plombières","63088"
"056W63061","Raeren","63061"
"056W63067","Saint-Vith","63067"
"056W63072","Spa","63072"
"056W63073","Stavelot","63073"
"056W63075","Stoumont","63075"
"056W63076","Theux","63076"
"056W63089","Thimister-Clermont","63089"
"056W63086","Trois-Ponts","63086"
"056W63079","Verviers","63079"
"056W63080","Waimes","63080"
"056W63084","Welkenraedt","63084"
