"id","municipality_name_fr","code_ins"
"056F41002","Alost","41002"
"056F41011","Denderleeuw","41011"
"056F41082","Erpe-Mere","41082"
"056F41018","Grammont","41018"
"056F41024","Haaltert","41024"
"056F41027","Herzele","41027"
"056F41034","Lede","41034"
"056F41048","Ninove","41048"
"056F41063","Sint-Lievens-Houtem","41063"
"056F41081","Zottegem","41081"
"056F11001","Aartselaar","11001"
"056F11002","Anvers","11002"
"056F11004","Boechout","11004"
"056F11005","Boom","11005"
"056F11007","Borsbeek","11007"
"056F11008","Brasschaat","11008"
"056F11009","Brecht","11009"
"056F11013","Edegem","11013"
"056F11016","Essen","11016"
"056F11018","Hemiksem","11018"
"056F11021","Hove","11021"
"056F11022","Kalmthout","11022"
"056F11023","Kapellen","11023"
"056F11024","Kontich","11024"
"056F11025","Lint","11025"
"056F11057","Malle","11057"
"056F11029","Mortsel","11029"
"056F11030","Niel","11030"
"056F11035","Ranst","11035"
"056F11037","Rumst","11037"
"056F11038","Schelle","11038"
"056F11039","Schilde","11039"
"056F11040","Schoten","11040"
"056F11044","Stabroek","11044"
"056F11050","Wijnegem","11050"
"056F11052","Wommelgem","11052"
"056F11053","Wuustwezel","11053"
"056F11054","Zandhoven","11054"
"056F11055","Zoersel","11055"
"056F11056","Zwijndrecht","11056"
"056W81001","Arlon","81001"
"056W81003","Attert","81003"
"056W81004","Aubange","81004"
"056W81013","Martelange","81013"
"056W81015","Messancy","81015"
"056W51004","Ath","51004"
"056W51008","Beloeil","51008"
"056W51009","Bernissart","51009"
"056W51012","Brugelette","51012"
"056W51014","Chièvres","51014"
"056W51017","Ellezelles","51017"
"056W51019","Flobecq","51019"
"056W51065","Frasnes-lez-Anvaing","51065"
"056F45035","Audenarde","45035"
"056F45059","Brakel","45059"
"056F45062","Horebeke","45062"
"056F45060","Kluisbergen","45060"
"056F45017","Kruishoutem","45017"
"056F45063","Lierde","45063"
"056F45064","Maarkedal","45064"
"056F45041","Renaix","45041"
"056F45061","Wortegem-Petegem","45061"
"056F45057","Zingem","45057"
"056F45065","Zwalm","45065"
"056W82003","Bastogne","82003"
"056W82005","Bertogne","82005"
"056W82009","Fauvillers","82009"
"056W82037","Gouvy","82037"
"056W82014","Houffalize","82014"
"056W82038","Sainte-Ode","82038"
"056W82036","Vaux-sur-Sûre","82036"
"056W82032","Vielsalm","82032"
"056F31003","Beernem","31003"
"056F31004","Blankenberge","31004"
"056F31005","Bruges","31005"
"056F31006","Damme","31006"
"056F31012","Jabbeke","31012"
"056F31043","Knokke-Heist","31043"
"056F31022","Oostkamp","31022"
"056F31033","Torhout","31033"
"056F31040","Zedelgem","31040"
"056F31042","Zuienkerke","31042"
"056W52074","Aiseau-Presles","52074"
"056W52010","Chapelle-lez-Herlaimont","52010"
"056W52011","Charleroi","52011"
"056W52012","Châtelet","52012"
"056W52015","Courcelles","52015"
"056W52018","Farciennes","52018"
"056W52021","Fleurus","52021"
"056W52022","Fontaine-l'Evêque","52022"
"056W52025","Gerpinnes","52025"
"056W52075","Les Bons Villers","52075"
"056W52043","Manage","52043"
"056W52048","Montigny-le-Tilleul","52048"
"056W52055","Pont-à-celles","52055"
"056W52063","Seneffe","52063"
"056F34002","Anzegem","34002"
"056F34003","Avelgem","34003"
"056F34022","Courtrai","34022"
"056F34009","Deerlijk","34009"
"056F34043","Espierres-Helchin","34043"
"056F34013","Harelbeke","34013"
"056F34023","Kuurne","34023"
"056F34025","Lendelede","34025"
"056F34027","Menin","34027"
"056F34040","Waregem","34040"
"056F34041","Wevelgem","34041"
"056F34042","Zwevegem","34042"
"056W91005","Anhée","91005"
"056W91013","Beauraing","91013"
"056W91015","Bièvre","91015"
"056W91030","Ciney","91030"
"056W91034","Dinant","91034"
"056W91054","Gedinne","91054"
"056W91059","Hamois","91059"
"056W91142","Hastière","91142"
"056W91064","Havelange","91064"
"056W91072","Houyet","91072"
"056W91103","Onhaye","91103"
"056W91114","Rochefort","91114"
"056W91120","Somme-Leuze","91120"
"056W91143","Vresse-sur-Semois","91143"
"056W91141","Yvoir","91141"
"056F32003","Dixmude","32003"
"056F32006","Houthulst","32006"
"056F32010","Koekelare","32010"
"056F32011","Kortemark","32011"
"056F32030","Lo-Reninge","32030"
"056F43002","Assenede","43002"
"056F43005","Eeklo","43005"
"056F43007","Kaprijke","43007"
"056F43010","Maldegem","43010"
"056F43014","Sint-Laureins","43014"
"056F43018","Zelzate","43018"
"056F38002","Alveringem","38002"
"056F38025","Furnes","38025"
"056F38014","Koksijde","38014"
"056F38008","La Panne","38008"
"056F38016","Nieuport","38016"
"056F44001","Aalter","44001"
"056F44012","De Pinte","44012"
"056F44011","Deinze","44011"
"056F44013","Destelbergen","44013"
"056F44019","Evergem","44019"
"056F44021","Gand","44021"
"056F44020","Gavere","44020"
"056F44029","Knesselare","44029"
"056F44034","Lochristi","44034"
"056F44036","Lovendegem","44036"
"056F44040","Melle","44040"
"056F44043","Merelbeke","44043"
"056F44045","Moerbeke","44045"
"056F44048","Nazareth","44048"
"056F44049","Nevele","44049"
"056F44052","Oosterzele","44052"
"056F44064","Sint-Martens-Latem","44064"
"056F44072","Waarschoot","44072"
"056F44073","Wachtebeke","44073"
"056F44080","Zomergem","44080"
"056F44081","Zulte","44081"
"056F23105","Affligem","23105"
