"id","municipality_name_fr","code_ins"
"056B21001","Anderlecht","21001"
"056B21002","Auderghem","21002"
"056B21003","Berchem-Sainte-Agathe","21003"
"056B21004","Bruxelles","21004"
"056B21005","Etterbeek","21005"
"056B21006","Evere","21006"
"056B21007","Forest","21007"
"056B21008","Ganshoren","21008"
"056B21009","Ixelles","21009"
"056B21010","Jette","21010"
"056B21011","Koekelberg","21011"
"056B21012","Molenbeek-Saint-Jean","21012"
"056B21013","Saint-Gilles","21013"
"056B21014","Saint-Josse-ten-Noode","21014"
"056B21015","Schaerbeek","21015"
"056B21016","Uccle","21016"
"056B21017","Watermael-Boitsfort","21017"
"056B21018","Woluwe-Saint-Lambert","21018"
"056B21019","Woluwe-Saint-Pierre","21019"
