"id","canton_number","canton_code","canton_name","ktnr","gdekt","gdektna"
"75601","01","ZH","Zürich",1,"ZH","Zürich"
"75602","02","BE","Bern / Berne",2,"BE","Bern / Berne"
"75603","03","LU","Luzern",3,"LU","Luzern"
"75604","04","UR","Uri",4,"UR","Uri"
"75605","05","SZ","Schwyz",5,"SZ","Schwyz"
"75606","06","OW","Obwalden",6,"OW","Obwalden"
"75607","07","NW","Nidwalden",7,"NW","Nidwalden"
"75608","08","GL","Glarus",8,"GL","Glarus"
"75609","09","ZG","Zug",9,"ZG","Zug"
"75610","10","FR","Fribourg / Freiburg",10,"FR","Fribourg / Freiburg"
"75611","11","SO","Solothurn",11,"SO","Solothurn"
"75612","12","BS","Basel-Stadt",12,"BS","Basel-Stadt"
"75613","13","BL","Basel-Landschaft",13,"BL","Basel-Landschaft"
"75614","14","SH","Schaffhausen",14,"SH","Schaffhausen"
"75615","15","AR","Appenzell Ausserrhoden",15,"AR","Appenzell Ausserrhoden"
"75616","16","AI","Appenzell Innerrhoden",16,"AI","Appenzell Innerrhoden"
"75617","17","SG","St. Gallen",17,"SG","St. Gallen"
"75618","18","GR","Graubünden / Grigioni / Grischun",18,"GR","Graubünden / Grigioni / Grischun"
"75619","19","AG","Aargau",19,"AG","Aargau"
"75620","20","TG","Thurgau",20,"TG","Thurgau"
"75621","21","TI","Ticino",21,"TI","Ticino"
"75622","22","VD","Vaud",22,"VD","Vaud"
"75623","23","VS","Valais / Wallis",23,"VS","Valais / Wallis"
"75624","24","NE","Neuchâtel",24,"NE","Neuchâtel"
"75625","25","GE","Genève",25,"GE","Genève"
"75626","26","JU","Jura",26,"JU","Jura"
