"KTNR","GDEKT","GDEKTNA"
1,"ZH","Zürich"
2,"BE","Bern / Berne"
3,"LU","Luzern"
4,"UR","Uri"
5,"SZ","Schwyz"
6,"OW","Obwalden"
7,"NW","Nidwalden"
8,"GL","Glarus"
9,"ZG","Zug"
10,"FR","Fribourg / Freiburg"
11,"SO","Solothurn"
12,"BS","Basel-Stadt"
13,"BL","Basel-Landschaft"
14,"SH","Schaffhausen"
15,"AR","Appenzell Ausserrhoden"
16,"AI","Appenzell Innerrhoden"
17,"SG","St. Gallen"
18,"GR","Graubünden / Grigioni / Grischun"
19,"AG","Aargau"
20,"TG","Thurgau"
21,"TI","Ticino"
22,"VD","Vaud"
23,"VS","Valais / Wallis"
24,"NE","Neuchâtel"
25,"GE","Genève"
26,"JU","Jura"
