"id","district_number","district_name","canton_code","gdebznr","gdebzna","gdekt"
"7560101","0101","Bezirk Affoltern","ZH",101,"Bezirk Affoltern","ZH"
"7560102","0102","Bezirk Andelfingen","ZH",102,"Bezirk Andelfingen","ZH"
"7560103","0103","Bezirk Bülach","ZH",103,"Bezirk Bülach","ZH"
"7560104","0104","Bezirk Dielsdorf","ZH",104,"Bezirk Dielsdorf","ZH"
"7560105","0105","Bezirk Hinwil","ZH",105,"Bezirk Hinwil","ZH"
"7560106","0106","Bezirk Horgen","ZH",106,"Bezirk Horgen","ZH"
"7560107","0107","Bezirk Meilen","ZH",107,"Bezirk Meilen","ZH"
"7560108","0108","Bezirk Pfäffikon","ZH",108,"Bezirk Pfäffikon","ZH"
"7560109","0109","Bezirk Uster","ZH",109,"Bezirk Uster","ZH"
"7560110","0110","Bezirk Winterthur","ZH",110,"Bezirk Winterthur","ZH"
"7560111","0111","Bezirk Dietikon","ZH",111,"Bezirk Dietikon","ZH"
"7560112","0112","Bezirk Zürich","ZH",112,"Bezirk Zürich","ZH"
"7560241","0241","Arrondissement administratif Jura bernois","BE",241,"Arrondissement administratif Jura bernois","BE"
"7560242","0242","Verwaltungskreis Biel/Bienne","BE",242,"Verwaltungskreis Biel/Bienne","BE"
"7560243","0243","Verwaltungskreis Seeland","BE",243,"Verwaltungskreis Seeland","BE"
"7560244","0244","Verwaltungskreis Oberaargau","BE",244,"Verwaltungskreis Oberaargau","BE"
"7560245","0245","Verwaltungskreis Emmental","BE",245,"Verwaltungskreis Emmental","BE"
"7560246","0246","Verwaltungskreis Bern-Mittelland","BE",246,"Verwaltungskreis Bern-Mittelland","BE"
"7560247","0247","Verwaltungskreis Thun","BE",247,"Verwaltungskreis Thun","BE"
"7560248","0248","Verwaltungskreis Obersimmental-Saanen","BE",248,"Verwaltungskreis Obersimmental-Saanen","BE"
"7560249","0249","Verwaltungskreis Frutigen-Niedersimmental","BE",249,"Verwaltungskreis Frutigen-Niedersimmental","BE"
"7560250","0250","Verwaltungskreis Interlaken-Oberhasli","BE",250,"Verwaltungskreis Interlaken-Oberhasli","BE"
"7560311","0311","Wahlkreis Luzern-Stadt","LU",311,"Wahlkreis Luzern-Stadt","LU"
"7560312","0312","Wahlkreis Luzern-Land","LU",312,"Wahlkreis Luzern-Land","LU"
"7560313","0313","Wahlkreis Hochdorf","LU",313,"Wahlkreis Hochdorf","LU"
"7560314","0314","Wahlkreis Sursee","LU",314,"Wahlkreis Sursee","LU"
"7560315","0315","Wahlkreis Willisau","LU",315,"Wahlkreis Willisau","LU"
"7560316","0316","Wahlkreis Entlebuch","LU",316,"Wahlkreis Entlebuch","LU"
"7560400","0400","Kanton Uri","UR",400,"Kanton Uri","UR"
"7560501","0501","Bezirk Einsiedeln","SZ",501,"Bezirk Einsiedeln","SZ"
"7560502","0502","Bezirk Gersau","SZ",502,"Bezirk Gersau","SZ"
"7560503","0503","Bezirk Höfe","SZ",503,"Bezirk Höfe","SZ"
"7560504","0504","Bezirk Küssnacht (SZ)","SZ",504,"Bezirk Küssnacht (SZ)","SZ"
"7560505","0505","Bezirk March","SZ",505,"Bezirk March","SZ"
"7560506","0506","Bezirk Schwyz","SZ",506,"Bezirk Schwyz","SZ"
"7560600","0600","Kanton Obwalden","OW",600,"Kanton Obwalden","OW"
"7560700","0700","Kanton Nidwalden","NW",700,"Kanton Nidwalden","NW"
"7560800","0800","Kanton Glarus","GL",800,"Kanton Glarus","GL"
"7560900","0900","Kanton Zug","ZG",900,"Kanton Zug","ZG"
"7561001","1001","District de la Broye","FR",1001,"District de la Broye","FR"
"7561002","1002","District de la Glâne","FR",1002,"District de la Glâne","FR"
"7561003","1003","District de la Gruyère","FR",1003,"District de la Gruyère","FR"
"7561004","1004","District de la Sarine","FR",1004,"District de la Sarine","FR"
"7561005","1005","Bezirk See / District du Lac","FR",1005,"Bezirk See / District du Lac","FR"
"7561006","1006","Bezirk Sense","FR",1006,"Bezirk Sense","FR"
"7561007","1007","District de la Veveyse","FR",1007,"District de la Veveyse","FR"
"7561101","1101","Bezirk Gäu","SO",1101,"Bezirk Gäu","SO"
"7561102","1102","Bezirk Thal","SO",1102,"Bezirk Thal","SO"
"7561103","1103","Bezirk Bucheggberg","SO",1103,"Bezirk Bucheggberg","SO"
