"id","district_name","valid_votes","yes","no","yes_percentage"
"7560101","Bezirk Affoltern",23864,8898,14966,37.3
"7560102","Bezirk Andelfingen",15283,6922,8361,45.3
"7560103","Bezirk Bülach",52262,22941,29321,43.9
"7560104","Bezirk Dielsdorf",31952,15693,16259,49.1
"7560105","Bezirk Hinwil",39722,18070,21652,45.5
"7560106","Bezirk Horgen",50407,17659,32748,35
"7560107","Bezirk Meilen",46985,15619,31366,33.2
"7560108","Bezirk Pfäffikon",26133,11641,14492,44.5
"7560109","Bezirk Uster",51069,19474,31595,38.1
"7560110","Bezirk Winterthur",71416,24539,46877,34.4
"7560111","Bezirk Dietikon",29552,11843,17709,40.1
"7560112","Bezirk Zürich",158549,35797,122752,22.6
"7560241","Arrondissement administratif Jura bernois",19444,8563,10881,44
"7560242","Verwaltungskreis Biel/Bienne",34970,12854,22116,36.8
"7560243","Verwaltungskreis Seeland",31894,14648,17246,45.9
"7560244","Verwaltungskreis Oberaargau",33707,16286,17421,48.3
"7560245","Verwaltungskreis Emmental",42298,19965,22333,47.2
"7560246","Verwaltungskreis Bern-Mittelland",187471,58455,129016,31.2
"7560247","Verwaltungskreis Thun",49805,23745,26060,47.7
"7560248","Verwaltungskreis Obersimmental-Saanen",7036,3950,3086,56.1
"7560249","Verwaltungskreis Frutigen-Niedersimmental",18993,10484,8509,55.2
"7560250","Verwaltungskreis Interlaken-Oberhasli",19682,9797,9885,49.8
"7560311","Wahlkreis Luzern-Stadt",35289,10190,25099,28.9
"7560312","Wahlkreis Luzern-Land",46050,19574,26476,42.5
"7560313","Wahlkreis Hochdorf",30009,14190,15819,47.3
"7560314","Wahlkreis Sursee",34131,15670,18461,45.9
"7560315","Wahlkreis Willisau",23419,12489,10930,53.3
"7560316","Wahlkreis Entlebuch",11469,6955,4514,60.6
"7560400","Kanton Uri",18870,9732,9138,51.6
"7560501","Bezirk Einsiedeln",7471,3958,3513,53
"7560502","Bezirk Gersau",1055,495,560,46.9
"7560503","Bezirk Höfe",12506,6352,6154,50.8
"7560504","Bezirk Küssnacht (SZ)",5923,2723,3200,46
"7560505","Bezirk March",17527,9804,7723,55.9
"7560506","Bezirk Schwyz",25890,14610,11280,56.4
"7560600","Kanton Obwalden",18633,9789,8844,52.5
"7560700","Kanton Nidwalden",22247,11267,10980,50.6
"7560800","Kanton Glarus",15145,7381,7764,48.7
"7560900","Kanton Zug",52284,22289,29995,42.6
"7561001","District de la Broye",12344,5922,6422,48
"7561002","District de la Glâne",9529,4600,4929,48.3
"7561003","District de la Gruyère",19433,8303,11130,42.7
"7561004","District de la Sarine",37984,12329,25655,32.5
"7561005","Bezirk See / District du Lac",14877,6135,8742,41.2
"7561006","Bezirk Sense",20705,9466,11239,45.7
"7561007","District de la Veveyse",6940,3068,3872,44.2
"7561101","Bezirk Gäu",8345,4289,4056,51.4
"7561102","Bezirk Thal",6347,3389,2958,53.4
"7561103","Bezirk Bucheggberg",4044,1820,2224,45
"7561104","Bezirk Dorneck",9385,3700,5685,39.4
"7561105","Bezirk Gösgen",10030,4472,5558,44.6
"7561106","Bezirk Wasseramt",20682,9045,11637,43.7
"7561107","Bezirk Lebern",18711,8312,10399,44.4
"7561108","Bezirk Olten",21968,8809,13159,40.1
"7561109","Bezirk Solothurn",8145,1929,6216,23.7
"7561110","Bezirk Thierstein",6411,3282,3129,51.2
"7561200","Kanton Basel-Stadt",75222,22439,52783,29.8
"7561301","Bezirk Arlesheim",63870,23996,39874,37.6
"7561302","Bezirk Laufen",8388,4147,4241,49.4
"7561303","Bezirk Liestal",21847,8671,13176,39.7
"7561304","Bezirk Sissach",16291,6965,9326,42.8
"7561305","Bezirk Waldenburg",6901,3354,3547,48.6
"7561401","Bezirk Oberklettgau",2374,1155,1219,48.7
"7561402","Bezirk Reiat",4542,2397,2145,52.8
"7561403","Bezirk Schaffhausen",23827,9822,14005,41.2
"7561404","Bezirk Schleitheim",1648,891,757,54.1
"7561405","Bezirk Stein",2750,1356,1394,49.3
"7561406","Bezirk Unterklettgau",2630,1410,1220,53.6
"7561501","Bezirk Hinterland",10489,5163,5326,49.2
"7561502","Bezirk Mittelland",8826,3385,5441,38.4
"7561503","Bezirk Vorderland",6314,2905,3409,46
"7561600","Kanton Appenzell Innerrhoden",6787,3684,3103,54.3
"7561721","Wahlkreis St. Gallen",48313,17649,30664,36.5
"7561722","Wahlkreis Rorschach",16064,7176,8888,44.7
"7561723","Wahlkreis Rheintal",25332,13495,11837,53.3
"7561724","Wahlkreis Werdenberg",13489,6486,7003,48.1
"7561725","Wahlkreis Sarganserland",15985,8351,7634,52.2
"7561726","Wahlkreis See-Gaster",27626,13034,14592,47.2
"7561727","Wahlkreis Toggenburg",19292,10247,9045,53.1
"7561728","Wahlkreis Wil",28864,13167,15697,45.6
"7561821","Bezirk Albula",3410,1288,2122,37.8
"7561822","Distretto di Bernina",2113,1097,1016,51.9
"7561823","Bezirk Hinterrhein",6063,2460,3603,40.6
