GMDE,BEZIRK,KT,NAME
1,101,1,Aeugst am Albis
2,101,1,Affoltern am Albis
3,101,1,Bonstetten
4,101,1,Hausen am Albis
5,101,1,Hedingen
6,101,1,Kappel am Albis
7,101,1,Knonau
8,101,1,Maschwanden
9,101,1,Mettmenstetten
10,101,1,Obfelden
11,101,1,Ottenbach
12,101,1,Rifferswil
13,101,1,Stallikon
14,101,1,Wettswil am Albis
21,102,1,Adlikon
22,102,1,Benken (ZH)
23,102,1,Berg am Irchel
24,102,1,Buch am Irchel
25,102,1,Dachsen
26,102,1,Dorf
27,102,1,Feuerthalen
28,102,1,Flaach
29,102,1,Flurlingen
30,102,1,Andelfingen
31,102,1,Henggart
32,102,1,Humlikon
33,102,1,Kleinandelfingen
34,102,1,Laufen-Uhwiesen
35,102,1,Marthalen
36,102,1,Oberstammheim
37,102,1,Ossingen
38,102,1,Rheinau
39,102,1,Thalheim an der Thur
40,102,1,Trüllikon
41,102,1,Truttikon
42,102,1,Unterstammheim
43,102,1,Volken
44,102,1,Waltalingen
51,103,1,Bachenbülach
52,103,1,Bassersdorf
53,103,1,Bülach
54,103,1,Dietlikon
55,103,1,Eglisau
56,103,1,Embrach
57,103,1,Freienstein-Teufen
58,103,1,Glattfelden
59,103,1,Hochfelden
60,103,1,Höri
61,103,1,Hüntwangen
62,103,1,Kloten
63,103,1,Lufingen
64,103,1,Nürensdorf
65,103,1,Oberembrach
66,103,1,Opfikon
67,103,1,Rafz
68,103,1,Rorbas
69,103,1,Wallisellen
70,103,1,Wasterkingen
71,103,1,Wil (ZH)
72,103,1,Winkel
81,104,1,Bachs
82,104,1,Boppelsen
83,104,1,Buchs (ZH)
84,104,1,Dällikon
85,104,1,Dänikon
86,104,1,Dielsdorf
87,104,1,Hüttikon
88,104,1,Neerach
89,104,1,Niederglatt
90,104,1,Niederhasli
91,104,1,Niederweningen
92,104,1,Oberglatt
93,104,1,Oberweningen
94,104,1,Otelfingen
95,104,1,Regensberg
96,104,1,Regensdorf
97,104,1,Rümlang
98,104,1,Schleinikon
99,104,1,Schöfflisdorf
100,104,1,Stadel
101,104,1,Steinmaur
102,104,1,Weiach
111,105,1,Bäretswil
112,105,1,Bubikon
113,105,1,Dürnten
114,105,1,Fischenthal
115,105,1,Gossau (ZH)
116,105,1,Grüningen
