"id","municipality_number","municipality_name","district_number","canton_number","GMDE","BEZIRK","KT","NAME"
"75601010001","0001","Aeugst am Albis","0101","01",1,101,1,"Aeugst am Albis"
"75601010002","0002","Affoltern am Albis","0101","01",2,101,1,"Affoltern am Albis"
"75601010003","0003","Bonstetten","0101","01",3,101,1,"Bonstetten"
"75601010004","0004","Hausen am Albis","0101","01",4,101,1,"Hausen am Albis"
"75601010005","0005","Hedingen","0101","01",5,101,1,"Hedingen"
"75601010006","0006","Kappel am Albis","0101","01",6,101,1,"Kappel am Albis"
"75601010007","0007","Knonau","0101","01",7,101,1,"Knonau"
"75601010008","0008","Maschwanden","0101","01",8,101,1,"Maschwanden"
"75601010009","0009","Mettmenstetten","0101","01",9,101,1,"Mettmenstetten"
"75601010010","0010","Obfelden","0101","01",10,101,1,"Obfelden"
"75601010011","0011","Ottenbach","0101","01",11,101,1,"Ottenbach"
"75601010012","0012","Rifferswil","0101","01",12,101,1,"Rifferswil"
"75601010013","0013","Stallikon","0101","01",13,101,1,"Stallikon"
"75601010014","0014","Wettswil am Albis","0101","01",14,101,1,"Wettswil am Albis"
"75601020021","0021","Adlikon","0102","01",21,102,1,"Adlikon"
"75601020022","0022","Benken (ZH)","0102","01",22,102,1,"Benken (ZH)"
"75601020023","0023","Berg am Irchel","0102","01",23,102,1,"Berg am Irchel"
"75601020024","0024","Buch am Irchel","0102","01",24,102,1,"Buch am Irchel"
"75601020025","0025","Dachsen","0102","01",25,102,1,"Dachsen"
"75601020026","0026","Dorf","0102","01",26,102,1,"Dorf"
"75601020027","0027","Feuerthalen","0102","01",27,102,1,"Feuerthalen"
"75601020028","0028","Flaach","0102","01",28,102,1,"Flaach"
"75601020029","0029","Flurlingen","0102","01",29,102,1,"Flurlingen"
"75601020030","0030","Andelfingen","0102","01",30,102,1,"Andelfingen"
"75601020031","0031","Henggart","0102","01",31,102,1,"Henggart"
"75601020032","0032","Humlikon","0102","01",32,102,1,"Humlikon"
"75601020033","0033","Kleinandelfingen","0102","01",33,102,1,"Kleinandelfingen"
"75601020034","0034","Laufen-Uhwiesen","0102","01",34,102,1,"Laufen-Uhwiesen"
"75601020035","0035","Marthalen","0102","01",35,102,1,"Marthalen"
"75601020036","0036","Oberstammheim","0102","01",36,102,1,"Oberstammheim"
"75601020037","0037","Ossingen","0102","01",37,102,1,"Ossingen"
"75601020038","0038","Rheinau","0102","01",38,102,1,"Rheinau"
"75601020039","0039","Thalheim an der Thur","0102","01",39,102,1,"Thalheim an der Thur"
"75601020040","0040","Trüllikon","0102","01",40,102,1,"Trüllikon"
"75601020041","0041","Truttikon","0102","01",41,102,1,"Truttikon"
"75601020042","0042","Unterstammheim","0102","01",42,102,1,"Unterstammheim"
"75601020043","0043","Volken","0102","01",43,102,1,"Volken"
"75601020044","0044","Waltalingen","0102","01",44,102,1,"Waltalingen"
"75601030051","0051","Bachenbülach","0103","01",51,103,1,"Bachenbülach"
"75601030052","0052","Bassersdorf","0103","01",52,103,1,"Bassersdorf"
"75601030053","0053","Bülach","0103","01",53,103,1,"Bülach"
"75601030054","0054","Dietlikon","0103","01",54,103,1,"Dietlikon"
"75601030055","0055","Eglisau","0103","01",55,103,1,"Eglisau"
"75601030056","0056","Embrach","0103","01",56,103,1,"Embrach"
"75601030057","0057","Freienstein-Teufen","0103","01",57,103,1,"Freienstein-Teufen"
"75601030058","0058","Glattfelden","0103","01",58,103,1,"Glattfelden"
"75601030059","0059","Hochfelden","0103","01",59,103,1,"Hochfelden"
"75601030060","0060","Höri","0103","01",60,103,1,"Höri"
"75601030061","0061","Hüntwangen","0103","01",61,103,1,"Hüntwangen"
"75601030062","0062","Kloten","0103","01",62,103,1,"Kloten"
"75601030063","0063","Lufingen","0103","01",63,103,1,"Lufingen"
"75601030064","0064","Nürensdorf","0103","01",64,103,1,"Nürensdorf"
"75601030065","0065","Oberembrach","0103","01",65,103,1,"Oberembrach"
"75601030066","0066","Opfikon","0103","01",66,103,1,"Opfikon"
"75601030067","0067","Rafz","0103","01",67,103,1,"Rafz"
"75601030068","0068","Rorbas","0103","01",68,103,1,"Rorbas"
"75601030069","0069","Wallisellen","0103","01",69,103,1,"Wallisellen"
"75601030070","0070","Wasterkingen","0103","01",70,103,1,"Wasterkingen"
"75601030071","0071","Wil (ZH)","0103","01",71,103,1,"Wil (ZH)"
"75601030072","0072","Winkel","0103","01",72,103,1,"Winkel"
"75601040081","0081","Bachs","0104","01",81,104,1,"Bachs"
"75601040082","0082","Boppelsen","0104","01",82,104,1,"Boppelsen"
"75601040083","0083","Buchs (ZH)","0104","01",83,104,1,"Buchs (ZH)"
"75601040084","0084","Dällikon","0104","01",84,104,1,"Dällikon"
"75601040085","0085","Dänikon","0104","01",85,104,1,"Dänikon"
"75601040086","0086","Dielsdorf","0104","01",86,104,1,"Dielsdorf"
"75601040087","0087","Hüttikon","0104","01",87,104,1,"Hüttikon"
"75601040088","0088","Neerach","0104","01",88,104,1,"Neerach"
"75601040089","0089","Niederglatt","0104","01",89,104,1,"Niederglatt"
"75601040090","0090","Niederhasli","0104","01",90,104,1,"Niederhasli"
