"gdenr","gdename","entitled_to_vote","votes_cast","turnout","valid_votes","yes","no","yes_percentage"
"1","Aeugst am Albis","1326","845","63.7","829","388","436","47.1"
"2","Affoltern am Albis","6732","3676","54.6","3616","1933","1635","54.2"
"3","Bonstetten","3559","2130","59.8","2130","1049","1057","49.8"
"4","Hausen am Albis","2397","1489","62.1","1469","739","720","50.7"
"5","Hedingen","2322","1473","63.4","1454","712","732","49.3"
"6","Kappel am Albis","648","430","66.4","428","250","174","59.0"
"7","Knonau","1257","711","56.6","706","369","328","52.9"
"8","Maschwanden","470","250","53.2","248","138","107","56.3"
"9","Mettmenstetten","2947","1791","60.8","1770","897","857","51.1"
"10","Obfelden","3051","1694","55.5","1680","949","714","57.1"
"11","Ottenbach","1786","1123","62.9","1112","557","547","50.5"
"12","Rifferswil","664","437","65.8","437","197","234","45.7"
"13","Stallikon","2164","1346","62.2","1345","756","577","56.7"
"14","Wettswil am Albis","3190","2055","64.4","2038","1041","985","51.4"
"21","Adlikon","471","307","65.2","304","216","86","71.5"
"22","Benken (ZH)","599","354","59.1","349","220","129","63.0"
"23","Berg am Irchel","471","311","66.0","308","198","108","64.7"
"24","Buch am Irchel","622","404","65.0","402","265","136","66.1"
"25","Dachsen","1290","724","56.1","715","372","334","52.7"
"26","Dorf","456","287","62.9","282","211","69","75.4"
"27","Feuerthalen","2240","1256","56.1","1243","705","529","57.1"
"28","Flaach","851","572","67.2","565","424","138","75.4"
"29","Flurlingen","987","623","63.1","618","261","351","42.6"
"30","Andelfingen","1313","865","65.9","855","446","398","52.8"
"31","Henggart","1532","988","64.5","983","602","375","61.6"
"32","Humlikon","343","220","64.1","220","146","70","67.6"
"33","Kleinandelfingen","1467","894","60.9","885","533","344","60.8"
"34","Laufen-Uhwiesen","1105","685","62.0","667","379","283","57.3"
"35","Marthalen","1442","914","63.4","908","603","295","67.1"
"36","Oberstammheim","830","506","61.0","497","265","227","53.9"
"37","Ossingen","997","597","59.9","595","346","246","58.4"
"38","Rheinau","898","540","60.1","540","255","276","48.0"
"39","Thalheim an der Thur","576","344","59.7","344","245","98","71.4"
"40","Trüllikon","791","463","58.5","462","310","147","67.8"
"41","Truttikon","346","239","69.1","234","149","85","63.7"
"42","Unterstammheim","632","384","60.8","374","210","162","56.5"
"43","Volken","218","134","61.5","134","94","38","71.2"
"44","Waltalingen","506","328","64.8","327","203","118","63.2"
"51","Bachenbülach","2400","1290","53.8","1252","727","509","58.8"
"52","Bassersdorf","6859","3591","52.4","3549","2014","1515","57.1"
"53","Bülach","10929","5718","52.3","5657","3274","2322","58.5"
"54","Dietlikon","4530","2585","57.1","2572","1396","1146","54.9"
"55","Eglisau","2768","1759","63.5","1727","951","763","55.5"
"56","Embrach","5509","2878","52.2","2819","1712","1076","61.4"
"57","Freienstein-Teufen","1610","1012","62.9","1003","579","420","58.0"
"58","Glattfelden","2738","1456","53.2","1434","908","515","63.8"
"59","Hochfelden","1348","798","59.2","787","535","249","68.2"
"60","Höri","1374","648","47.2","647","490","154","76.1"
"61","Hüntwangen","686","401","58.5","397","237","158","60.0"
"62","Kloten","10825","5323","49.2","5227","3276","1876","63.6"
"63","Lufingen","1129","649","57.5","638","409","226","64.4"
"64","Nürensdorf","3757","2307","61.4","2278","1439","817","63.8"
"65","Oberembrach","745","466","62.6","462","313","144","68.5"
"66","Opfikon","7557","3384","44.8","3373","2077","1270","62.1"
"67","Rafz","2678","1719","64.2","1703","1037","660","61.1"
"68","Rorbas","1447","756","52.2","744","450","288","61.0"
"69","Wallisellen","8319","4624","55.6","4566","2542","1976","56.3"
"70","Wasterkingen","422","261","61.8","258","179","79","69.4"
"71","Wil (ZH)","984","619","62.9","619","377","237","61.4"
"72","Winkel","2849","1750","61.4","1736","1088","637","63.1"
"81","Bachs","460","277","60.2","275","192","83","69.8"
"82","Boppelsen","877","556","63.4","551","319","229","58.2"
"83","Buchs (ZH)","3460","1837","53.1","1810","1173","620","65.4"
"84","Dällikon","2181","1125","51.6","1113","747","358","67.6"
"85","Dänikon","1133","652","57.5","641","427","207","67.4"
"86","Dielsdorf","3434","1809","52.7","1778","1113","648","63.2"
"87","Hüttikon","476","284","59.7","278","196","80","71.0"
"88","Neerach","2220","1403","63.2","1391","907","475","65.6"
"89","Niederglatt","2851","1573","55.2","1539","1058","463","69.6"
"90","Niederhasli","5172","2781","53.8","2743","1789","927","65.9"
"91","Niederweningen","1793","1052","58.7","1048","593","444","57.2"
"92","Oberglatt","3129","1432","45.8","1395","929","455","67.1"
"93","Oberweningen","1133","663","58.5","652","399","249","61.6"
"94","Otelfingen","1626","953","58.6","930","534","385","58.1"
"95","Regensberg","315","207","65.7","202","92","107","46.2"
"96","Regensdorf","9219","4798","52.0","4713","3045","1629","65.1"
"97","Rümlang","4046","2103","52.0","2070","1393","656","68.0"
"98","Schleinikon","529","303","57.3","303","180","121","59.8"
"99","Schöfflisdorf","956","594","62.1","588","382","202","65.4"
"100","Stadel","1455","763","52.4","757","491","262","65.2"
"101","Steinmaur","2111","1185","56.1","1168","709","446","61.4"
"102","Weiach","742","414","55.8","411","292","115","71.7"
"111","Bäretswil","3473","1985","57.2","1959","1257","686","64.7"
"112","Bubikon","4661","2762","59.3","2742","1634","1095","59.9"
"113","Dürnten","4451","2531","56.9","2479","1586","882","64.3"
"114","Fischenthal","1575","918","58.3","912","666","234","74.0"
"115","Gossau (ZH)","6776","4049","59.8","4023","2513","1489","62.8"
"116","Grüningen","2257","1349","59.8","1344","800","539","59.7"
"117","Hinwil","7243","4293","59.3","4261","2842","1368","67.5"
"118","Rüti (ZH)","7715","4130","53.5","4070","2283","1747","56.7"
"119","Seegräben","867","560","64.6","557","275","277","49.8"
"120","Wald (ZH)","5618","3180","56.6","3167","1856","1270","59.4"
"121","Wetzikon (ZH)","13957","7320","52.4","7222","4219","2964","58.7"
"131","Adliswil","9929","5547","55.9","5453","2833","2572","52.4"
"132","Hirzel","1474","877","59.5","870","455","406","52.8"
"133","Horgen","11386","6474","56.9","6366","3407","2883","54.2"
"134","Hütten","646","371","57.4","371","242","123","66.3"
