"id","gdenr","municipality_name"
"75601010001",1,"Aeugst am Albis"
"75601010002",2,"Affoltern am Albis"
"75601010003",3,"Bonstetten"
"75601010004",4,"Hausen am Albis"
"75601010005",5,"Hedingen"
"75601010006",6,"Kappel am Albis"
"75601010007",7,"Knonau"
"75601010008",8,"Maschwanden"
"75601010009",9,"Mettmenstetten"
"75601010010",10,"Obfelden"
"75601010011",11,"Ottenbach"
"75601010012",12,"Rifferswil"
"75601010013",13,"Stallikon"
"75601010014",14,"Wettswil am Albis"
"75601020021",21,"Adlikon"
"75601020022",22,"Benken (ZH)"
"75601020023",23,"Berg am Irchel"
"75601020024",24,"Buch am Irchel"
"75601020025",25,"Dachsen"
"75601020026",26,"Dorf"
"75601020027",27,"Feuerthalen"
"75601020028",28,"Flaach"
"75601020029",29,"Flurlingen"
"75601020030",30,"Andelfingen"
"75601020031",31,"Henggart"
"75601020032",32,"Humlikon"
"75601020033",33,"Kleinandelfingen"
"75601020034",34,"Laufen-Uhwiesen"
"75601020035",35,"Marthalen"
"75601020036",36,"Oberstammheim"
"75601020037",37,"Ossingen"
"75601020038",38,"Rheinau"
"75601020039",39,"Thalheim an der Thur"
"75601020040",40,"Trüllikon"
"75601020041",41,"Truttikon"
"75601020042",42,"Unterstammheim"
"75601020043",43,"Volken"
"75601020044",44,"Waltalingen"
"75601030051",51,"Bachenbülach"
"75601030052",52,"Bassersdorf"
"75601030053",53,"Bülach"
"75601030054",54,"Dietlikon"
"75601030055",55,"Eglisau"
"75601030056",56,"Embrach"
"75601030057",57,"Freienstein-Teufen"
"75601030058",58,"Glattfelden"
"75601030059",59,"Hochfelden"
"75601030060",60,"Höri"
"75601030061",61,"Hüntwangen"
"75601030062",62,"Kloten"
"75601030063",63,"Lufingen"
"75601030064",64,"Nürensdorf"
"75601030065",65,"Oberembrach"
"75601030066",66,"Opfikon"
"75601030067",67,"Rafz"
"75601030068",68,"Rorbas"
"75601030069",69,"Wallisellen"
"75601030070",70,"Wasterkingen"
