GMDNR,GMDNAME,BZNR,KTNR,GRNR,AREA_HA,X_MIN,X_MAX,Y_MIN,Y_MAX,X_CNTR,Y_CNTR,Z_MIN,Z_MAX,Z_AVG,Z_MED
1,Aeugst am Albis,101,1,4,791,678110,681154,234561,238544,679300,235700,532,886,684,673
2,Affoltern am Albis,101,1,4,1059,673825,678583,235208,239339,676800,236800,440,749,529,502
3,Bonstetten,101,1,4,743,675744,679642,238998,243159,677800,241000,502,716,581,582
4,Hausen am Albis,101,1,4,1360,680393,686462,230186,236411,682900,233100,524,914,673,652
5,Hedingen,101,1,4,653,674865,678971,238053,241035,676400,239000,474,745,560,542
6,Kappel am Albis,101,1,4,792,679058,683714,229407,232607,682400,231300,462,620,556,558
7,Knonau,101,1,4,647,675592,679581,229137,233131,677500,230900,412,503,454,453
8,Maschwanden,101,1,4,469,673845,676419,230677,233439,674800,232000,386,476,413,409
9,Mettmenstetten,101,1,4,1303,675199,680379,230244,235763,677600,233000,432,657,506,493
10,Obfelden,101,1,4,754,672793,676118,232987,237091,675100,235300,383,520,439,439
11,Ottenbach,101,1,4,502,671862,674901,235683,238538,673000,237200,380,532,439,434
12,Rifferswil,101,1,4,651,678255,682151,231473,235066,680100,232800,518,676,592,590
13,Stallikon,101,1,4,1202,677850,681026,237736,245396,679500,242100,493,886,659,640
14,Wettswil am Albis,101,1,4,377,676819,679167,241892,244867,678200,243700,510,642,558,549
21,Adlikon,102,1,4,658,693061,697488,269787,273490,694300,271000,357,491,423,433
22,Benken (ZH),102,1,4,566,689770,692658,277336,280328,691300,278800,396,566,456,439
23,Berg am Irchel,102,1,4,701,684956,688691,266888,269915,687200,269400,343,678,485,458
24,Buch am Irchel,102,1,4,1021,687197,691429,264720,269122,689100,267000,405,694,546,551
25,Dachsen,102,1,4,270,687877,690257,278013,280946,688600,280000,358,450,403,406
26,Dorf,102,1,4,556,689708,692486,268131,271482,691000,269800,409,546,470,472
27,Feuerthalen,102,1,4,248,689610,692438,281501,283343,690400,283000,390,560,443,435
28,Flaach,102,1,4,1017,685277,690568,269239,272659,688000,270100,342,453,358,350
29,Flurlingen,102,1,4,241,688993,691730,281161,283094,689400,282000,381,574,482,472
30,Andelfingen,102,1,4,674,690362,695949,270879,273704,693300,272200,347,477,392,398
31,Henggart,102,1,4,303,692476,694983,267294,269669,693600,268700,427,526,446,440
32,Humlikon,102,1,4,368,691697,695117,268730,271438,692700,270300,407,539,446,435
33,Kleinandelfingen,102,1,4,1029,688776,695168,271563,276230,693600,272800,347,436,392,398
34,Laufen-Uhwiesen,102,1,4,629,687685,693166,279482,281629,689800,280600,358,579,487,485
35,Marthalen,102,1,4,1413,686814,692431,272196,277788,690900,275700,343,442,389,398
36,Oberstammheim,102,1,4,945,700798,704388,273161,278601,702400,276500,425,632,496,465
37,Ossingen,102,1,4,1309,693805,698931,271609,276780,696800,274200,356,486,420,421
38,Rheinau,102,1,4,893,686917,690378,273062,278641,687700,277700,346,443,379,382
39,Thalheim an der Thur,102,1,4,644,696218,700092,269325,272602,699000,270600,364,502,401,390
40,Trüllikon,102,1,4,955,691527,696191,275680,280284,694300,277100,400,567,462,467
41,Truttikon,102,1,4,441,695645,698371,275349,277746,696800,276200,429,499,465,466
42,Unterstammheim,102,1,4,724,699638,703388,276118,280296,701600,277400,415,639,471,433
43,Volken,102,1,4,320,688366,691122,268960,271442,689300,270000,353,489,424,419
44,Waltalingen,102,1,4,727,698136,701583,274075,278416,700800,275500,416,492,450,455
51,Bachenbülach,103,1,4,431,681655,685123,260178,263299,683600,262000,414,573,462,439
52,Bassersdorf,103,1,4,903,687834,692261,252878,257235,689800,255500,442,555,476,471
53,Bülach,103,1,4,1609,681096,685620,261483,268439,683000,263700,382,597,448,432
54,Dietlikon,103,1,4,425,687321,689844,251259,254919,689000,253400,428,491,455,453
55,Eglisau,103,1,4,906,678390,683964,267224,272074,681600,269900,329,566,408,401
56,Embrach,103,1,4,1269,685076,689816,260639,264944,687100,262000,357,608,488,472
57,Freienstein-Teufen,103,1,4,840,683949,688375,264052,268594,686300,265100,343,691,489,473
58,Glattfelden,103,1,4,1231,676574,682097,265820,270595,680000,268000,332,545,409,405
59,Hochfelden,103,1,4,617,679204,681923,262925,266530,681200,264100,386,495,430,426
60,Höri,103,1,4,479,678545,681713,261006,263919,680600,262400,402,475,421,416
61,Hüntwangen,103,1,4,491,678263,681207,270527,273293,679200,272200,343,543,400,389
62,Kloten,103,1,4,1927,683445,690015,254530,259609,686300,256300,417,601,474,461
63,Lufingen,103,1,4,518,685417,688405,257997,261294,687200,260500,434,590,524,530
64,Nürensdorf,103,1,4,1004,689355,693523,254528,259372,691300,255800,481,624,557,563
65,Oberembrach,103,1,4,1026,687632,692120,258441,262666,688900,260300,427,645,554,565
66,Opfikon,103,1,4,559,684152,687162,252256,255189,685900,254100,417,481,439,432
67,Rafz,103,1,4,1068,680944,685403,271878,276522,682600,274100,398,560,461,442
68,Rorbas,103,1,4,444,683702,686531,263661,267240,685700,264800,343,559,432,419
69,Wallisellen,103,1,4,642,685580,689123,250961,254557,687200,252200,421,494,449,447
70,Wasterkingen,103,1,4,396,676551,678880,270865,273849,677800,271600,360,589,460,452
71,Wil (ZH),103,1,4,895,678135,683157,271332,276266,680400,273300,352,554,446,428
72,Winkel,103,1,4,811,682742,686034,257728,262928,684200,260800,415,583,481,479
81,Bachs,104,1,4,913,672447,677044,262759,266626,675400,264300,404,633,518,513
82,Boppelsen,104,1,4,396,671672,674054,256801,259475,672600,258200,452,865,585,561
83,Buchs (ZH),104,1,4,584,673446,677299,255700,258128,675400,256800,417,647,479,468
84,Dällikon,104,1,4,451,673644,676414,253538,255901,675400,254800,418,631,472,448
85,Dänikon,104,1,4,287,671734,674000,254209,256174,672900,255400,415,631,471,446
86,Dielsdorf,104,1,4,587,674441,678149,257244,260384,676500,259600,409,653,489,474
87,Hüttikon,104,1,4,159,671076,672791,254211,255993,671500,255400,414,627,489,501
88,Neerach,104,1,4,604,676492,679466,260811,264666,678000,263000,408,533,439,425
89,Niederglatt,104,1,4,360,678149,681577,259603,261740,680300,260600,406,459,420,419
