"id","municipality_number","municipality_name","district_number","canton_code","gdekt","gdebznr","gdenr","gdename","gdenamk","gdebzna","gdektna","gdemutdat"
"75601010001","1","Aeugst am Albis","101","ZH","ZH",101,1,"Aeugst am Albis","Aeugst am Albis","Bezirk Affoltern","Zürich","1976-11-15"
"75601010002","2","Affoltern am Albis","101","ZH","ZH",101,2,"Affoltern am Albis","Affoltern am Albis","Bezirk Affoltern","Zürich","1960-01-01"
"75601010003","3","Bonstetten","101","ZH","ZH",101,3,"Bonstetten","Bonstetten","Bezirk Affoltern","Zürich","1960-01-01"
"75601010004","4","Hausen am Albis","101","ZH","ZH",101,4,"Hausen am Albis","Hausen am Albis","Bezirk Affoltern","Zürich","1960-01-01"
"75601010005","5","Hedingen","101","ZH","ZH",101,5,"Hedingen","Hedingen","Bezirk Affoltern","Zürich","1960-01-01"
"75601010006","6","Kappel am Albis","101","ZH","ZH",101,6,"Kappel am Albis","Kappel am Albis","Bezirk Affoltern","Zürich","1960-01-01"
"75601010007","7","Knonau","101","ZH","ZH",101,7,"Knonau","Knonau","Bezirk Affoltern","Zürich","1960-01-01"
"75601010008","8","Maschwanden","101","ZH","ZH",101,8,"Maschwanden","Maschwanden","Bezirk Affoltern","Zürich","1960-01-01"
"75601010009","9","Mettmenstetten","101","ZH","ZH",101,9,"Mettmenstetten","Mettmenstetten","Bezirk Affoltern","Zürich","1960-01-01"
"75601010010","10","Obfelden","101","ZH","ZH",101,10,"Obfelden","Obfelden","Bezirk Affoltern","Zürich","1960-01-01"
"75601010011","11","Ottenbach","101","ZH","ZH",101,11,"Ottenbach","Ottenbach","Bezirk Affoltern","Zürich","1960-01-01"
"75601010012","12","Rifferswil","101","ZH","ZH",101,12,"Rifferswil","Rifferswil","Bezirk Affoltern","Zürich","1960-01-01"
"75601010013","13","Stallikon","101","ZH","ZH",101,13,"Stallikon","Stallikon","Bezirk Affoltern","Zürich","1960-01-01"
"75601010014","14","Wettswil am Albis","101","ZH","ZH",101,14,"Wettswil am Albis","Wettswil am Albis","Bezirk Affoltern","Zürich","1976-11-15"
