"id","municipality_number","municipality_name","district_number","canton_code","gdekt","gdebznr","gdenr","gdename","gdenamk","gdebzna","gdektna","gdemutdat"
75602430301,301,"Aarberg",243,"BE","BE",243,301,"Aarberg","Aarberg","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602440321,321,"Aarwangen",244,"BE","BE",244,321,"Aarwangen","Aarwangen","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602490561,561,"Adelboden",249,"BE","BE",249,561,"Adelboden","Adelboden","Verwaltungskreis Frutigen-Niedersimmental","Bern / Berne","2010-01-01"
75602450401,401,"Aefligen",245,"BE","BE",245,401,"Aefligen","Aefligen","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602420731,731,"Aegerten",242,"BE","BE",242,731,"Aegerten","Aegerten","Verwaltungskreis Biel/Bienne","Bern / Berne","2010-01-01"
75602490562,562,"Aeschi bei Spiez",249,"BE","BE",249,562,"Aeschi bei Spiez","Aeschi bei Spiez","Verwaltungskreis Frutigen-Niedersimmental","Bern / Berne","2010-01-01"
75602450951,951,"Affoltern im Emmental",245,"BE","BE",245,951,"Affoltern im Emmental","Affoltern im Emmental","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602450402,402,"Alchenstorf",245,"BE","BE",245,402,"Alchenstorf","Alchenstorf","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602460630,630,"Allmendingen",246,"BE","BE",246,630,"Allmendingen","Allmendingen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602470921,921,"Amsoldingen",247,"BE","BE",247,921,"Amsoldingen","Amsoldingen","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602430381,381,"Arch",243,"BE","BE",243,381,"Arch","Arch","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602460602,602,"Arni (BE)",246,"BE","BE",246,602,"Arni (BE)","Arni (BE)","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602440971,971,"Attiswil",244,"BE","BE",244,971,"Attiswil","Attiswil","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602440322,322,"Auswil",244,"BE","BE",244,322,"Auswil","Auswil","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602430382,382,"Büetigen",243,"BE","BE",243,382,"Büetigen","Büetigen","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602430734,734,"Bühl",243,"BE","BE",243,734,"Bühl","Bühl","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602500572,572,"Bönigen",250,"BE","BE",250,572,"Bönigen","Bönigen","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602430383,383,"Büren an der Aare",243,"BE","BE",243,383,"Büren an der Aare","Büren an der Aare","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602460403,403,"Bäriswil",246,"BE","BE",246,403,"Bäriswil","Bäriswil","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602450533,533,"Bätterkinden",245,"BE","BE",245,533,"Bätterkinden","Bätterkinden","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602440323,323,"Bannwil",244,"BE","BE",244,323,"Bannwil","Bannwil","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602430302,302,"Bargen (BE)",243,"BE","BE",243,302,"Bargen (BE)","Bargen (BE)","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602500571,571,"Beatenberg",250,"BE","BE",250,571,"Beatenberg","Beatenberg","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602420732,732,"Bellmund",242,"BE","BE",242,732,"Bellmund","Bellmund","Verwaltungskreis Biel/Bienne","Bern / Berne","2010-01-01"
75602460861,861,"Belp",246,"BE","BE",246,861,"Belp","Belp","Verwaltungskreis Bern-Mittelland","Bern / Berne","2012-01-01"
75602410681,681,"Belprahon",241,"BE","BE",241,681,"Belprahon","Belprahon","Arrondissement administratif Jura bernois","Bern / Berne","2010-01-01"
75602440972,972,"Berken",244,"BE","BE",244,972,"Berken","Berken","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602460351,351,"Bern",246,"BE","BE",246,351,"Bern","Bern","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602440973,973,"Bettenhausen",244,"BE","BE",244,973,"Bettenhausen","Bettenhausen","Verwaltungskreis Oberaargau","Bern / Berne","2011-01-01"
75602420371,371,"Biel/Bienne",242,"BE","BE",242,371,"Biel/Bienne","Biel/Bienne","Verwaltungskreis Biel/Bienne","Bern / Berne","2010-01-01"
75602460603,603,"Biglen",246,"BE","BE",246,603,"Biglen","Biglen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602440324,324,"Bleienbach",244,"BE","BE",244,324,"Bleienbach","Bleienbach","Verwaltungskreis Oberaargau","Bern / Berne","2010-01-01"
75602470922,922,"Blumenstein",247,"BE","BE",247,922,"Blumenstein","Blumenstein","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602460352,352,"Bolligen",246,"BE","BE",246,352,"Bolligen","Bolligen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602480791,791,"Boltigen",248,"BE","BE",248,791,"Boltigen","Boltigen","Verwaltungskreis Obersimmental-Saanen","Bern / Berne","2010-01-01"
75602460605,605,"Bowil",246,"BE","BE",246,605,"Bowil","Bowil","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602420733,733,"Brügg",242,"BE","BE",242,733,"Brügg","Brügg","Verwaltungskreis Biel/Bienne","Bern / Berne","2010-01-01"
75602430491,491,"Brüttelen",243,"BE","BE",243,491,"Brüttelen","Brüttelen","Verwaltungskreis Seeland","Bern / Berne","2010-01-01"
75602460353,353,"Bremgarten bei Bern",246,"BE","BE",246,353,"Bremgarten bei Bern","Bremgarten bei Bern","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602460606,606,"Brenzikofen",246,"BE","BE",246,606,"Brenzikofen","Brenzikofen","Verwaltungskreis Bern-Mittelland","Bern / Berne","2010-01-01"
75602500573,573,"Brienz (BE)",250,"BE","BE",250,573,"Brienz (BE)","Brienz (BE)","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602500574,574,"Brienzwiler",250,"BE","BE",250,574,"Brienzwiler","Brienzwiler","Verwaltungskreis Interlaken-Oberhasli","Bern / Berne","2010-01-01"
75602470923,923,"Buchholterberg",247,"BE","BE",247,923,"Buchholterberg","Buchholterberg","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
75602450404,404,"Burgdorf",245,"BE","BE",245,404,"Burgdorf","Burgdorf","Verwaltungskreis Emmental","Bern / Berne","2010-01-01"
75602470863,863,"Burgistein",247,"BE","BE",247,863,"Burgistein","Burgistein","Verwaltungskreis Thun","Bern / Berne","2010-01-01"
