"id","municipality_name","yes2010","yes2014","yes2016"
75601010001,"Aeugst am Albis",47.1,48.6,36.2
75601010002,"Affoltern am Albis",54.2,51.5,38.1
75601010003,"Bonstetten",49.8,50.1,35
75601010004,"Hausen am Albis",50.7,47.3,36.3
75601010005,"Hedingen",49.3,45.9,32.5
75601010006,"Kappel am Albis",59,58.2,47.4
75601010007,"Knonau",52.9,52.8,36.3
75601010008,"Maschwanden",56.3,53.3,43.7
75601010009,"Mettmenstetten",51.1,50.8,37.9
75601010010,"Obfelden",57.1,56,42.2
75601010011,"Ottenbach",50.5,50.7,37
75601010012,"Rifferswil",45.7,45.8,32.3
75601010013,"Stallikon",56.7,54.3,40.9
75601010014,"Wettswil am Albis",51.4,47.6,34.7
75601020021,"Adlikon",71.5,72.1,64.9
75601020022,"Benken (ZH)",63,60.2,53
75601020023,"Berg am Irchel",64.7,64.3,47.8
75601020024,"Buch am Irchel",66.1,64,50.8
75601020025,"Dachsen",52.7,52,34.9
75601020026,"Dorf",75.4,70,53.5
75601020027,"Feuerthalen",57.1,57.6,37.5
75601020028,"Flaach",75.4,66.7,54.1
75601020029,"Flurlingen",42.6,48.2,33.5
75601020030,"Andelfingen",52.8,51.1,38.5
75601020031,"Henggart",61.6,55.9,42.6
75601020032,"Humlikon",67.6,62.2,51.1
75601020033,"Kleinandelfingen",60.8,59.4,45.4
75601020034,"Laufen-Uhwiesen",57.3,57,47.3
75601020035,"Marthalen",67.1,64.1,52.6
75601020036,"Oberstammheim",53.9,55.7,42.6
75601020037,"Ossingen",58.4,57.6,45.7
75601020038,"Rheinau",48,48,35.2
75601020039,"Thalheim an der Thur",71.4,68.5,60.4
75601020040,"Trüllikon",67.8,65.6,54.2
75601020041,"Truttikon",63.7,64.3,56
75601020042,"Unterstammheim",56.5,51.3,41.6
75601020043,"Volken",71.2,57.5,55.8
75601020044,"Waltalingen",63.2,63.5,46.4
75601030051,"Bachenbülach",58.8,55,42.7
75601030052,"Bassersdorf",57.1,55.9,40.9
75601030053,"Bülach",58.5,55.8,40.4
75601030054,"Dietlikon",54.9,52.8,38.2
75601030055,"Eglisau",55.5,52.5,39.1
75601030056,"Embrach",61.4,59.6,48.4
75601030057,"Freienstein-Teufen",58,54.9,42
75601030058,"Glattfelden",63.8,60.1,49.6
75601030059,"Hochfelden",68.2,65.3,50
75601030060,"Höri",76.1,69.1,57
75601030061,"Hüntwangen",60,60.2,45.6
75601030062,"Kloten",63.6,59.3,48
75601030063,"Lufingen",64.4,60.8,49.5
75601030064,"Nürensdorf",63.8,59.5,49.5
75601030065,"Oberembrach",68.5,65.7,55.5
75601030066,"Opfikon",62.1,58.2,42.5
75601030067,"Rafz",61.1,55.4,44.2
75601030068,"Rorbas",61,57.4,45.3
75601030069,"Wallisellen",56.3,50.3,37.3
75601030070,"Wasterkingen",69.4,62.8,52.6
75601030071,"Wil (ZH)",61.4,61.6,52.9
75601030072,"Winkel",63.1,58.1,48.6
75601040081,"Bachs",69.8,68.8,63.1
75601040082,"Boppelsen",58.2,55.2,42
75601040083,"Buchs (ZH)",65.4,59.7,48
75601040084,"Dällikon",67.6,62.8,50.3
75601040085,"Dänikon",67.4,63.4,47.1
75601040086,"Dielsdorf",63.2,58.4,46.5
75601040087,"Hüttikon",71,71.9,51.7
75601040088,"Neerach",65.6,59.8,53.5
75601040089,"Niederglatt",69.6,65.7,52.4
75601040090,"Niederhasli",65.9,62.3,48.5
75601040091,"Niederweningen",57.2,52,41.8
75601040092,"Oberglatt",67.1,62.3,48.9
75601040093,"Oberweningen",61.6,60.5,46.5
75601040094,"Otelfingen",58.1,53.6,41.9
75601040095,"Regensberg",46.2,46.5,36.4
75601040096,"Regensdorf",65.1,62.1,48.7
75601040097,"Rümlang",68,66.1,52
75601040098,"Schleinikon",59.8,58.4,46.8
75601040099,"Schöfflisdorf",65.4,59,48.2
75601040100,"Stadel",65.2,64.3,58.8
75601040101,"Steinmaur",61.4,58.8,48.6
75601040102,"Weiach",71.7,67.4,62.3
75601050111,"Bäretswil",64.7,62.1,50.1
75601050112,"Bubikon",59.9,57.2,44.7
75601050113,"Dürnten",64.3,60.2,47.2
75601050114,"Fischenthal",74,70.9,61.1
75601050115,"Gossau (ZH)",62.8,58.1,46.7
75601050116,"Grüningen",59.7,56.6,45.6
75601050117,"Hinwil",67.5,60.3,49.6
75601050118,"Rüti (ZH)",56.7,54.4,43.3
75601050119,"Seegräben",49.8,48.8,37.6
75601050120,"Wald (ZH)",59.4,56.7,44.8
75601050121,"Wetzikon (ZH)",58.7,55.6,41.4
75601060131,"Adliswil",52.4,49.3,36.1
75601060132,"Hirzel",52.8,48,41.1
75601060133,"Horgen",54.2,47.1,35.7
75601060134,"Hütten",66.3,61.9,54.8
75601060135,"Kilchberg (ZH)",45.2,41.7,29.8
75601060136,"Langnau am Albis",52.7,48.8,36.1
75601060137,"Oberrieden",45.7,41.7,32.4
75601060138,"Richterswil",54.8,48.8,37.8
75601060139,"Rüschlikon",47.4,42.4,31.2
75601060140,"Schönenberg (ZH)",64.2,57.9,51.7
75601060141,"Thalwil",46,42.3,30.3
75601060142,"Wädenswil",52.5,47.7,35.8
75601070151,"Erlenbach (ZH)",46.8,38.6,30
75601070152,"Herrliberg",53.1,46.4,36.2
75601070153,"Hombrechtikon",62.2,54.9,43.5
75601070154,"Küsnacht (ZH)",48.4,42.6,33.1
75601070155,"Männedorf",46.8,43.3,31
75601070156,"Meilen",48.9,45,32.2
75601070157,"Oetwil am See",63.2,58.9,47.9
