"id","municipality_name","valid_votes","yes","no","yes_percentage"
75601010001,"Aeugst am Albis",1008,365,643,36.2
75601010002,"Affoltern am Albis",4444,1692,2752,38.1
75601010003,"Bonstetten",2604,912,1692,35
75601010004,"Hausen am Albis",1703,618,1085,36.3
75601010005,"Hedingen",1834,596,1238,32.5
75601010006,"Kappel am Albis",464,220,244,47.4
75601010007,"Knonau",960,348,612,36.3
75601010008,"Maschwanden",325,142,183,43.7
75601010009,"Mettmenstetten",2323,880,1443,37.9
75601010010,"Obfelden",2183,921,1262,42.2
75601010011,"Ottenbach",1385,513,872,37
75601010012,"Rifferswil",560,181,379,32.3
75601010013,"Stallikon",1596,652,944,40.9
75601010014,"Wettswil am Albis",2475,858,1617,34.7
75601020021,"Adlikon",342,222,120,64.9
75601020022,"Benken (ZH)",411,218,193,53
75601020023,"Berg am Irchel",343,164,179,47.8
75601020024,"Buch am Irchel",543,276,267,50.8
75601020025,"Dachsen",868,303,565,34.9
75601020026,"Dorf",342,183,159,53.5
75601020027,"Feuerthalen",1519,569,950,37.5
75601020028,"Flaach",673,364,309,54.1
75601020029,"Flurlingen",704,236,468,33.5
75601020030,"Andelfingen",1107,426,681,38.5
75601020031,"Henggart",1161,495,666,42.6
75601020032,"Humlikon",266,136,130,51.1
75601020033,"Kleinandelfingen",1022,464,558,45.4
75601020034,"Laufen-Uhwiesen",792,375,417,47.3
75601020035,"Marthalen",990,521,469,52.6
75601020036,"Oberstammheim",636,271,365,42.6
75601020037,"Ossingen",687,314,373,45.7
75601020038,"Rheinau",628,221,407,35.2
75601020039,"Thalheim an der Thur",454,274,180,60.4
75601020040,"Trüllikon",509,276,233,54.2
75601020041,"Truttikon",273,153,120,56
75601020042,"Unterstammheim",497,207,290,41.6
75601020043,"Volken",154,86,68,55.8
75601020044,"Waltalingen",362,168,194,46.4
75601030051,"Bachenbülach",1429,610,819,42.7
75601030052,"Bassersdorf",4356,1783,2573,40.9
75601030053,"Bülach",7119,2874,4245,40.4
75601030054,"Dietlikon",3010,1150,1860,38.2
75601030055,"Eglisau",2156,843,1313,39.1
75601030056,"Embrach",3223,1559,1664,48.4
75601030057,"Freienstein-Teufen",1137,477,660,42
75601030058,"Glattfelden",1856,920,936,49.6
75601030059,"Hochfelden",886,443,443,50
75601030060,"Höri",853,486,367,57
75601030061,"Hüntwangen",513,234,279,45.6
75601030062,"Kloten",5696,2734,2962,48
75601030063,"Lufingen",888,440,448,49.5
75601030064,"Nürensdorf",2631,1302,1329,49.5
75601030065,"Oberembrach",564,313,251,55.5
75601030066,"Opfikon",4551,1934,2617,42.5
75601030067,"Rafz",1874,829,1045,44.2
75601030068,"Rorbas",885,401,484,45.3
75601030069,"Wallisellen",5582,2081,3501,37.3
75601030070,"Wasterkingen",306,161,145,52.6
75601030071,"Wil (ZH)",722,382,340,52.9
75601030072,"Winkel",2025,985,1040,48.6
75601040081,"Bachs",312,197,115,63.1
75601040082,"Boppelsen",685,288,397,42
75601040083,"Buchs (ZH)",2295,1101,1194,48
75601040084,"Dällikon",1365,687,678,50.3
75601040085,"Dänikon",724,341,383,47.1
75601040086,"Dielsdorf",2094,974,1120,46.5
75601040087,"Hüttikon",387,200,187,51.7
75601040088,"Neerach",1563,836,727,53.5
75601040089,"Niederglatt",1759,922,837,52.4
75601040090,"Niederhasli",3291,1597,1694,48.5
75601040091,"Niederweningen",1306,546,760,41.8
75601040092,"Oberglatt",1855,908,947,48.9
75601040093,"Oberweningen",806,375,431,46.5
75601040094,"Otelfingen",1161,487,674,41.9
75601040095,"Regensberg",228,83,145,36.4
75601040096,"Regensdorf",5560,2707,2853,48.7
75601040097,"Rümlang",2542,1323,1219,52
75601040098,"Schleinikon",374,175,199,46.8
75601040099,"Schöfflisdorf",685,330,355,48.2
75601040100,"Stadel",993,584,409,58.8
75601040101,"Steinmaur",1408,684,724,48.6
75601040102,"Weiach",559,348,211,62.3
75601050111,"Bäretswil",2435,1221,1214,50.1
75601050112,"Bubikon",3481,1555,1926,44.7
75601050113,"Dürnten",3177,1499,1678,47.2
75601050114,"Fischenthal",1027,627,400,61.1
75601050115,"Gossau (ZH)",4681,2188,2493,46.7
75601050116,"Grüningen",1626,741,885,45.6
75601050117,"Hinwil",5005,2480,2525,49.6
75601050118,"Rüti (ZH)",4778,2070,2708,43.3
75601050119,"Seegräben",710,267,443,37.6
75601050120,"Wald (ZH)",3530,1582,1948,44.8
75601050121,"Wetzikon (ZH)",9272,3840,5432,41.4
75601060131,"Adliswil",6507,2351,4156,36.1
75601060132,"Hirzel",1055,434,621,41.1
75601060133,"Horgen",7445,2658,4787,35.7
75601060134,"Hütten",438,240,198,54.8
75601060135,"Kilchberg (ZH)",3426,1020,2406,29.8
75601060136,"Langnau am Albis",3045,1099,1946,36.1
75601060137,"Oberrieden",2507,813,1694,32.4
75601060138,"Richterswil",5779,2186,3593,37.8
75601060139,"Rüschlikon",2387,744,1643,31.2
75601060140,"Schönenberg (ZH)",985,509,476,51.7
75601060141,"Thalwil",7588,2296,5292,30.3
75601060142,"Wädenswil",9245,3309,5936,35.8
75601070151,"Erlenbach (ZH)",2586,775,1811,30
75601070152,"Herrliberg",3053,1105,1948,36.2
75601070153,"Hombrechtikon",3722,1619,2103,43.5
75601070154,"Küsnacht (ZH)",6393,2117,4276,33.1
75601070155,"Männedorf",5036,1560,3476,31
75601070156,"Meilen",6336,2041,4295,32.2
75601070157,"Oetwil am See",1578,756,822,47.9
75601070158,"Stäfa",6965,2225,4740,31.9
75601070159,"Uetikon am See",2892,1002,1890,34.6
75601070160,"Zumikon",2529,801,1728,31.7
75601070161,"Zollikon",5895,1618,4277,27.4
75601080172,"Fehraltorf",2816,1204,1612,42.8
75601080173,"Hittnau",1838,885,953,48.2
75601080176,"Lindau",2280,1037,1243,45.5
75601080177,"Pfäffikon",5133,1991,3142,38.8
75601080178,"Russikon",2084,965,1119,46.3
75601080180,"Weisslingen",1697,800,897,47.1
75601080181,"Wila",958,549,409,57.3
75601080182,"Wildberg",539,277,262,51.4
75601090191,"Dübendorf",8898,3716,5182,41.8
75601090192,"Egg",3903,1501,2402,38.5
75601090193,"Fällanden",3332,1171,2161,35.1
75601090194,"Greifensee",2421,761,1660,31.4
75601090195,"Maur",4666,1735,2931,37.2
75601090196,"Mönchaltorf",1730,685,1045,39.6
75601090197,"Schwerzenbach",1976,743,1233,37.6
75601090198,"Uster",14425,4784,9641,33.2
75601090199,"Volketswil",6880,3125,3755,45.4
75601090200,"Wangen-Brüttisellen",2838,1253,1585,44.2
75601100211,"Altikon",340,181,159,53.2
75601100213,"Brütten",1172,466,706,39.8
75601100214,"Dägerlen",527,245,282,46.5
75601100215,"Dättlikon",424,167,257,39.4
75601100216,"Dinhard",795,392,403,49.3
75601100217,"Elgg",1938,789,1149,40.7
75601100218,"Ellikon an der Thur",416,228,188,54.8
75601100219,"Elsau",1684,723,961,42.9
75601100220,"Hagenbuch",516,325,191,63
75601100221,"Hettlingen",1694,667,1027,39.4
75601100222,"Hofstetten (ZH)",250,157,93,62.8
75601100223,"Neftenbach",2683,1111,1572,41.4
75601100224,"Pfungen",1347,559,788,41.5
75601100225,"Rickenbach (ZH)",1256,578,678,46
75601100226,"Schlatt (ZH)",391,195,196,49.9
75601100227,"Seuzach",3659,1599,2060,43.7
75601100228,"Turbenthal",1800,898,902,49.9
75601100230,"Winterthur",44884,12745,32139,28.4
75601100231,"Zell (ZH)",2288,1046,1242,45.7
75601110241,"Aesch (ZH)",617,246,371,39.9
75601110242,"Birmensdorf (ZH)",2759,1035,1724,37.5
75601110243,"Dietikon",7064,2885,4179,40.8
75601110244,"Geroldswil",1826,832,994,45.6
75601110245,"Oberengstringen",2281,892,1389,39.1
75601110246,"Oetwil an der Limmat",1190,567,623,47.6
75601110247,"Schlieren",4351,1570,2781,36.1
75601110248,"Uitikon",2203,742,1461,33.7
75601110249,"Unterengstringen",1573,677,896,43
75601110250,"Urdorf",3977,1595,2382,40.1
75601110251,"Weiningen (ZH)",1711,802,909,46.9
75601120261,"Zürich",158549,35797,122752,22.6
75601080296,"Illnau-Effretikon",6588,2741,3847,41.6
75601080297,"Bauma",2200,1192,1008,54.2
75601100298,"Wiesendangen",3352,1468,1884,43.8
75602430301,"Aarberg",1923,885,1038,46
75602430302,"Bargen (BE)",472,204,268,43.2
75602430303,"Grossaffoltern",1499,660,839,44
75602430304,"Kallnach",881,447,434,50.7
75602430305,"Kappelen",621,323,298,52
75602430306,"Lyss",5746,2259,3487,39.3
75602460307,"Meikirch",1370,453,917,33.1
75602430309,"Radelfingen",635,292,343,46
