"id","municipality_name","entitled_to_vote","turnout","yes","no","yes_percentage"
75602430301,"Aarberg",3338,57.6,885,1038,46
75602440321,"Aarwangen",3083,59.6,876,949,48
75602490561,"Adelboden",2701,68.1,1169,671,63.5
75602450401,"Aefligen",818,58.3,265,212,55.6
75602420731,"Aegerten",1352,55,369,374,49.7
75602490562,"Aeschi bei Spiez",1699,63.7,584,498,54
75602450951,"Affoltern im Emmental",926,55.5,294,220,57.2
75602450402,"Alchenstorf",480,55.4,146,120,54.9
75602460630,"Allmendingen",412,70.6,141,147,49
75602470921,"Amsoldingen",666,61,218,186,54
75602430381,"Arch",1187,56.4,388,281,58
75602460602,"Arni (BE)",753,56.6,261,165,61.3
75602440971,"Attiswil",1086,61.5,360,306,54.1
75602440322,"Auswil",405,57.5,153,80,65.7
75602440323,"Bannwil",525,62.3,188,138,57.7
75602430302,"Bargen (BE)",759,62.2,204,268,43.2
75602460403,"Bäriswil",819,70.5,272,301,47.5
75602450533,"Bätterkinden",2438,61,533,939,36.2
75602500571,"Beatenberg",885,61.9,301,247,54.9
75602420732,"Bellmund",1191,65.4,298,481,38.3
75602460861,"Belp",8377,63.7,2341,2999,43.8
75602410681,"Belprahon",246,67.9,84,83,50.3
75602440972,"Berken",38,73.7,20,8,71.4
75602460351,"Bern",86736,67.8,10193,48602,17.3
75602440973,"Bettenhausen",553,68.5,216,163,57
75602420371,"Biel/Bienne",31383,53.1,5204,11475,31.2
75602460603,"Biglen",1350,60,350,460,43.2
75602440324,"Bleienbach",559,61.4,196,147,57.1
75602470922,"Blumenstein",1009,58.9,350,243,59
75602460352,"Bolligen",4759,74,1073,2450,30.5
75602480791,"Boltigen",1091,55.9,414,196,67.9
75602500572,"Bönigen",1962,54.9,533,544,49.5
75602460605,"Bowil",1109,55.3,360,253,58.7
75602460353,"Bremgarten bei Bern",3231,75.3,602,1831,24.7
75602460606,"Brenzikofen",422,63.3,160,105,60.4
75602500573,"Brienz (BE)",2376,59.6,751,664,53.1
75602500574,"Brienzwiler",385,59.5,138,91,60.3
75602420733,"Brügg",2835,51.7,614,851,41.9
75602430491,"Brüttelen",417,59.5,146,102,58.9
75602470923,"Buchholterberg",1256,59.2,517,226,69.6
75602430382,"Büetigen",653,64,234,184,56
75602430734,"Bühl",350,62.9,124,96,56.4
75602430383,"Büren an der Aare",2470,58.9,639,815,43.9
75602450404,"Burgdorf",11728,60,2055,4977,29.2
75602470863,"Burgistein",881,60.8,299,237,55.8
75602440325,"Busswil bei Melchnau",158,68.4,65,41,61.3
75602410683,"Champoz",127,74,60,33,64.5
75602460661,"Clavaleyres",NA,NA,NA,NA,NA
75602410687,"Corcelles (BE)",170,60,64,36,64
75602410431,"Corgémont",1118,54.9,299,307,49.3
75602410432,"Cormoret",375,58.1,73,145,33.5
75602410433,"Cortébert",494,50.8,112,131,46.1
75602410690,"Court",1022,55.9,322,248,56.5
75602410434,"Courtelary",935,53.7,225,277,44.8
75602410691,"Crémines",398,55.3,110,110,50
75602500575,"Därligen",313,56.9,92,86,51.7
75602490761,"Därstetten",668,59.6,272,126,68.3
75602460535,"Deisswil bei Münchenbuchsee",NA,NA,NA,NA,NA
75602460536,"Diemerswil",156,70.5,49,61,44.5
75602490762,"Diemtigen",1725,56.9,719,263,73.2
75602430385,"Diessbach bei Büren",712,60.8,224,209,51.7
75602430386,"Dotzigen",1092,60.3,328,331,49.8
75602450952,"Dürrenroth",854,54.3,274,190,59.1
75602450901,"Eggiwil",2017,46.6,674,266,71.7
75602430735,"Epsach",259,59.1,82,68,54.7
75602440953,"Eriswil",1100,51.3,323,241,57.3
75602470924,"Eriz",430,57.4,198,49,80.2
75602430492,"Erlach",1039,61.4,223,415,35
75602490763,"Erlenbach im Simmental",1359,57.5,481,300,61.6
75602450405,"Ersigen",1605,63.3,490,526,48.2
75602410692,"Eschert",265,50.9,70,65,51.9
75602420372,"Evilard",1782,68.7,341,884,27.8
75602470925,"Fahrni",623,69.7,230,139,62.3
75602440975,"Farnern",166,57.2,55,40,57.9
75602460662,"Ferenbalm",954,65.8,348,280,55.4
75602430493,"Finsterhennen",317,62.5,109,88,55.3
75602470948,"Forst-Längenbühl",610,63.6,239,149,61.6
75602460538,"Fraubrunnen",3796,63.8,959,1462,39.6
75602460663,"Frauenkappelen",942,64.2,223,382,36.9
75602460607,"Freimettigen",347,62.2,104,110,48.6
75602490563,"Frutigen",5306,61.7,1927,1349,58.8
75602430494,"Gals",557,56.7,133,183,42.1
75602430495,"Gampelen",618,57,174,178,49.4
75602460865,"Gelterfingen",224,64.3,93,51,64.6
75602460866,"Gerzensee",910,64.6,264,324,44.9
75602460664,"Golaten",243,64.2,97,59,62.2
75602440326,"Gondiswil",598,54.5,195,129,60.2
75602440976,"Graben",259,61.4,93,65,58.9
75602410694,"Grandval",293,52.2,87,65,57.2
75602500576,"Grindelwald",2678,57,966,560,63.3
75602430303,"Grossaffoltern",2363,63.4,660,839,44
75602460608,"Grosshöchstetten",2672,64.2,661,1055,38.5
75602480841,"Gsteig",712,52,206,164,55.7
75602500577,"Gsteigwiler",326,61,91,108,45.7
75602460852,"Guggisberg",1309,47.1,368,236,60.9
75602500578,"Gündlischwand",238,55,84,44,65.6
75602460665,"Gurbrü",187,66.8,66,59,52.8
