Eidgenössische Volksabstimmung vom 28.2.2016 ,,,,,,,,,,,,,,,,,,
Votation populaire fédérale du 28.2.2016,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Kanton Bern,,,Volksinitiative «Für Ehe und Familie - gegen die Heiratsstrafe» ,,,,Volksinitiative «Zur Durchsetzung der Ausschaffung krimineller Ausländer (Durchsetzungsinitiative)» ,,,,Volksinitiative «Keine Spekulation mit Nahrungsmitteln!» ,,,,Änderung des Bundesgesetzes über den Strassentransitverkehr im Alpengebiet (Sanierung Gotthard-Strassentunnel) ,,, 
Canton de Berne,,,Initiative populaire «Pour le couple et la famille - Non à la pénalisation du mariage»,,,,Initiative populaire «Pour le renvoi effectif des étrangers criminels (initiative de mise en oeuvre)»,,,,Initiative populaire «Pas de spéculation sur les denrées alimentaires»,,,,Modification de la loi fédérale sur le transit routier dans la région alpine (Réfection du tunnel routier du Gothard),,, 
Verwaltungskreis,Stimmber.,Stimmbet.,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Ja,Nein 
Arrondissement administratif,Nbre. d'élect.,Participat.,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non
,,,,,,,,,,,,,,,,,,
Bern-Mittelland,286'955,65.30%,73'202,111'229,39.70%,60.30%,58'455,129'016,31.20%,68.80%,80'541,101'360,44.30%,55.70%,96'185,89'237,51.90%,48.10%
Biel/Bienne,62'590,55.90%,15'881,18'399,46.30%,53.70%,12'854,22'116,36.80%,63.20%,15'888,17'948,47.00%,53.00%,19'456,15'036,56.40%,43.60%
Emmental,74'520,56.80%,20'533,21'137,49.30%,50.70%,19'965,22'333,47.20%,52.80%,15'659,25'518,38.00%,62.00%,25'937,16'017,61.80%,38.20%
Frutigen-Niedersimmental,30'853,61.60%,10'395,8'250,55.80%,44.20%,10'484,8'509,55.20%,44.80%,6'918,11'465,37.60%,62.40%,11'781,7'040,62.60%,37.40%
Interlaken-Oberhasli,34'155,57.60%,9'554,9'728,49.50%,50.50%,9'797,9'885,49.80%,50.20%,7'094,12'048,37.10%,62.90%,12'633,6'883,64.70%,35.30%
Jura bernois,36'312,53.50%,11'391,7'737,59.60%,40.40%,8'563,10'881,44.00%,56.00%,8'892,9'735,47.70%,52.30%,11'072,8'172,57.50%,42.50%
Oberaargau,58'125,58.00%,16'840,16'389,50.70%,49.30%,16'286,17'421,48.30%,51.70%,12'292,20'660,37.30%,62.70%,21'366,12'094,63.90%,36.10%
Obersimmental-Saanen,12'027,58.50%,3'583,3'284,52.20%,47.80%,3'950,3'086,56.10%,43.90%,2'239,4'542,33.00%,67.00%,5'002,1'939,72.10%,27.90%
