"municipality_name","entitled_to_vote","turnout","yes_m","no_m","yes_m_pct","no_m_pct","yes_e","no_e","yes_e_pct","no_e_pct","yes_f","no_f","yes_f_pct","no_f_pct","yes_r","no_r","yes_r_pct","no_r_pct"
"Belprahon","246","67.9%","100","60","62.5%","37.5%","84","83","50.3%","49.7%","71","88","44.7%","55.3%","111","51","68.5%","31.5% "
"Champoz","127","74.0%","70","23","75.3%","24.7%","60","33","64.5%","35.5%","30","64","31.9%","68.1%","71","23","75.5%","24.5% "
"Corcelles","170","60.0%","77","25","75.5%","24.5%","64","36","64.0%","36.0%","46","53","46.5%","53.5%","71","25","74.0%","26.0% "
"Corgémont","1'118","54.9%","390","224","63.5%","36.5%","299","307","49.3%","50.7%","245","352","41.0%","59.0%","384","224","63.2%","36.8% "
"Cormoret","375","58.1%","112","103","52.1%","47.9%","73","145","33.5%","66.5%","114","102","52.8%","47.2%","117","101","53.7%","46.3% "
"Cortébert","494","50.8%","138","104","57.0%","43.0%","112","131","46.1%","53.9%","120","116","50.8%","49.2%","139","112","55.4%","44.6% "
"Court","1'022","55.9%","385","177","68.5%","31.5%","322","248","56.5%","43.5%","204","333","38.0%","62.0%","374","197","65.5%","34.5% "
"Courtelary","935","53.7%","282","209","57.4%","42.6%","225","277","44.8%","55.2%","238","243","49.5%","50.5%","286","211","57.5%","42.5% "
"Crémines","398","55.3%","138","75","64.8%","35.2%","110","110","50.0%","50.0%","116","90","56.3%","43.7%","118","102","53.6%","46.4% "
"Eschert","265","50.9%","74","59","55.6%","44.4%","70","65","51.9%","48.1%","64","63","50.4%","49.6%","72","60","54.5%","45.5% "
"Grandval","293","52.2%","103","49","67.8%","32.2%","87","65","57.2%","42.8%","88","65","57.5%","42.5%","69","81","46.0%","54.0% "
"La Ferrière","414","44.4%","97","87","52.7%","47.3%","64","120","34.8%","65.2%","81","96","45.8%","54.2%","77","105","42.3%","57.7% "
"La Neuveville","2'602","57.3%","733","710","50.8%","49.2%","442","1'048","29.7%","70.3%","660","759","46.5%","53.5%","785","686","53.4%","46.6% "
"Loveresse","246","56.5%","78","60","56.5%","43.5%","76","63","54.7%","45.3%","67","65","50.8%","49.2%","79","58","57.7%","42.3% "
"Mont-Tramelan","111","56.8%","41","21","66.1%","33.9%","24","38","38.7%","61.3%","32","29","52.5%","47.5%","39","24","61.9%","38.1% "
