"municipality_name","entitled_to_vote","turnout","yes_m","no_m","yes_m_pct","no_m_pct","yes_e","no_e","yes_e_pct","no_e_pct","yes_f","no_f","yes_f_pct","no_f_pct","yes_r","no_r","yes_r_pct","no_r_pct"
"Belprahon",246,67.9,100,60,62.5,37.5,84,83,50.3,49.7,71,88,44.7,55.3,111,51,68.5,31.5
"Champoz",127,74,70,23,75.3,24.7,60,33,64.5,35.5,30,64,31.9,68.1,71,23,75.5,24.5
"Corcelles",170,60,77,25,75.5,24.5,64,36,64,36,46,53,46.5,53.5,71,25,74,26
"Corgémont",1118,54.9,390,224,63.5,36.5,299,307,49.3,50.7,245,352,41,59,384,224,63.2,36.8
"Cormoret",375,58.1,112,103,52.1,47.9,73,145,33.5,66.5,114,102,52.8,47.2,117,101,53.7,46.3
"Cortébert",494,50.8,138,104,57,43,112,131,46.1,53.9,120,116,50.8,49.2,139,112,55.4,44.6
"Court",1022,55.9,385,177,68.5,31.5,322,248,56.5,43.5,204,333,38,62,374,197,65.5,34.5
"Courtelary",935,53.7,282,209,57.4,42.6,225,277,44.8,55.2,238,243,49.5,50.5,286,211,57.5,42.5
"Crémines",398,55.3,138,75,64.8,35.2,110,110,50,50,116,90,56.3,43.7,118,102,53.6,46.4
"Eschert",265,50.9,74,59,55.6,44.4,70,65,51.9,48.1,64,63,50.4,49.6,72,60,54.5,45.5
"Grandval",293,52.2,103,49,67.8,32.2,87,65,57.2,42.8,88,65,57.5,42.5,69,81,46,54
"La Ferrière",414,44.4,97,87,52.7,47.3,64,120,34.8,65.2,81,96,45.8,54.2,77,105,42.3,57.7
"La Neuveville",2602,57.3,733,710,50.8,49.2,442,1048,29.7,70.3,660,759,46.5,53.5,785,686,53.4,46.6
"Loveresse",246,56.5,78,60,56.5,43.5,76,63,54.7,45.3,67,65,50.8,49.2,79,58,57.7,42.3
"Mont-Tramelan",111,56.8,41,21,66.1,33.9,24,38,38.7,61.3,32,29,52.5,47.5,39,24,61.9,38.1
"Moutier",4678,54.5,1516,969,61,39,1021,1530,40,60,1249,1190,51.2,48.8,1426,1091,56.7,43.3
"Nods",570,48.8,149,125,54.4,45.6,138,140,49.6,50.4,118,145,44.9,55.1,157,117,57.3,42.7
"Orvin",902,53.8,277,201,57.9,42.1,212,273,43.7,56.3,231,241,48.9,51.1,267,209,56.1,43.9
"Perrefitte",306,59.2,120,55,68.6,31.4,97,84,53.6,46.4,90,84,51.7,48.3,116,63,64.8,35.2
"Péry-La Heutte",1339,51.1,374,307,54.9,45.1,320,364,46.8,53.2,301,358,45.7,54.3,395,281,58.4,41.6
"Petit-Val",303,69,129,77,62.6,37.4,113,96,54.1,45.9,103,100,50.7,49.3,117,91,56.3,43.8
"Plateau de Diesse",1508,56.2,477,354,57.4,42.6,331,516,39.1,60.9,405,401,50.2,49.8,478,357,57.2,42.8
"Rebévelier",35,57.1,9,11,45,55,11,9,55,45,13,6,68.4,31.6,10,10,50,50
"Reconvilier",1492,56.1,556,275,66.9,33.1,430,407,51.4,48.6,350,452,43.6,56.4,495,325,60.4,39.6
"Renan ",679,52.4,189,163,53.7,46.3,154,202,43.3,56.7,179,157,53.3,46.7,181,174,51,49
"Roches",161,44.1,50,19,72.5,27.5,47,22,68.1,31.9,35,26,57.4,42.6,45,26,63.4,36.6
"Romont ",153,64.7,60,34,63.8,36.2,53,46,53.5,46.5,40,54,42.6,57.4,61,37,62.2,37.8
"Saicourt",467,56.7,169,92,64.8,35.2,146,119,55.1,44.9,109,144,43.1,56.9,167,94,64,36
"Saint-Imier",3021,46.7,736,647,53.2,46.8,548,863,38.8,61.2,632,717,46.8,53.2,762,636,54.5,45.5
"Sauge",612,55.2,181,140,56.4,43.6,153,185,45.3,54.7,144,169,46,54,181,152,54.4,45.6
"Saules ",124,64.5,46,32,59,41,54,24,69.2,30.8,40,34,54.1,45.9,47,33,58.8,41.3
"Schelten",63,33.3,9,6,60,40,12,9,57.1,42.9,14,6,70,30,7,13,35,65
"Seehof",67,40.3,9,18,33.3,66.7,18,9,66.7,33.3,10,16,38.5,61.5,16,10,61.5,38.5
"Sonceboz-Sombeval",1255,49.4,398,220,64.4,35.6,288,332,46.5,53.5,257,339,43.1,56.9,392,227,63.3,36.7
"Sonvilier",877,47.1,255,152,62.7,37.3,190,223,46,54,203,195,51,49,231,178,56.5,43.5
"Sorvilier",216,56,76,40,65.5,34.5,55,66,45.5,54.5,53,67,44.2,55.8,77,44,63.6,36.4
"Tavannes",2233,48.4,675,397,63,37,476,604,44.1,55.9,509,536,48.7,51.3,607,465,56.6,43.4
"Tramelan",3139,55.2,951,757,55.7,44.3,692,1041,39.9,60.1,862,796,52,48,939,760,55.3,44.7
"Valbirse",2656,55.9,950,526,64.4,35.6,743,742,50,50,574,834,40.8,59.2,920,552,62.5,37.5
"Villeret",640,55.5,212,134,61.3,38.7,149,206,42,58,195,150,56.5,43.5,186,167,52.7,47.3
"Aegerten",1352,55,359,372,49.1,50.9,369,374,49.7,50.3,275,446,38.1,61.9,507,233,68.5,31.5
"Bellmund",1191,65.4,376,401,48.4,51.6,298,481,38.3,61.7,236,532,30.7,69.3,527,250,67.8,32.2
"Biel / Bienne",31383,53.1,6813,9466,41.9,58.1,5204,11475,31.2,68.8,8732,7286,54.5,45.5,8038,8326,49.1,50.9
