"municipality_name","id","entitled_to_vote","turnout","yes_m","no_m","yes_m_pct","no_m_pct","yes_e","no_e","yes_e_pct","no_e_pct","yes_f","no_f","yes_f_pct","no_f_pct","yes_r","no_r","yes_r_pct","no_r_pct"
"Aarberg",75602430301,3338,57.6,914,1000,47.8,52.2,885,1038,46,54,633,1251,33.6,66.4,1229,684,64.2,35.8
"Aarwangen",75602440321,3083,59.6,926,886,51.1,48.9,876,949,48,52,620,1189,34.3,65.7,1206,630,65.7,34.3
"Adelboden",75602490561,2701,68.1,1168,658,64,36,1169,671,63.5,36.5,589,1197,33,67,1315,509,72.1,27.9
"Aefligen",75602450401,818,58.3,246,219,52.9,47.1,265,212,55.6,44.4,174,296,37,63,327,145,69.3,30.7
"Aegerten",75602420731,1352,55,359,372,49.1,50.9,369,374,49.7,50.3,275,446,38.1,61.9,507,233,68.5,31.5
"Aeschi bei Spiez",75602490562,1699,63.7,588,472,55.5,44.5,584,498,54,46,415,631,39.7,60.3,672,397,62.9,37.1
"Affoltern im Emmental",75602450951,926,55.5,282,218,56.4,43.6,294,220,57.2,42.8,183,316,36.7,63.3,307,203,60.2,39.8
"Alchenstorf",75602450402,480,55.4,120,140,46.2,53.8,146,120,54.9,45.1,77,180,30,70,159,102,60.9,39.1
"Allmendingen",75602460630,412,70.6,168,122,57.9,42.1,141,147,49,51,71,213,25,75,200,91,68.7,31.3
"Amsoldingen",75602470921,666,61,202,204,49.8,50.2,218,186,54,46,153,251,37.9,62.1,262,143,64.7,35.3
"Arch",75602430381,1187,56.4,402,261,60.6,39.4,388,281,58,42,240,418,36.5,63.5,482,184,72.4,27.6
"Arni (BE)",75602460602,753,56.6,212,210,50.2,49.8,261,165,61.3,38.7,134,281,32.3,67.7,286,136,67.8,32.2
"Attiswil",75602440971,1086,61.5,358,308,53.8,46.2,360,306,54.1,45.9,237,422,36,64,447,221,66.9,33.1
"Auswil",75602440322,405,57.5,126,103,55,45,153,80,65.7,34.3,98,130,43,57,155,78,66.5,33.5
