"GDEKT","GDEBZNR","GDENR","GDENAME","GDENAMK","GDEBZNA","GDEKTNA","GDEMUTDAT"
"ZH",101,1,"Aeugst am Albis","Aeugst am Albis","Bezirk Affoltern","Zürich","1976-11-15"
"ZH",101,2,"Affoltern am Albis","Affoltern am Albis","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,3,"Bonstetten","Bonstetten","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,4,"Hausen am Albis","Hausen am Albis","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,5,"Hedingen","Hedingen","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,6,"Kappel am Albis","Kappel am Albis","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,7,"Knonau","Knonau","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,8,"Maschwanden","Maschwanden","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,9,"Mettmenstetten","Mettmenstetten","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,10,"Obfelden","Obfelden","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,11,"Ottenbach","Ottenbach","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,12,"Rifferswil","Rifferswil","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,13,"Stallikon","Stallikon","Bezirk Affoltern","Zürich","1960-01-01"
"ZH",101,14,"Wettswil am Albis","Wettswil am Albis","Bezirk Affoltern","Zürich","1976-11-15"
"ZH",102,21,"Adlikon","Adlikon","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,22,"Benken (ZH)","Benken (ZH)","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,23,"Berg am Irchel","Berg am Irchel","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,24,"Buch am Irchel","Buch am Irchel","Bezirk Andelfingen","Zürich","2013-01-01"
"ZH",102,25,"Dachsen","Dachsen","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,26,"Dorf","Dorf","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,27,"Feuerthalen","Feuerthalen","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,28,"Flaach","Flaach","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,29,"Flurlingen","Flurlingen","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,30,"Andelfingen","Andelfingen","Bezirk Andelfingen","Zürich","1970-01-01"
"ZH",102,31,"Henggart","Henggart","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,32,"Humlikon","Humlikon","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,33,"Kleinandelfingen","Kleinandelfingen","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,34,"Laufen-Uhwiesen","Laufen-Uhwiesen","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,35,"Marthalen","Marthalen","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,36,"Oberstammheim","Oberstammheim","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,37,"Ossingen","Ossingen","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,38,"Rheinau","Rheinau","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,39,"Thalheim an der Thur","Thalheim an der Thur","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,40,"Trüllikon","Trüllikon","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,41,"Truttikon","Truttikon","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,42,"Unterstammheim","Unterstammheim","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,43,"Volken","Volken","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",102,44,"Waltalingen","Waltalingen","Bezirk Andelfingen","Zürich","1960-01-01"
"ZH",103,51,"Bachenbülach","Bachenbülach","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,52,"Bassersdorf","Bassersdorf","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,53,"Bülach","Bülach","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,54,"Dietlikon","Dietlikon","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,55,"Eglisau","Eglisau","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,56,"Embrach","Embrach","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,57,"Freienstein-Teufen","Freienstein-Teufen","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,58,"Glattfelden","Glattfelden","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,59,"Hochfelden","Hochfelden","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,60,"Höri","Höri","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,61,"Hüntwangen","Hüntwangen","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,62,"Kloten","Kloten","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,63,"Lufingen","Lufingen","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,64,"Nürensdorf","Nürensdorf","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,65,"Oberembrach","Oberembrach","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,66,"Opfikon","Opfikon","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,67,"Rafz","Rafz","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,68,"Rorbas","Rorbas","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,69,"Wallisellen","Wallisellen","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,70,"Wasterkingen","Wasterkingen","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,71,"Wil (ZH)","Wil (ZH)","Bezirk Bülach","Zürich","1960-01-01"
"ZH",103,72,"Winkel","Winkel","Bezirk Bülach","Zürich","1960-01-01"
"ZH",104,81,"Bachs","Bachs","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,82,"Boppelsen","Boppelsen","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,83,"Buchs (ZH)","Buchs (ZH)","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,84,"Dällikon","Dällikon","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,85,"Dänikon","Dänikon","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,86,"Dielsdorf","Dielsdorf","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,87,"Hüttikon","Hüttikon","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,88,"Neerach","Neerach","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,89,"Niederglatt","Niederglatt","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,90,"Niederhasli","Niederhasli","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,91,"Niederweningen","Niederweningen","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,92,"Oberglatt","Oberglatt","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,93,"Oberweningen","Oberweningen","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,94,"Otelfingen","Otelfingen","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,95,"Regensberg","Regensberg","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,96,"Regensdorf","Regensdorf","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,97,"Rümlang","Rümlang","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,98,"Schleinikon","Schleinikon","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,99,"Schöfflisdorf","Schöfflisdorf","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,100,"Stadel","Stadel","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,101,"Steinmaur","Steinmaur","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",104,102,"Weiach","Weiach","Bezirk Dielsdorf","Zürich","1960-01-01"
"ZH",105,111,"Bäretswil","Bäretswil","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",105,112,"Bubikon","Bubikon","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",105,113,"Dürnten","Dürnten","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",105,114,"Fischenthal","Fischenthal","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",105,115,"Gossau (ZH)","Gossau (ZH)","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",105,116,"Grüningen","Grüningen","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",105,117,"Hinwil","Hinwil","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",105,118,"Rüti (ZH)","Rüti (ZH)","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",105,119,"Seegräben","Seegräben","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",105,120,"Wald (ZH)","Wald (ZH)","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",105,121,"Wetzikon (ZH)","Wetzikon (ZH)","Bezirk Hinwil","Zürich","1960-01-01"
"ZH",106,131,"Adliswil","Adliswil","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,132,"Hirzel","Hirzel","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,133,"Horgen","Horgen","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,134,"Hütten","Hütten","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,135,"Kilchberg (ZH)","Kilchberg (ZH)","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,136,"Langnau am Albis","Langnau am Albis","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,137,"Oberrieden","Oberrieden","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,138,"Richterswil","Richterswil","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,139,"Rüschlikon","Rüschlikon","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,140,"Schönenberg (ZH)","Schönenberg (ZH)","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,141,"Thalwil","Thalwil","Bezirk Horgen","Zürich","1960-01-01"
"ZH",106,142,"Wädenswil","Wädenswil","Bezirk Horgen","Zürich","1960-01-01"
"ZH",107,151,"Erlenbach (ZH)","Erlenbach (ZH)","Bezirk Meilen","Zürich","1960-01-01"
"ZH",107,152,"Herrliberg","Herrliberg","Bezirk Meilen","Zürich","1960-01-01"
"ZH",107,153,"Hombrechtikon","Hombrechtikon","Bezirk Meilen","Zürich","1960-01-01"
"ZH",107,154,"Küsnacht (ZH)","Küsnacht (ZH)","Bezirk Meilen","Zürich","1960-01-01"
"ZH",107,155,"Männedorf","Männedorf","Bezirk Meilen","Zürich","1960-01-01"
"ZH",107,156,"Meilen","Meilen","Bezirk Meilen","Zürich","1960-01-01"
"ZH",107,157,"Oetwil am See","Oetwil am See","Bezirk Meilen","Zürich","1960-01-01"
"ZH",107,158,"Stäfa","Stäfa","Bezirk Meilen","Zürich","1960-01-01"
"ZH",107,159,"Uetikon am See","Uetikon am See","Bezirk Meilen","Zürich","1977-03-10"
"ZH",107,160,"Zumikon","Zumikon","Bezirk Meilen","Zürich","1960-01-01"
"ZH",107,161,"Zollikon","Zollikon","Bezirk Meilen","Zürich","1986-01-01"
"ZH",108,172,"Fehraltorf","Fehraltorf","Bezirk Pfäffikon","Zürich","1960-01-01"
"ZH",108,173,"Hittnau","Hittnau","Bezirk Pfäffikon","Zürich","1960-01-01"
"ZH",108,176,"Lindau","Lindau","Bezirk Pfäffikon","Zürich","1960-01-01"
"ZH",108,177,"Pfäffikon","Pfäffikon","Bezirk Pfäffikon","Zürich","1960-01-01"
"ZH",108,178,"Russikon","Russikon","Bezirk Pfäffikon","Zürich","1960-01-01"
"ZH",108,180,"Weisslingen","Weisslingen","Bezirk Pfäffikon","Zürich","1960-01-01"
"ZH",108,181,"Wila","Wila","Bezirk Pfäffikon","Zürich","1960-01-01"
"ZH",108,182,"Wildberg","Wildberg","Bezirk Pfäffikon","Zürich","1960-01-01"
"ZH",109,191,"Dübendorf","Dübendorf","Bezirk Uster","Zürich","1960-01-01"
"ZH",109,192,"Egg","Egg","Bezirk Uster","Zürich","1960-01-01"
"ZH",109,193,"Fällanden","Fällanden","Bezirk Uster","Zürich","1960-01-01"
"ZH",109,194,"Greifensee","Greifensee","Bezirk Uster","Zürich","1960-01-01"
"ZH",109,195,"Maur","Maur","Bezirk Uster","Zürich","1960-01-01"
"ZH",109,196,"Mönchaltorf","Mönchaltorf","Bezirk Uster","Zürich","1960-01-01"
