"id","geoid2","place_name","state_name","state_fips","pop_census_2010","pop_est_2014"
"8401921000",1921000,"Des Moines","Iowa","19","203433",209220
"8401912000",1912000,"Cedar Rapids","Iowa","19","126326",129195
"8401919000",1919000,"Davenport","Iowa","19","99685",102448
"8401973335",1973335,"Sioux City","Iowa","19","82684",82517
"8401938595",1938595,"Iowa City","Iowa","19","67862",73415
"8403240000",3240000,"Las Vegas","Nevada","32","583756",613599
"8403231900",3231900,"Henderson","Nevada","32","257729",277440
"8403260600",3260600,"Reno","Nevada","32","225221",236995
"8403251800",3251800,"North Las Vegas","Nevada","32","216961",230788
"8403268400",3268400,"Sparks","Nevada","32","90264",94708
"8403345140",3345140,"Manchester","New Hampshire","33","109565",110448
"8403350260",3350260,"Nashua","New Hampshire","33","86494",87259
"8404516000",4516000,"Columbia","South Carolina","45","129272",132067
"8404513330",4513330,"Charleston","South Carolina","45","120083",130113
"8404550875",4550875,"North Charleston","South Carolina","45","97471",106749
"8404548535",4548535,"Mount Pleasant","South Carolina","45","67843",77796
"8404561405",4561405,"Rock Hill","South Carolina","45","66154",69967
