"id","geoid2","place_fips","place_name","state_name","state_fips","pop_census_2010","pop_est_2014"
"840107000",107000,"07000","Birmingham","Alabama","1","212237",212247
"840151000",151000,"51000","Montgomery","Alabama","1","205764",200481
"840150000",150000,"50000","Mobile","Alabama","1","195111",194675
"840137000",137000,"37000","Huntsville","Alabama","1","180105",188226
"840177256",177256,"77256","Tuscaloosa","Alabama","1","90468",96122
"840455000",455000,"55000","Phoenix","Arizona","4","1445632",1537058
"840477000",477000,"77000","Tucson","Arizona","4","520116",527972
"840446000",446000,"46000","Mesa","Arizona","4","439041",464704
"840412000",412000,"12000","Chandler","Arizona","4","236123",254276
"840427400",427400,"27400","Gilbert","Arizona","4","208453",239277
"8401921000",1921000,"21000","Des Moines","Iowa","19","203433",209220
"8401912000",1912000,"12000","Cedar Rapids","Iowa","19","126326",129195
"8401919000",1919000,"19000","Davenport","Iowa","19","99685",102448
"8401973335",1973335,"73335","Sioux City","Iowa","19","82684",82517
"8401938595",1938595,"38595","Iowa City","Iowa","19","67862",73415
"8403240000",3240000,"40000","Las Vegas","Nevada","32","583756",613599
"8403231900",3231900,"31900","Henderson","Nevada","32","257729",277440
"8403260600",3260600,"60600","Reno","Nevada","32","225221",236995
"8403251800",3251800,"51800","North Las Vegas","Nevada","32","216961",230788
"8403268400",3268400,"68400","Sparks","Nevada","32","90264",94708
"8403345140",3345140,"45140","Manchester","New Hampshire","33","109565",110448
"8403350260",3350260,"50260","Nashua","New Hampshire","33","86494",87259
"8404516000",4516000,"16000","Columbia","South Carolina","45","129272",132067
"8404513330",4513330,"13330","Charleston","South Carolina","45","120083",130113
"8404550875",4550875,"50875","North Charleston","South Carolina","45","97471",106749
"8404548535",4548535,"48535","Mount Pleasant","South Carolina","45","67843",77796
"8404561405",4561405,"61405","Rock Hill","South Carolina","45","66154",69967
