"id","cd114_code","cd114_name","geoid2","state_fips","cd114_fips","lsad","cdsessn"
"840CD1140101","AL-01","Alabama Congressional District 1","0101",1,"01","C2",114
"840CD1140102","AL-02","Alabama Congressional District 2","0102",1,"02","C2",114
"840CD1140103","AL-03","Alabama Congressional District 3","0103",1,"03","C2",114
"840CD1140104","AL-04","Alabama Congressional District 4","0104",1,"04","C2",114
"840CD1140105","AL-05","Alabama Congressional District 5","0105",1,"05","C2",114
"840CD1140106","AL-06","Alabama Congressional District 6","0106",1,"06","C2",114
"840CD1140107","AL-07","Alabama Congressional District 7","0107",1,"07","C2",114
"840CD1140200","AK-AL","Alaska Congressional District (at Large)","0200",2,"00","C1",114
"840CD1140401","AZ-01","Arizona Congressional District 1","0401",4,"01","C2",114
"840CD1140402","AZ-02","Arizona Congressional District 2","0402",4,"02","C2",114
"840CD1140403","AZ-03","Arizona Congressional District 3","0403",4,"03","C2",114
"840CD1140404","AZ-04","Arizona Congressional District 4","0404",4,"04","C2",114
"840CD1140405","AZ-05","Arizona Congressional District 5","0405",4,"05","C2",114
"840CD1140406","AZ-06","Arizona Congressional District 6","0406",4,"06","C2",114
"840CD1140407","AZ-07","Arizona Congressional District 7","0407",4,"07","C2",114
"840CD1140408","AZ-08","Arizona Congressional District 8","0408",4,"08","C2",114
"840CD1140409","AZ-09","Arizona Congressional District 9","0409",4,"09","C2",114
"840CD1140501","AR-01","Arkansas Congressional District 1","0501",5,"01","C2",114
"840CD1140502","AR-02","Arkansas Congressional District 2","0502",5,"02","C2",114
"840CD1140503","AR-03","Arkansas Congressional District 3","0503",5,"03","C2",114
"840CD1140504","AR-04","Arkansas Congressional District 4","0504",5,"04","C2",114
"840CD1140601","CA-01","California Congressional District 1","0601",6,"01","C2",114
"840CD1140602","CA-02","California Congressional District 2","0602",6,"02","C2",114
"840CD1140603","CA-03","California Congressional District 3","0603",6,"03","C2",114
"840CD1140604","CA-04","California Congressional District 4","0604",6,"04","C2",114
"840CD1140605","CA-05","California Congressional District 5","0605",6,"05","C2",114
"840CD1140606","CA-06","California Congressional District 6","0606",6,"06","C2",114
"840CD1140607","CA-07","California Congressional District 7","0607",6,"07","C2",114
"840CD1140608","CA-08","California Congressional District 8","0608",6,"08","C2",114
"840CD1140609","CA-09","California Congressional District 9","0609",6,"09","C2",114
"840CD1140610","CA-10","California Congressional District 10","0610",6,"10","C2",114
"840CD1140611","CA-11","California Congressional District 11","0611",6,"11","C2",114
"840CD1140612","CA-12","California Congressional District 12","0612",6,"12","C2",114
"840CD1140613","CA-13","California Congressional District 13","0613",6,"13","C2",114
"840CD1140614","CA-14","California Congressional District 14","0614",6,"14","C2",114
"840CD1140615","CA-15","California Congressional District 15","0615",6,"15","C2",114
"840CD1140616","CA-16","California Congressional District 16","0616",6,"16","C2",114
"840CD1140617","CA-17","California Congressional District 17","0617",6,"17","C2",114
"840CD1140618","CA-18","California Congressional District 18","0618",6,"18","C2",114
"840CD1140619","CA-19","California Congressional District 19","0619",6,"19","C2",114
"840CD1140620","CA-20","California Congressional District 20","0620",6,"20","C2",114
"840CD1140621","CA-21","California Congressional District 21","0621",6,"21","C2",114
"840CD1140622","CA-22","California Congressional District 22","0622",6,"22","C2",114
"840CD1140623","CA-23","California Congressional District 23","0623",6,"23","C2",114
"840CD1140624","CA-24","California Congressional District 24","0624",6,"24","C2",114
"840CD1140625","CA-25","California Congressional District 25","0625",6,"25","C2",114
"840CD1140626","CA-26","California Congressional District 26","0626",6,"26","C2",114
"840CD1140627","CA-27","California Congressional District 27","0627",6,"27","C2",114
"840CD1140628","CA-28","California Congressional District 28","0628",6,"28","C2",114
"840CD1140629","CA-29","California Congressional District 29","0629",6,"29","C2",114
"840CD1140630","CA-30","California Congressional District 30","0630",6,"30","C2",114
"840CD1140631","CA-31","California Congressional District 31","0631",6,"31","C2",114
"840CD1140632","CA-32","California Congressional District 32","0632",6,"32","C2",114
"840CD1140633","CA-33","California Congressional District 33","0633",6,"33","C2",114
"840CD1140634","CA-34","California Congressional District 34","0634",6,"34","C2",114
"840CD1140635","CA-35","California Congressional District 35","0635",6,"35","C2",114
"840CD1140636","CA-36","California Congressional District 36","0636",6,"36","C2",114
"840CD1140637","CA-37","California Congressional District 37","0637",6,"37","C2",114
"840CD1140638","CA-38","California Congressional District 38","0638",6,"38","C2",114
