"id","cd114_name","geoid2","state_fips","cd114_fips","lsad","cdsessn","cd114_code"
"840CD1140101","Alabama Congressional District 1","0101",1,"01","C2",114,"AL-01"
"840CD1140102","Alabama Congressional District 2","0102",1,"02","C2",114,"AL-02"
"840CD1140103","Alabama Congressional District 3","0103",1,"03","C2",114,"AL-03"
"840CD1140104","Alabama Congressional District 4","0104",1,"04","C2",114,"AL-04"
"840CD1140105","Alabama Congressional District 5","0105",1,"05","C2",114,"AL-05"
"840CD1140106","Alabama Congressional District 6","0106",1,"06","C2",114,"AL-06"
"840CD1140107","Alabama Congressional District 7","0107",1,"07","C2",114,"AL-07"
"840CD1140200","Alaska Congressional District (at Large)","0200",2,"00","C1",114,"AK-AL"
"840CD1140401","Arizona Congressional District 1","0401",4,"01","C2",114,"AZ-01"
"840CD1140402","Arizona Congressional District 2","0402",4,"02","C2",114,"AZ-02"
"840CD1140403","Arizona Congressional District 3","0403",4,"03","C2",114,"AZ-03"
"840CD1140404","Arizona Congressional District 4","0404",4,"04","C2",114,"AZ-04"
"840CD1140405","Arizona Congressional District 5","0405",4,"05","C2",114,"AZ-05"
"840CD1140406","Arizona Congressional District 6","0406",4,"06","C2",114,"AZ-06"
"840CD1140407","Arizona Congressional District 7","0407",4,"07","C2",114,"AZ-07"
"840CD1140408","Arizona Congressional District 8","0408",4,"08","C2",114,"AZ-08"
"840CD1140409","Arizona Congressional District 9","0409",4,"09","C2",114,"AZ-09"
"840CD1140501","Arkansas Congressional District 1","0501",5,"01","C2",114,"AR-01"
"840CD1140502","Arkansas Congressional District 2","0502",5,"02","C2",114,"AR-02"
"840CD1140503","Arkansas Congressional District 3","0503",5,"03","C2",114,"AR-03"
"840CD1140504","Arkansas Congressional District 4","0504",5,"04","C2",114,"AR-04"
"840CD1140601","California Congressional District 1","0601",6,"01","C2",114,"CA-01"
"840CD1140602","California Congressional District 2","0602",6,"02","C2",114,"CA-02"
