"id","cd114_code","cd114_name","state_fips"
"840EC20160101","AL-01","Alabama Congressional District 1","01"
"840EC20160102","AL-02","Alabama Congressional District 2","01"
"840EC20160103","AL-03","Alabama Congressional District 3","01"
"840EC20160104","AL-04","Alabama Congressional District 4","01"
"840EC20160105","AL-05","Alabama Congressional District 5","01"
"840EC20160106","AL-06","Alabama Congressional District 6","01"
"840EC20160107","AL-07","Alabama Congressional District 7","01"
"840EC20160200","AK-AL","Alaska Congressional District (at Large)","02"
"840EC20160401","AZ-01","Arizona Congressional District 1","04"
"840EC20160402","AZ-02","Arizona Congressional District 2","04"
"840EC20160403","AZ-03","Arizona Congressional District 3","04"
"840EC20160404","AZ-04","Arizona Congressional District 4","04"
"840EC20160405","AZ-05","Arizona Congressional District 5","04"
"840EC20160406","AZ-06","Arizona Congressional District 6","04"
"840EC20160407","AZ-07","Arizona Congressional District 7","04"
"840EC20160408","AZ-08","Arizona Congressional District 8","04"
"840EC20160409","AZ-09","Arizona Congressional District 9","04"
"840EC20160501","AR-01","Arkansas Congressional District 1","05"
"840EC20160502","AR-02","Arkansas Congressional District 2","05"
"840EC20160503","AR-03","Arkansas Congressional District 3","05"
"840EC20160504","AR-04","Arkansas Congressional District 4","05"
"840EC20160601","CA-01","California Congressional District 1","06"
"840EC20160602","CA-02","California Congressional District 2","06"
"840EC20160603","CA-03","California Congressional District 3","06"
"840EC20160604","CA-04","California Congressional District 4","06"
"840EC20160605","CA-05","California Congressional District 5","06"
"840EC20160606","CA-06","California Congressional District 6","06"
"840EC20160607","CA-07","California Congressional District 7","06"
"840EC20160608","CA-08","California Congressional District 8","06"
"840EC20160609","CA-09","California Congressional District 9","06"
"840EC20160610","CA-10","California Congressional District 10","06"
"840EC20160611","CA-11","California Congressional District 11","06"
"840EC20160612","CA-12","California Congressional District 12","06"
"840EC20160613","CA-13","California Congressional District 13","06"
"840EC20160614","CA-14","California Congressional District 14","06"
"840EC20160615","CA-15","California Congressional District 15","06"
"840EC20160616","CA-16","California Congressional District 16","06"
"840EC20160617","CA-17","California Congressional District 17","06"
"840EC20160618","CA-18","California Congressional District 18","06"
"840EC20160619","CA-19","California Congressional District 19","06"
"840EC20160620","CA-20","California Congressional District 20","06"
"840EC20160621","CA-21","California Congressional District 21","06"
"840EC20160622","CA-22","California Congressional District 22","06"
"840EC20160623","CA-23","California Congressional District 23","06"
"840EC20160624","CA-24","California Congressional District 24","06"
"840EC20160625","CA-25","California Congressional District 25","06"
"840EC20160626","CA-26","California Congressional District 26","06"
"840EC20160627","CA-27","California Congressional District 27","06"
"840EC20160628","CA-28","California Congressional District 28","06"
"840EC20160629","CA-29","California Congressional District 29","06"
"840EC20160630","CA-30","California Congressional District 30","06"
"840EC20160631","CA-31","California Congressional District 31","06"
"840EC20160632","CA-32","California Congressional District 32","06"
"840EC20160633","CA-33","California Congressional District 33","06"
"840EC20160634","CA-34","California Congressional District 34","06"
"840EC20160635","CA-35","California Congressional District 35","06"
"840EC20160636","CA-36","California Congressional District 36","06"
"840EC20160637","CA-37","California Congressional District 37","06"
"840EC20160638","CA-38","California Congressional District 38","06"
"840EC20160639","CA-39","California Congressional District 39","06"
"840EC20160640","CA-40","California Congressional District 40","06"
"840EC20160641","CA-41","California Congressional District 41","06"
"840EC20160642","CA-42","California Congressional District 42","06"
"840EC20160643","CA-43","California Congressional District 43","06"
"840EC20160644","CA-44","California Congressional District 44","06"
"840EC20160645","CA-45","California Congressional District 45","06"
"840EC20160646","CA-46","California Congressional District 46","06"
"840EC20160647","CA-47","California Congressional District 47","06"
"840EC20160648","CA-48","California Congressional District 48","06"
"840EC20160649","CA-49","California Congressional District 49","06"
"840EC20160650","CA-50","California Congressional District 50","06"
"840EC20160651","CA-51","California Congressional District 51","06"
"840EC20160652","CA-52","California Congressional District 52","06"
"840EC20160653","CA-53","California Congressional District 53","06"
"840EC20160801","CO-01","Colorado Congressional District 1","08"
"840EC20160802","CO-02","Colorado Congressional District 2","08"
"840EC20160803","CO-03","Colorado Congressional District 3","08"
"840EC20160804","CO-04","Colorado Congressional District 4","08"
"840EC20160805","CO-05","Colorado Congressional District 5","08"
"840EC20160806","CO-06","Colorado Congressional District 6","08"
"840EC20160807","CO-07","Colorado Congressional District 7","08"
"840EC20160901","CT-01","Connecticut Congressional District 1","09"
"840EC20160902","CT-02","Connecticut Congressional District 2","09"
"840EC20160903","CT-03","Connecticut Congressional District 3","09"
"840EC20160904","CT-04","Connecticut Congressional District 4","09"
"840EC20160905","CT-05","Connecticut Congressional District 5","09"
"840EC20161000","DE-AL","Delaware Congressional District (at Large)","10"
"840EC20161201","FL-01","Florida Congressional District 1","12"
"840EC20161202","FL-02","Florida Congressional District 2","12"
"840EC20161203","FL-03","Florida Congressional District 3","12"
"840EC20161204","FL-04","Florida Congressional District 4","12"
"840EC20161205","FL-05","Florida Congressional District 5","12"
"840EC20161206","FL-06","Florida Congressional District 6","12"
"840EC20161207","FL-07","Florida Congressional District 7","12"
"840EC20161208","FL-08","Florida Congressional District 8","12"
"840EC20161209","FL-09","Florida Congressional District 9","12"
"840EC20161210","FL-10","Florida Congressional District 10","12"
"840EC20161211","FL-11","Florida Congressional District 11","12"
"840EC20161212","FL-12","Florida Congressional District 12","12"
"840EC20161213","FL-13","Florida Congressional District 13","12"
"840EC20161214","FL-14","Florida Congressional District 14","12"
"840EC20161215","FL-15","Florida Congressional District 15","12"
"840EC20161216","FL-16","Florida Congressional District 16","12"
"840EC20161217","FL-17","Florida Congressional District 17","12"
"840EC20161218","FL-18","Florida Congressional District 18","12"
"840EC20161219","FL-19","Florida Congressional District 19","12"
"840EC20161220","FL-20","Florida Congressional District 20","12"
"840EC20161221","FL-21","Florida Congressional District 21","12"
"840EC20161222","FL-22","Florida Congressional District 22","12"
"840EC20161223","FL-23","Florida Congressional District 23","12"
"840EC20161224","FL-24","Florida Congressional District 24","12"
"840EC20161225","FL-25","Florida Congressional District 25","12"
"840EC20161226","FL-26","Florida Congressional District 26","12"
"840EC20161227","FL-27","Florida Congressional District 27","12"
"840EC20161301","GA-01","Georgia Congressional District 1","13"
"840EC20161302","GA-02","Georgia Congressional District 2","13"
"840EC20161303","GA-03","Georgia Congressional District 3","13"
"840EC20161304","GA-04","Georgia Congressional District 4","13"
"840EC20161305","GA-05","Georgia Congressional District 5","13"
"840EC20161306","GA-06","Georgia Congressional District 6","13"
"840EC20161307","GA-07","Georgia Congressional District 7","13"
"840EC20161308","GA-08","Georgia Congressional District 8","13"
"840EC20161309","GA-09","Georgia Congressional District 9","13"
"840EC20161310","GA-10","Georgia Congressional District 10","13"
"840EC20161311","GA-11","Georgia Congressional District 11","13"
"840EC20161312","GA-12","Georgia Congressional District 12","13"
"840EC20161313","GA-13","Georgia Congressional District 13","13"
"840EC20161314","GA-14","Georgia Congressional District 14","13"
"840EC20161501","HI-01","Hawaii Congressional District 1","15"
"840EC20161502","HI-02","Hawaii Congressional District 2","15"
"840EC20161601","ID-01","Idaho Congressional District 1","16"
"840EC20161602","ID-02","Idaho Congressional District 2","16"
"840EC20161701","IL-01","Illinois Congressional District 1","17"
"840EC20161702","IL-02","Illinois Congressional District 2","17"
"840EC20161703","IL-03","Illinois Congressional District 3","17"
"840EC20161704","IL-04","Illinois Congressional District 4","17"
"840EC20161705","IL-05","Illinois Congressional District 5","17"
"840EC20161706","IL-06","Illinois Congressional District 6","17"
"840EC20161707","IL-07","Illinois Congressional District 7","17"
"840EC20161708","IL-08","Illinois Congressional District 8","17"
"840EC20161709","IL-09","Illinois Congressional District 9","17"
"840EC20161710","IL-10","Illinois Congressional District 10","17"
"840EC20161711","IL-11","Illinois Congressional District 11","17"
"840EC20161712","IL-12","Illinois Congressional District 12","17"
"840EC20161713","IL-13","Illinois Congressional District 13","17"
"840EC20161714","IL-14","Illinois Congressional District 14","17"
"840EC20161715","IL-15","Illinois Congressional District 15","17"
"840EC20161716","IL-16","Illinois Congressional District 16","17"
"840EC20161717","IL-17","Illinois Congressional District 17","17"
"840EC20161718","IL-18","Illinois Congressional District 18","17"
"840EC20161801","IN-01","Indiana Congressional District 1","18"
"840EC20161802","IN-02","Indiana Congressional District 2","18"
"840EC20161803","IN-03","Indiana Congressional District 3","18"
"840EC20161804","IN-04","Indiana Congressional District 4","18"
"840EC20161805","IN-05","Indiana Congressional District 5","18"
"840EC20161806","IN-06","Indiana Congressional District 6","18"
"840EC20161807","IN-07","Indiana Congressional District 7","18"
"840EC20161808","IN-08","Indiana Congressional District 8","18"
"840EC20161809","IN-09","Indiana Congressional District 9","18"
"840EC20161901","IA-01","Iowa Congressional District 1","19"
"840EC20161902","IA-02","Iowa Congressional District 2","19"
