"id","state_fips","cd114_fips","geoid","cd_name","lsad","cdsessn"
"840CD1142707",27,"07","2707","Congressional District 7","C2",114
"840CD1142702",27,"02","2702","Congressional District 2","C2",114
"840CD1142706",27,"06","2706","Congressional District 6","C2",114
"840CD1142708",27,"08","2708","Congressional District 8","C2",114
"840CD1141701",17,"01","1701","Congressional District 1","C2",114
"840CD1141718",17,"18","1718","Congressional District 18","C2",114
"840CD1141707",17,"07","1707","Congressional District 7","C2",114
"840CD1141702",17,"02","1702","Congressional District 2","C2",114
"840CD1143101",31,"01","3101","Congressional District 1","C2",114
"840CD1140636",6,"36","0636","Congressional District 36","C2",114
"840CD1140616",6,"16","0616","Congressional District 16","C2",114
"840CD1140646",6,"46","0646","Congressional District 46","C2",114
"840CD1140637",6,"37","0637","Congressional District 37","C2",114
"840CD1140633",6,"33","0633","Congressional District 33","C2",114
"840CD1140615",6,"15","0615","Congressional District 15","C2",114
"840CD1141802",18,"02","1802","Congressional District 2","C2",114
"840CD1141809",18,"09","1809","Congressional District 9","C2",114
"840CD1141806",18,"06","1806","Congressional District 6","C2",114
"840CD1141808",18,"08","1808","Congressional District 8","C2",114
"840CD1140653",6,"53","0653","Congressional District 53","C2",114
"840CD1140647",6,"47","0647","Congressional District 47","C2",114
"840CD1140631",6,"31","0631","Congressional District 31","C2",114
"840CD1140603",6,"03","0603","Congressional District 3","C2",114
"840CD1140621",6,"21","0621","Congressional District 21","C2",114
"840CD1140648",6,"48","0648","Congressional District 48","C2",114
"840CD1140610",6,"10","0610","Congressional District 10","C2",114
"840CD1140501",5,"01","0501","Congressional District 1","C2",114
"840CD1140503",5,"03","0503","Congressional District 3","C2",114
"840CD1140504",5,"04","0504","Congressional District 4","C2",114
"840CD1140502",5,"02","0502","Congressional District 2","C2",114
"840CD1141801",18,"01","1801","Congressional District 1","C2",114
"840CD1140634",6,"34","0634","Congressional District 34","C2",114
"840CD1140652",6,"52","0652","Congressional District 52","C2",114
"840CD1140630",6,"30","0630","Congressional District 30","C2",114
"840CD1140618",6,"18","0618","Congressional District 18","C2",114
"840CD1140620",6,"20","0620","Congressional District 20","C2",114
"840CD1140642",6,"42","0642","Congressional District 42","C2",114
"840CD1140625",6,"25","0625","Congressional District 25","C2",114
"840CD1142204",22,"04","2204","Congressional District 4","C2",114
"840CD1142202",22,"02","2202","Congressional District 2","C2",114
"840CD1142206",22,"06","2206","Congressional District 6","C2",114
"840CD1141901",19,"01","1901","Congressional District 1","C2",114
"840CD1140632",6,"32","0632","Congressional District 32","C2",114
"840CD1140643",6,"43","0643","Congressional District 43","C2",114
"840CD1140635",6,"35","0635","Congressional District 35","C2",114
"840CD1140613",6,"13","0613","Congressional District 13","C2",114
"840CD1140626",6,"26","0626","Congressional District 26","C2",114
"840CD1140644",6,"44","0644","Congressional District 44","C2",114
"840CD1140619",6,"19","0619","Congressional District 19","C2",114
"840CD1141904",19,"04","1904","Congressional District 4","C2",114
"840CD1141902",19,"02","1902","Congressional District 2","C2",114
"840CD1142701",27,"01","2701","Congressional District 1","C2",114
"840CD1142703",27,"03","2703","Congressional District 3","C2",114
"840CD1142704",27,"04","2704","Congressional District 4","C2",114
"840CD1142705",27,"05","2705","Congressional District 5","C2",114
"840CD1140649",6,"49","0649","Congressional District 49","C2",114
"840CD1140605",6,"05","0605","Congressional District 5","C2",114
"840CD1140624",6,"24","0624","Congressional District 24","C2",114
"840CD1143103",31,"03","3103","Congressional District 3","C2",114
"840CD1143102",31,"02","3102","Congressional District 2","C2",114
"840CD1140629",6,"29","0629","Congressional District 29","C2",114
"840CD1140607",6,"07","0607","Congressional District 7","C2",114
"840CD1140606",6,"06","0606","Congressional District 6","C2",114
"840CD1140639",6,"39","0639","Congressional District 39","C2",114
"840CD1141714",17,"14","1714","Congressional District 14","C2",114
"840CD1144701",47,"01","4701","Congressional District 1","C2",114
"840CD1144703",47,"03","4703","Congressional District 3","C2",114
"840CD1144705",47,"05","4705","Congressional District 5","C2",114
"840CD1144704",47,"04","4704","Congressional District 4","C2",114
"840CD1140611",6,"11","0611","Congressional District 11","C2",114
"840CD1144101",41,"01","4101","Congressional District 1","C2",114
"840CD1144103",41,"03","4103","Congressional District 3","C2",114
"840CD1144105",41,"05","4105","Congressional District 5","C2",114
"840CD1142301",23,"01","2301","Congressional District 1","C2",114
"840CD1142302",23,"02","2302","Congressional District 2","C2",114
"840CD1144707",47,"07","4707","Congressional District 7","C2",114
"840CD1144702",47,"02","4702","Congressional District 2","C2",114
"840CD1141705",17,"05","1705","Congressional District 5","C2",114
"840CD1141716",17,"16","1716","Congressional District 16","C2",114
"840CD1141713",17,"13","1713","Congressional District 13","C2",114
"840CD11417ZZ",17,"ZZ","17ZZ","Congressional Districts not defined","00",114
"840CD1140650",6,"50","0650","Congressional District 50","C2",114
