"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84001001","01001","Autauga County","AL","01","001","H1"
"84001003","01003","Baldwin County","AL","01","003","H1"
"84001005","01005","Barbour County","AL","01","005","H1"
"84001007","01007","Bibb County","AL","01","007","H1"
"84001009","01009","Blount County","AL","01","009","H1"
"84001011","01011","Bullock County","AL","01","011","H1"
"84001013","01013","Butler County","AL","01","013","H1"
"84001015","01015","Calhoun County","AL","01","015","H1"
"84001017","01017","Chambers County","AL","01","017","H1"
"84001019","01019","Cherokee County","AL","01","019","H1"
"84001021","01021","Chilton County","AL","01","021","H1"
"84001023","01023","Choctaw County","AL","01","023","H1"
"84001025","01025","Clarke County","AL","01","025","H1"
"84001027","01027","Clay County","AL","01","027","H1"
"84001029","01029","Cleburne County","AL","01","029","H1"
"84001031","01031","Coffee County","AL","01","031","H1"
"84001033","01033","Colbert County","AL","01","033","H1"
"84001035","01035","Conecuh County","AL","01","035","H1"
"84001037","01037","Coosa County","AL","01","037","H1"
"84001039","01039","Covington County","AL","01","039","H1"
"84001041","01041","Crenshaw County","AL","01","041","H1"
"84001043","01043","Cullman County","AL","01","043","H1"
"84001045","01045","Dale County","AL","01","045","H1"
"84001047","01047","Dallas County","AL","01","047","H1"
"84001049","01049","DeKalb County","AL","01","049","H1"
"84001051","01051","Elmore County","AL","01","051","H1"
"84001053","01053","Escambia County","AL","01","053","H1"
"84001055","01055","Etowah County","AL","01","055","H1"
"84001057","01057","Fayette County","AL","01","057","H1"
"84001059","01059","Franklin County","AL","01","059","H1"
"84001061","01061","Geneva County","AL","01","061","H1"
"84001063","01063","Greene County","AL","01","063","H1"
"84001065","01065","Hale County","AL","01","065","H1"
"84001067","01067","Henry County","AL","01","067","H1"
"84001069","01069","Houston County","AL","01","069","H1"
"84001071","01071","Jackson County","AL","01","071","H1"
"84001073","01073","Jefferson County","AL","01","073","H1"
"84001075","01075","Lamar County","AL","01","075","H1"
"84001077","01077","Lauderdale County","AL","01","077","H1"
"84001079","01079","Lawrence County","AL","01","079","H1"
"84001081","01081","Lee County","AL","01","081","H1"
"84001083","01083","Limestone County","AL","01","083","H1"
"84001085","01085","Lowndes County","AL","01","085","H1"
"84001087","01087","Macon County","AL","01","087","H1"
"84001089","01089","Madison County","AL","01","089","H1"
"84001091","01091","Marengo County","AL","01","091","H1"
"84001093","01093","Marion County","AL","01","093","H1"
"84001095","01095","Marshall County","AL","01","095","H1"
"84001097","01097","Mobile County","AL","01","097","H1"
"84001099","01099","Monroe County","AL","01","099","H1"
"84001101","01101","Montgomery County","AL","01","101","H1"
"84001103","01103","Morgan County","AL","01","103","H1"
"84001105","01105","Perry County","AL","01","105","H1"
"84001107","01107","Pickens County","AL","01","107","H1"
"84001109","01109","Pike County","AL","01","109","H1"
"84001111","01111","Randolph County","AL","01","111","H1"
"84001113","01113","Russell County","AL","01","113","H1"
"84001115","01115","St. Clair County","AL","01","115","H1"
"84001117","01117","Shelby County","AL","01","117","H1"
"84001119","01119","Sumter County","AL","01","119","H1"
"84001121","01121","Talladega County","AL","01","121","H1"
"84001123","01123","Tallapoosa County","AL","01","123","H1"
"84001125","01125","Tuscaloosa County","AL","01","125","H1"
"84001127","01127","Walker County","AL","01","127","H1"
"84001129","01129","Washington County","AL","01","129","H1"
"84001131","01131","Wilcox County","AL","01","131","H1"
"84001133","01133","Winston County","AL","01","133","H1"
