"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84002013","02013","Aleutians East Borough","AK","02","013","H1"
"84002016","02016","Aleutians West Census Area","AK","02","016","H5"
"84002020","02020","Anchorage Municipality","AK","02","020","H6"
"84002050","02050","Bethel Census Area","AK","02","050","H5"
"84002060","02060","Bristol Bay Borough","AK","02","060","H1"
"84002068","02068","Denali Borough","AK","02","068","H1"
"84002070","02070","Dillingham Census Area","AK","02","070","H5"
"84002090","02090","Fairbanks North Star Borough","AK","02","090","H1"
"84002100","02100","Haines Borough","AK","02","100","H1"
"84002105","02105","Hoonah-Angoon Census Area","AK","02","105","H5"
"84002110","02110","Juneau City and Borough","AK","02","110","H6"
"84002122","02122","Kenai Peninsula Borough","AK","02","122","H1"
"84002130","02130","Ketchikan Gateway Borough","AK","02","130","H1"
"84002150","02150","Kodiak Island Borough","AK","02","150","H1"
"84002158","02158","Kusilvak Census Area","AK","02","158","H5"
"84002164","02164","Lake and Peninsula Borough","AK","02","164","H1"
"84002170","02170","Matanuska-Susitna Borough","AK","02","170","H1"
"84002180","02180","Nome Census Area","AK","02","180","H5"
"84002185","02185","North Slope Borough","AK","02","185","H1"
"84002188","02188","Northwest Arctic Borough","AK","02","188","H1"
"84002195","02195","Petersburg Borough","AK","02","195","H1"
"84002198","02198","Prince of Wales-Hyder Census Area","AK","02","198","H5"
"84002220","02220","Sitka City and Borough","AK","02","220","H6"
"84002230","02230","Skagway Municipality","AK","02","230","H1"
"84002240","02240","Southeast Fairbanks Census Area","AK","02","240","H5"
"84002261","02261","Valdez-Cordova Census Area","AK","02","261","H5"
"84002275","02275","Wrangell City and Borough","AK","02","275","H1"
"84002282","02282","Yakutat City and Borough","AK","02","282","H1"
"84002290","02290","Yukon-Koyukuk Census Area","AK","02","290","H5"
