"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84004001","04001","Apache County","AZ","04","001","H1"
"84004003","04003","Cochise County","AZ","04","003","H1"
"84004005","04005","Coconino County","AZ","04","005","H1"
"84004007","04007","Gila County","AZ","04","007","H1"
"84004009","04009","Graham County","AZ","04","009","H1"
"84004011","04011","Greenlee County","AZ","04","011","H1"
"84004012","04012","La Paz County","AZ","04","012","H1"
"84004013","04013","Maricopa County","AZ","04","013","H1"
"84004015","04015","Mohave County","AZ","04","015","H1"
"84004017","04017","Navajo County","AZ","04","017","H1"
"84004019","04019","Pima County","AZ","04","019","H1"
"84004021","04021","Pinal County","AZ","04","021","H1"
"84004023","04023","Santa Cruz County","AZ","04","023","H1"
"84004025","04025","Yavapai County","AZ","04","025","H1"
"84004027","04027","Yuma County","AZ","04","027","H1"
