"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84005001","05001","Arkansas County","AR","05","001","H1"
"84005003","05003","Ashley County","AR","05","003","H1"
"84005005","05005","Baxter County","AR","05","005","H1"
"84005007","05007","Benton County","AR","05","007","H1"
"84005009","05009","Boone County","AR","05","009","H1"
"84005011","05011","Bradley County","AR","05","011","H1"
"84005013","05013","Calhoun County","AR","05","013","H1"
"84005015","05015","Carroll County","AR","05","015","H1"
"84005017","05017","Chicot County","AR","05","017","H1"
"84005019","05019","Clark County","AR","05","019","H1"
"84005021","05021","Clay County","AR","05","021","H1"
"84005023","05023","Cleburne County","AR","05","023","H1"
"84005025","05025","Cleveland County","AR","05","025","H1"
"84005027","05027","Columbia County","AR","05","027","H1"
"84005029","05029","Conway County","AR","05","029","H1"
"84005031","05031","Craighead County","AR","05","031","H1"
"84005033","05033","Crawford County","AR","05","033","H1"
"84005035","05035","Crittenden County","AR","05","035","H1"
"84005037","05037","Cross County","AR","05","037","H1"
"84005039","05039","Dallas County","AR","05","039","H1"
"84005041","05041","Desha County","AR","05","041","H1"
"84005043","05043","Drew County","AR","05","043","H1"
"84005045","05045","Faulkner County","AR","05","045","H1"
"84005047","05047","Franklin County","AR","05","047","H1"
"84005049","05049","Fulton County","AR","05","049","H1"
"84005051","05051","Garland County","AR","05","051","H1"
"84005053","05053","Grant County","AR","05","053","H1"
"84005055","05055","Greene County","AR","05","055","H1"
"84005057","05057","Hempstead County","AR","05","057","H1"
"84005059","05059","Hot Spring County","AR","05","059","H1"
"84005061","05061","Howard County","AR","05","061","H1"
"84005063","05063","Independence County","AR","05","063","H1"
"84005065","05065","Izard County","AR","05","065","H1"
"84005067","05067","Jackson County","AR","05","067","H1"
"84005069","05069","Jefferson County","AR","05","069","H1"
"84005071","05071","Johnson County","AR","05","071","H1"
"84005073","05073","Lafayette County","AR","05","073","H1"
"84005075","05075","Lawrence County","AR","05","075","H1"
"84005077","05077","Lee County","AR","05","077","H1"
"84005079","05079","Lincoln County","AR","05","079","H1"
"84005081","05081","Little River County","AR","05","081","H1"
"84005083","05083","Logan County","AR","05","083","H1"
"84005085","05085","Lonoke County","AR","05","085","H1"
"84005087","05087","Madison County","AR","05","087","H1"
"84005089","05089","Marion County","AR","05","089","H1"
"84005091","05091","Miller County","AR","05","091","H1"
"84005093","05093","Mississippi County","AR","05","093","H1"
"84005095","05095","Monroe County","AR","05","095","H1"
"84005097","05097","Montgomery County","AR","05","097","H1"
"84005099","05099","Nevada County","AR","05","099","H1"
"84005101","05101","Newton County","AR","05","101","H1"
"84005103","05103","Ouachita County","AR","05","103","H1"
"84005105","05105","Perry County","AR","05","105","H1"
"84005107","05107","Phillips County","AR","05","107","H1"
"84005109","05109","Pike County","AR","05","109","H1"
"84005111","05111","Poinsett County","AR","05","111","H1"
"84005113","05113","Polk County","AR","05","113","H1"
"84005115","05115","Pope County","AR","05","115","H1"
"84005117","05117","Prairie County","AR","05","117","H1"
"84005119","05119","Pulaski County","AR","05","119","H1"
"84005121","05121","Randolph County","AR","05","121","H1"
"84005123","05123","St. Francis County","AR","05","123","H1"
"84005125","05125","Saline County","AR","05","125","H1"
"84005127","05127","Scott County","AR","05","127","H1"
"84005129","05129","Searcy County","AR","05","129","H1"
"84005131","05131","Sebastian County","AR","05","131","H1"
"84005133","05133","Sevier County","AR","05","133","H1"
"84005135","05135","Sharp County","AR","05","135","H1"
"84005137","05137","Stone County","AR","05","137","H1"
"84005139","05139","Union County","AR","05","139","H1"
"84005141","05141","Van Buren County","AR","05","141","H1"
"84005143","05143","Washington County","AR","05","143","H1"
"84005145","05145","White County","AR","05","145","H1"
"84005147","05147","Woodruff County","AR","05","147","H1"
"84005149","05149","Yell County","AR","05","149","H1"
