"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84006001","06001","Alameda County","CA","06","001","H1"
"84006003","06003","Alpine County","CA","06","003","H1"
"84006005","06005","Amador County","CA","06","005","H1"
"84006007","06007","Butte County","CA","06","007","H1"
"84006009","06009","Calaveras County","CA","06","009","H1"
"84006011","06011","Colusa County","CA","06","011","H1"
"84006013","06013","Contra Costa County","CA","06","013","H1"
"84006015","06015","Del Norte County","CA","06","015","H1"
"84006017","06017","El Dorado County","CA","06","017","H1"
"84006019","06019","Fresno County","CA","06","019","H1"
"84006021","06021","Glenn County","CA","06","021","H1"
"84006023","06023","Humboldt County","CA","06","023","H1"
"84006025","06025","Imperial County","CA","06","025","H1"
"84006027","06027","Inyo County","CA","06","027","H1"
"84006029","06029","Kern County","CA","06","029","H1"
"84006031","06031","Kings County","CA","06","031","H1"
"84006033","06033","Lake County","CA","06","033","H1"
"84006035","06035","Lassen County","CA","06","035","H1"
"84006037","06037","Los Angeles County","CA","06","037","H1"
"84006039","06039","Madera County","CA","06","039","H1"
"84006041","06041","Marin County","CA","06","041","H1"
"84006043","06043","Mariposa County","CA","06","043","H1"
"84006045","06045","Mendocino County","CA","06","045","H1"
"84006047","06047","Merced County","CA","06","047","H1"
"84006049","06049","Modoc County","CA","06","049","H1"
"84006051","06051","Mono County","CA","06","051","H1"
"84006053","06053","Monterey County","CA","06","053","H1"
"84006055","06055","Napa County","CA","06","055","H1"
"84006057","06057","Nevada County","CA","06","057","H1"
"84006059","06059","Orange County","CA","06","059","H1"
"84006061","06061","Placer County","CA","06","061","H1"
"84006063","06063","Plumas County","CA","06","063","H1"
"84006065","06065","Riverside County","CA","06","065","H1"
"84006067","06067","Sacramento County","CA","06","067","H1"
"84006069","06069","San Benito County","CA","06","069","H1"
"84006071","06071","San Bernardino County","CA","06","071","H1"
"84006073","06073","San Diego County","CA","06","073","H1"
"84006075","06075","San Francisco County","CA","06","075","H6"
"84006077","06077","San Joaquin County","CA","06","077","H1"
"84006079","06079","San Luis Obispo County","CA","06","079","H1"
"84006081","06081","San Mateo County","CA","06","081","H1"
"84006083","06083","Santa Barbara County","CA","06","083","H1"
"84006085","06085","Santa Clara County","CA","06","085","H1"
"84006087","06087","Santa Cruz County","CA","06","087","H1"
"84006089","06089","Shasta County","CA","06","089","H1"
"84006091","06091","Sierra County","CA","06","091","H1"
"84006093","06093","Siskiyou County","CA","06","093","H1"
"84006095","06095","Solano County","CA","06","095","H1"
"84006097","06097","Sonoma County","CA","06","097","H1"
"84006099","06099","Stanislaus County","CA","06","099","H1"
"84006101","06101","Sutter County","CA","06","101","H1"
"84006103","06103","Tehama County","CA","06","103","H1"
"84006105","06105","Trinity County","CA","06","105","H1"
"84006107","06107","Tulare County","CA","06","107","H1"
"84006109","06109","Tuolumne County","CA","06","109","H1"
"84006111","06111","Ventura County","CA","06","111","H1"
"84006113","06113","Yolo County","CA","06","113","H1"
"84006115","06115","Yuba County","CA","06","115","H1"
