"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84008001","08001","Adams County","CO","08","001","H1"
"84008003","08003","Alamosa County","CO","08","003","H1"
"84008005","08005","Arapahoe County","CO","08","005","H1"
"84008007","08007","Archuleta County","CO","08","007","H1"
"84008009","08009","Baca County","CO","08","009","H1"
"84008011","08011","Bent County","CO","08","011","H1"
"84008013","08013","Boulder County","CO","08","013","H1"
"84008014","08014","Broomfield County","CO","08","014","H6"
"84008015","08015","Chaffee County","CO","08","015","H1"
"84008017","08017","Cheyenne County","CO","08","017","H1"
"84008019","08019","Clear Creek County","CO","08","019","H1"
"84008021","08021","Conejos County","CO","08","021","H1"
"84008023","08023","Costilla County","CO","08","023","H1"
"84008025","08025","Crowley County","CO","08","025","H1"
"84008027","08027","Custer County","CO","08","027","H1"
"84008029","08029","Delta County","CO","08","029","H1"
"84008031","08031","Denver County","CO","08","031","H6"
"84008033","08033","Dolores County","CO","08","033","H1"
"84008035","08035","Douglas County","CO","08","035","H1"
"84008037","08037","Eagle County","CO","08","037","H1"
"84008039","08039","Elbert County","CO","08","039","H1"
"84008041","08041","El Paso County","CO","08","041","H1"
"84008043","08043","Fremont County","CO","08","043","H1"
"84008045","08045","Garfield County","CO","08","045","H1"
"84008047","08047","Gilpin County","CO","08","047","H1"
"84008049","08049","Grand County","CO","08","049","H1"
"84008051","08051","Gunnison County","CO","08","051","H1"
"84008053","08053","Hinsdale County","CO","08","053","H1"
"84008055","08055","Huerfano County","CO","08","055","H1"
"84008057","08057","Jackson County","CO","08","057","H1"
"84008059","08059","Jefferson County","CO","08","059","H1"
"84008061","08061","Kiowa County","CO","08","061","H1"
"84008063","08063","Kit Carson County","CO","08","063","H1"
"84008065","08065","Lake County","CO","08","065","H1"
"84008067","08067","La Plata County","CO","08","067","H1"
"84008069","08069","Larimer County","CO","08","069","H1"
"84008071","08071","Las Animas County","CO","08","071","H1"
"84008073","08073","Lincoln County","CO","08","073","H1"
"84008075","08075","Logan County","CO","08","075","H1"
"84008077","08077","Mesa County","CO","08","077","H1"
"84008079","08079","Mineral County","CO","08","079","H1"
"84008081","08081","Moffat County","CO","08","081","H1"
"84008083","08083","Montezuma County","CO","08","083","H1"
"84008085","08085","Montrose County","CO","08","085","H1"
"84008087","08087","Morgan County","CO","08","087","H1"
"84008089","08089","Otero County","CO","08","089","H1"
"84008091","08091","Ouray County","CO","08","091","H1"
"84008093","08093","Park County","CO","08","093","H1"
"84008095","08095","Phillips County","CO","08","095","H1"
"84008097","08097","Pitkin County","CO","08","097","H1"
"84008099","08099","Prowers County","CO","08","099","H1"
"84008101","08101","Pueblo County","CO","08","101","H1"
"84008103","08103","Rio Blanco County","CO","08","103","H1"
"84008105","08105","Rio Grande County","CO","08","105","H1"
"84008107","08107","Routt County","CO","08","107","H1"
"84008109","08109","Saguache County","CO","08","109","H1"
"84008111","08111","San Juan County","CO","08","111","H1"
"84008113","08113","San Miguel County","CO","08","113","H1"
"84008115","08115","Sedgwick County","CO","08","115","H1"
"84008117","08117","Summit County","CO","08","117","H1"
"84008119","08119","Teller County","CO","08","119","H1"
"84008121","08121","Washington County","CO","08","121","H1"
"84008123","08123","Weld County","CO","08","123","H1"
"84008125","08125","Yuma County","CO","08","125","H1"
