"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84012001","12001","Alachua County","FL","12","001","H1"
"84012003","12003","Baker County","FL","12","003","H1"
"84012005","12005","Bay County","FL","12","005","H1"
"84012007","12007","Bradford County","FL","12","007","H1"
"84012009","12009","Brevard County","FL","12","009","H1"
"84012011","12011","Broward County","FL","12","011","H1"
"84012013","12013","Calhoun County","FL","12","013","H1"
"84012015","12015","Charlotte County","FL","12","015","H1"
"84012017","12017","Citrus County","FL","12","017","H1"
"84012019","12019","Clay County","FL","12","019","H1"
"84012021","12021","Collier County","FL","12","021","H1"
"84012023","12023","Columbia County","FL","12","023","H1"
"84012027","12027","DeSoto County","FL","12","027","H1"
"84012029","12029","Dixie County","FL","12","029","H1"
"84012031","12031","Duval County","FL","12","031","H6"
"84012033","12033","Escambia County","FL","12","033","H1"
"84012035","12035","Flagler County","FL","12","035","H1"
"84012037","12037","Franklin County","FL","12","037","H1"
"84012039","12039","Gadsden County","FL","12","039","H1"
"84012041","12041","Gilchrist County","FL","12","041","H1"
"84012043","12043","Glades County","FL","12","043","H1"
"84012045","12045","Gulf County","FL","12","045","H1"
"84012047","12047","Hamilton County","FL","12","047","H1"
"84012049","12049","Hardee County","FL","12","049","H1"
"84012051","12051","Hendry County","FL","12","051","H1"
"84012053","12053","Hernando County","FL","12","053","H1"
"84012055","12055","Highlands County","FL","12","055","H1"
"84012057","12057","Hillsborough County","FL","12","057","H1"
"84012059","12059","Holmes County","FL","12","059","H1"
"84012061","12061","Indian River County","FL","12","061","H1"
"84012063","12063","Jackson County","FL","12","063","H1"
"84012065","12065","Jefferson County","FL","12","065","H1"
"84012067","12067","Lafayette County","FL","12","067","H1"
"84012069","12069","Lake County","FL","12","069","H1"
"84012071","12071","Lee County","FL","12","071","H1"
"84012073","12073","Leon County","FL","12","073","H1"
"84012075","12075","Levy County","FL","12","075","H1"
"84012077","12077","Liberty County","FL","12","077","H1"
"84012079","12079","Madison County","FL","12","079","H1"
"84012081","12081","Manatee County","FL","12","081","H1"
"84012083","12083","Marion County","FL","12","083","H1"
"84012085","12085","Martin County","FL","12","085","H1"
"84012086","12086","Miami-Dade County","FL","12","086","H1"
"84012087","12087","Monroe County","FL","12","087","H1"
"84012089","12089","Nassau County","FL","12","089","H1"
"84012091","12091","Okaloosa County","FL","12","091","H1"
"84012093","12093","Okeechobee County","FL","12","093","H1"
"84012095","12095","Orange County","FL","12","095","H1"
"84012097","12097","Osceola County","FL","12","097","H1"
"84012099","12099","Palm Beach County","FL","12","099","H1"
"84012101","12101","Pasco County","FL","12","101","H1"
"84012103","12103","Pinellas County","FL","12","103","H1"
"84012105","12105","Polk County","FL","12","105","H1"
"84012107","12107","Putnam County","FL","12","107","H1"
"84012109","12109","St. Johns County","FL","12","109","H1"
"84012111","12111","St. Lucie County","FL","12","111","H1"
"84012113","12113","Santa Rosa County","FL","12","113","H1"
"84012115","12115","Sarasota County","FL","12","115","H1"
"84012117","12117","Seminole County","FL","12","117","H1"
"84012119","12119","Sumter County","FL","12","119","H1"
"84012121","12121","Suwannee County","FL","12","121","H1"
"84012123","12123","Taylor County","FL","12","123","H1"
"84012125","12125","Union County","FL","12","125","H1"
"84012127","12127","Volusia County","FL","12","127","H1"
"84012129","12129","Wakulla County","FL","12","129","H1"
"84012131","12131","Walton County","FL","12","131","H1"
"84012133","12133","Washington County","FL","12","133","H1"
