"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84013001","13001","Appling County","GA","13","001","H1"
"84013003","13003","Atkinson County","GA","13","003","H1"
"84013005","13005","Bacon County","GA","13","005","H1"
"84013007","13007","Baker County","GA","13","007","H1"
"84013009","13009","Baldwin County","GA","13","009","H1"
"84013011","13011","Banks County","GA","13","011","H1"
"84013013","13013","Barrow County","GA","13","013","H1"
"84013015","13015","Bartow County","GA","13","015","H1"
"84013017","13017","Ben Hill County","GA","13","017","H1"
"84013019","13019","Berrien County","GA","13","019","H1"
"84013021","13021","Bibb County","GA","13","021","H1"
"84013023","13023","Bleckley County","GA","13","023","H1"
"84013025","13025","Brantley County","GA","13","025","H1"
"84013027","13027","Brooks County","GA","13","027","H1"
"84013029","13029","Bryan County","GA","13","029","H1"
"84013031","13031","Bulloch County","GA","13","031","H1"
"84013033","13033","Burke County","GA","13","033","H1"
"84013035","13035","Butts County","GA","13","035","H1"
"84013037","13037","Calhoun County","GA","13","037","H1"
"84013039","13039","Camden County","GA","13","039","H1"
"84013043","13043","Candler County","GA","13","043","H1"
"84013045","13045","Carroll County","GA","13","045","H1"
"84013047","13047","Catoosa County","GA","13","047","H1"
"84013049","13049","Charlton County","GA","13","049","H1"
"84013051","13051","Chatham County","GA","13","051","H1"
"84013053","13053","Chattahoochee County","GA","13","053","H1"
"84013055","13055","Chattooga County","GA","13","055","H1"
"84013057","13057","Cherokee County","GA","13","057","H1"
"84013059","13059","Clarke County","GA","13","059","H6"
"84013061","13061","Clay County","GA","13","061","H1"
"84013063","13063","Clayton County","GA","13","063","H1"
"84013065","13065","Clinch County","GA","13","065","H1"
"84013067","13067","Cobb County","GA","13","067","H1"
"84013069","13069","Coffee County","GA","13","069","H1"
"84013071","13071","Colquitt County","GA","13","071","H1"
"84013073","13073","Columbia County","GA","13","073","H1"
"84013075","13075","Cook County","GA","13","075","H1"
"84013077","13077","Coweta County","GA","13","077","H1"
"84013079","13079","Crawford County","GA","13","079","H1"
"84013081","13081","Crisp County","GA","13","081","H1"
"84013083","13083","Dade County","GA","13","083","H1"
"84013085","13085","Dawson County","GA","13","085","H1"
"84013087","13087","Decatur County","GA","13","087","H1"
"84013089","13089","DeKalb County","GA","13","089","H1"
"84013091","13091","Dodge County","GA","13","091","H1"
"84013093","13093","Dooly County","GA","13","093","H1"
"84013095","13095","Dougherty County","GA","13","095","H1"
"84013097","13097","Douglas County","GA","13","097","H1"
"84013099","13099","Early County","GA","13","099","H1"
"84013101","13101","Echols County","GA","13","101","H1"
"84013103","13103","Effingham County","GA","13","103","H1"
"84013105","13105","Elbert County","GA","13","105","H1"
"84013107","13107","Emanuel County","GA","13","107","H1"
"84013109","13109","Evans County","GA","13","109","H1"
"84013111","13111","Fannin County","GA","13","111","H1"
"84013113","13113","Fayette County","GA","13","113","H1"
"84013115","13115","Floyd County","GA","13","115","H1"
"84013117","13117","Forsyth County","GA","13","117","H1"
"84013119","13119","Franklin County","GA","13","119","H1"
"84013121","13121","Fulton County","GA","13","121","H1"
"84013123","13123","Gilmer County","GA","13","123","H1"
"84013125","13125","Glascock County","GA","13","125","H1"
"84013127","13127","Glynn County","GA","13","127","H1"
"84013129","13129","Gordon County","GA","13","129","H1"
"84013131","13131","Grady County","GA","13","131","H1"
"84013133","13133","Greene County","GA","13","133","H1"
"84013135","13135","Gwinnett County","GA","13","135","H1"
"84013137","13137","Habersham County","GA","13","137","H1"
