"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84016001","16001","Ada County","ID","16","001","H1"
"84016003","16003","Adams County","ID","16","003","H1"
"84016005","16005","Bannock County","ID","16","005","H1"
"84016007","16007","Bear Lake County","ID","16","007","H1"
"84016009","16009","Benewah County","ID","16","009","H1"
"84016011","16011","Bingham County","ID","16","011","H1"
"84016013","16013","Blaine County","ID","16","013","H1"
"84016015","16015","Boise County","ID","16","015","H1"
"84016017","16017","Bonner County","ID","16","017","H1"
"84016019","16019","Bonneville County","ID","16","019","H1"
"84016021","16021","Boundary County","ID","16","021","H1"
"84016023","16023","Butte County","ID","16","023","H1"
"84016025","16025","Camas County","ID","16","025","H1"
"84016027","16027","Canyon County","ID","16","027","H1"
"84016029","16029","Caribou County","ID","16","029","H1"
"84016031","16031","Cassia County","ID","16","031","H1"
"84016033","16033","Clark County","ID","16","033","H1"
"84016035","16035","Clearwater County","ID","16","035","H1"
"84016037","16037","Custer County","ID","16","037","H1"
"84016039","16039","Elmore County","ID","16","039","H1"
"84016041","16041","Franklin County","ID","16","041","H1"
"84016043","16043","Fremont County","ID","16","043","H1"
"84016045","16045","Gem County","ID","16","045","H1"
"84016047","16047","Gooding County","ID","16","047","H1"
"84016049","16049","Idaho County","ID","16","049","H1"
"84016051","16051","Jefferson County","ID","16","051","H1"
"84016053","16053","Jerome County","ID","16","053","H1"
"84016055","16055","Kootenai County","ID","16","055","H1"
"84016057","16057","Latah County","ID","16","057","H1"
"84016059","16059","Lemhi County","ID","16","059","H1"
"84016061","16061","Lewis County","ID","16","061","H1"
"84016063","16063","Lincoln County","ID","16","063","H1"
"84016065","16065","Madison County","ID","16","065","H1"
"84016067","16067","Minidoka County","ID","16","067","H1"
"84016069","16069","Nez Perce County","ID","16","069","H1"
"84016071","16071","Oneida County","ID","16","071","H1"
"84016073","16073","Owyhee County","ID","16","073","H1"
"84016075","16075","Payette County","ID","16","075","H1"
"84016077","16077","Power County","ID","16","077","H1"
"84016079","16079","Shoshone County","ID","16","079","H1"
"84016081","16081","Teton County","ID","16","081","H1"
"84016083","16083","Twin Falls County","ID","16","083","H1"
"84016085","16085","Valley County","ID","16","085","H1"
"84016087","16087","Washington County","ID","16","087","H1"
