"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84018001","18001","Adams County","IN","18","001","H1"
"84018003","18003","Allen County","IN","18","003","H1"
"84018005","18005","Bartholomew County","IN","18","005","H1"
"84018007","18007","Benton County","IN","18","007","H1"
"84018009","18009","Blackford County","IN","18","009","H1"
"84018011","18011","Boone County","IN","18","011","H1"
"84018013","18013","Brown County","IN","18","013","H1"
"84018015","18015","Carroll County","IN","18","015","H1"
"84018017","18017","Cass County","IN","18","017","H1"
"84018019","18019","Clark County","IN","18","019","H1"
"84018021","18021","Clay County","IN","18","021","H1"
"84018023","18023","Clinton County","IN","18","023","H1"
"84018025","18025","Crawford County","IN","18","025","H1"
"84018027","18027","Daviess County","IN","18","027","H1"
"84018029","18029","Dearborn County","IN","18","029","H1"
"84018031","18031","Decatur County","IN","18","031","H1"
"84018033","18033","DeKalb County","IN","18","033","H1"
"84018035","18035","Delaware County","IN","18","035","H1"
"84018037","18037","Dubois County","IN","18","037","H1"
"84018039","18039","Elkhart County","IN","18","039","H1"
"84018041","18041","Fayette County","IN","18","041","H1"
"84018043","18043","Floyd County","IN","18","043","H1"
"84018045","18045","Fountain County","IN","18","045","H1"
"84018047","18047","Franklin County","IN","18","047","H1"
"84018049","18049","Fulton County","IN","18","049","H1"
"84018051","18051","Gibson County","IN","18","051","H1"
"84018053","18053","Grant County","IN","18","053","H1"
"84018055","18055","Greene County","IN","18","055","H1"
"84018057","18057","Hamilton County","IN","18","057","H1"
"84018059","18059","Hancock County","IN","18","059","H1"
"84018061","18061","Harrison County","IN","18","061","H1"
"84018063","18063","Hendricks County","IN","18","063","H1"
"84018065","18065","Henry County","IN","18","065","H1"
"84018067","18067","Howard County","IN","18","067","H1"
"84018069","18069","Huntington County","IN","18","069","H1"
"84018071","18071","Jackson County","IN","18","071","H1"
"84018073","18073","Jasper County","IN","18","073","H1"
"84018075","18075","Jay County","IN","18","075","H1"
"84018077","18077","Jefferson County","IN","18","077","H1"
"84018079","18079","Jennings County","IN","18","079","H1"
"84018081","18081","Johnson County","IN","18","081","H1"
"84018083","18083","Knox County","IN","18","083","H1"
"84018085","18085","Kosciusko County","IN","18","085","H1"
"84018087","18087","LaGrange County","IN","18","087","H1"
"84018089","18089","Lake County","IN","18","089","H1"
"84018091","18091","LaPorte County","IN","18","091","H1"
"84018093","18093","Lawrence County","IN","18","093","H1"
"84018095","18095","Madison County","IN","18","095","H1"
"84018097","18097","Marion County","IN","18","097","H6"
"84018099","18099","Marshall County","IN","18","099","H1"
"84018101","18101","Martin County","IN","18","101","H1"
"84018103","18103","Miami County","IN","18","103","H1"
"84018105","18105","Monroe County","IN","18","105","H1"
"84018107","18107","Montgomery County","IN","18","107","H1"
"84018109","18109","Morgan County","IN","18","109","H1"
"84018111","18111","Newton County","IN","18","111","H1"
"84018113","18113","Noble County","IN","18","113","H1"
"84018115","18115","Ohio County","IN","18","115","H1"
"84018117","18117","Orange County","IN","18","117","H1"
"84018119","18119","Owen County","IN","18","119","H1"
"84018121","18121","Parke County","IN","18","121","H1"
"84018123","18123","Perry County","IN","18","123","H1"
"84018125","18125","Pike County","IN","18","125","H1"
"84018127","18127","Porter County","IN","18","127","H1"
"84018129","18129","Posey County","IN","18","129","H1"
"84018131","18131","Pulaski County","IN","18","131","H1"
"84018133","18133","Putnam County","IN","18","133","H1"
"84018135","18135","Randolph County","IN","18","135","H1"
"84018137","18137","Ripley County","IN","18","137","H1"
"84018139","18139","Rush County","IN","18","139","H1"
"84018141","18141","St. Joseph County","IN","18","141","H1"
"84018143","18143","Scott County","IN","18","143","H1"
"84018145","18145","Shelby County","IN","18","145","H1"
"84018147","18147","Spencer County","IN","18","147","H1"
"84018149","18149","Starke County","IN","18","149","H1"
"84018151","18151","Steuben County","IN","18","151","H1"
"84018153","18153","Sullivan County","IN","18","153","H1"
"84018155","18155","Switzerland County","IN","18","155","H1"
"84018157","18157","Tippecanoe County","IN","18","157","H1"
"84018159","18159","Tipton County","IN","18","159","H1"
"84018161","18161","Union County","IN","18","161","H1"
"84018163","18163","Vanderburgh County","IN","18","163","H1"
"84018165","18165","Vermillion County","IN","18","165","H1"
"84018167","18167","Vigo County","IN","18","167","H1"
"84018169","18169","Wabash County","IN","18","169","H1"
"84018171","18171","Warren County","IN","18","171","H1"
"84018173","18173","Warrick County","IN","18","173","H1"
"84018175","18175","Washington County","IN","18","175","H1"
"84018177","18177","Wayne County","IN","18","177","H1"
"84018179","18179","Wells County","IN","18","179","H1"
"84018181","18181","White County","IN","18","181","H1"
"84018183","18183","Whitley County","IN","18","183","H1"
