"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84019001","19001","Adair County","IA","19","001","H1"
"84019003","19003","Adams County","IA","19","003","H1"
"84019005","19005","Allamakee County","IA","19","005","H1"
"84019007","19007","Appanoose County","IA","19","007","H1"
"84019009","19009","Audubon County","IA","19","009","H1"
"84019011","19011","Benton County","IA","19","011","H1"
"84019013","19013","Black Hawk County","IA","19","013","H1"
"84019015","19015","Boone County","IA","19","015","H1"
"84019017","19017","Bremer County","IA","19","017","H1"
"84019019","19019","Buchanan County","IA","19","019","H1"
"84019021","19021","Buena Vista County","IA","19","021","H1"
"84019023","19023","Butler County","IA","19","023","H1"
"84019025","19025","Calhoun County","IA","19","025","H1"
"84019027","19027","Carroll County","IA","19","027","H1"
"84019029","19029","Cass County","IA","19","029","H1"
"84019031","19031","Cedar County","IA","19","031","H1"
"84019033","19033","Cerro Gordo County","IA","19","033","H1"
"84019035","19035","Cherokee County","IA","19","035","H1"
"84019037","19037","Chickasaw County","IA","19","037","H1"
"84019039","19039","Clarke County","IA","19","039","H1"
"84019041","19041","Clay County","IA","19","041","H1"
"84019043","19043","Clayton County","IA","19","043","H1"
"84019045","19045","Clinton County","IA","19","045","H1"
"84019047","19047","Crawford County","IA","19","047","H1"
"84019049","19049","Dallas County","IA","19","049","H1"
"84019051","19051","Davis County","IA","19","051","H1"
"84019053","19053","Decatur County","IA","19","053","H1"
"84019055","19055","Delaware County","IA","19","055","H1"
"84019057","19057","Des Moines County","IA","19","057","H1"
"84019059","19059","Dickinson County","IA","19","059","H1"
"84019061","19061","Dubuque County","IA","19","061","H1"
"84019063","19063","Emmet County","IA","19","063","H1"
"84019065","19065","Fayette County","IA","19","065","H1"
"84019067","19067","Floyd County","IA","19","067","H1"
"84019069","19069","Franklin County","IA","19","069","H1"
"84019071","19071","Fremont County","IA","19","071","H1"
"84019073","19073","Greene County","IA","19","073","H1"
"84019075","19075","Grundy County","IA","19","075","H1"
"84019077","19077","Guthrie County","IA","19","077","H1"
"84019079","19079","Hamilton County","IA","19","079","H1"
"84019081","19081","Hancock County","IA","19","081","H1"
"84019083","19083","Hardin County","IA","19","083","H1"
"84019085","19085","Harrison County","IA","19","085","H1"
"84019087","19087","Henry County","IA","19","087","H1"
"84019089","19089","Howard County","IA","19","089","H1"
"84019091","19091","Humboldt County","IA","19","091","H1"
"84019093","19093","Ida County","IA","19","093","H1"
"84019095","19095","Iowa County","IA","19","095","H1"
"84019097","19097","Jackson County","IA","19","097","H1"
"84019099","19099","Jasper County","IA","19","099","H1"
"84019101","19101","Jefferson County","IA","19","101","H1"
"84019103","19103","Johnson County","IA","19","103","H1"
"84019105","19105","Jones County","IA","19","105","H1"
"84019107","19107","Keokuk County","IA","19","107","H1"
"84019109","19109","Kossuth County","IA","19","109","H1"
"84019111","19111","Lee County","IA","19","111","H1"
"84019113","19113","Linn County","IA","19","113","H1"
"84019115","19115","Louisa County","IA","19","115","H1"
"84019117","19117","Lucas County","IA","19","117","H1"
"84019119","19119","Lyon County","IA","19","119","H1"
"84019121","19121","Madison County","IA","19","121","H1"
"84019123","19123","Mahaska County","IA","19","123","H1"
"84019125","19125","Marion County","IA","19","125","H1"
"84019127","19127","Marshall County","IA","19","127","H1"
"84019129","19129","Mills County","IA","19","129","H1"
"84019131","19131","Mitchell County","IA","19","131","H1"
"84019133","19133","Monona County","IA","19","133","H1"
"84019135","19135","Monroe County","IA","19","135","H1"
"84019137","19137","Montgomery County","IA","19","137","H1"
"84019139","19139","Muscatine County","IA","19","139","H1"
"84019141","19141","O'Brien County","IA","19","141","H1"
"84019143","19143","Osceola County","IA","19","143","H1"
"84019145","19145","Page County","IA","19","145","H1"
"84019147","19147","Palo Alto County","IA","19","147","H1"
"84019149","19149","Plymouth County","IA","19","149","H1"
"84019151","19151","Pocahontas County","IA","19","151","H1"
"84019153","19153","Polk County","IA","19","153","H1"
"84019155","19155","Pottawattamie County","IA","19","155","H1"
"84019157","19157","Poweshiek County","IA","19","157","H1"
"84019159","19159","Ringgold County","IA","19","159","H1"
"84019161","19161","Sac County","IA","19","161","H1"
"84019163","19163","Scott County","IA","19","163","H1"
"84019165","19165","Shelby County","IA","19","165","H1"
"84019167","19167","Sioux County","IA","19","167","H1"
"84019169","19169","Story County","IA","19","169","H1"
"84019171","19171","Tama County","IA","19","171","H1"
"84019173","19173","Taylor County","IA","19","173","H1"
"84019175","19175","Union County","IA","19","175","H1"
"84019177","19177","Van Buren County","IA","19","177","H1"
"84019179","19179","Wapello County","IA","19","179","H1"
"84019181","19181","Warren County","IA","19","181","H1"
"84019183","19183","Washington County","IA","19","183","H1"
"84019185","19185","Wayne County","IA","19","185","H1"
"84019187","19187","Webster County","IA","19","187","H1"
"84019189","19189","Winnebago County","IA","19","189","H1"
"84019191","19191","Winneshiek County","IA","19","191","H1"
"84019193","19193","Woodbury County","IA","19","193","H1"
"84019195","19195","Worth County","IA","19","195","H1"
"84019197","19197","Wright County","IA","19","197","H1"
