"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84020001","20001","Allen County","KS","20","001","H1"
"84020003","20003","Anderson County","KS","20","003","H1"
"84020005","20005","Atchison County","KS","20","005","H1"
"84020007","20007","Barber County","KS","20","007","H1"
"84020009","20009","Barton County","KS","20","009","H1"
"84020011","20011","Bourbon County","KS","20","011","H1"
"84020013","20013","Brown County","KS","20","013","H1"
"84020015","20015","Butler County","KS","20","015","H1"
"84020017","20017","Chase County","KS","20","017","H1"
"84020019","20019","Chautauqua County","KS","20","019","H1"
"84020021","20021","Cherokee County","KS","20","021","H1"
"84020023","20023","Cheyenne County","KS","20","023","H1"
"84020025","20025","Clark County","KS","20","025","H1"
"84020027","20027","Clay County","KS","20","027","H1"
"84020029","20029","Cloud County","KS","20","029","H1"
"84020031","20031","Coffey County","KS","20","031","H1"
"84020033","20033","Comanche County","KS","20","033","H1"
"84020035","20035","Cowley County","KS","20","035","H1"
"84020037","20037","Crawford County","KS","20","037","H1"
"84020039","20039","Decatur County","KS","20","039","H1"
"84020041","20041","Dickinson County","KS","20","041","H1"
"84020043","20043","Doniphan County","KS","20","043","H1"
"84020045","20045","Douglas County","KS","20","045","H1"
"84020047","20047","Edwards County","KS","20","047","H1"
"84020049","20049","Elk County","KS","20","049","H1"
"84020051","20051","Ellis County","KS","20","051","H1"
"84020053","20053","Ellsworth County","KS","20","053","H1"
"84020055","20055","Finney County","KS","20","055","H1"
"84020057","20057","Ford County","KS","20","057","H1"
"84020059","20059","Franklin County","KS","20","059","H1"
"84020061","20061","Geary County","KS","20","061","H1"
"84020063","20063","Gove County","KS","20","063","H1"
"84020065","20065","Graham County","KS","20","065","H1"
"84020067","20067","Grant County","KS","20","067","H1"
"84020069","20069","Gray County","KS","20","069","H1"
"84020071","20071","Greeley County","KS","20","071","H1"
"84020073","20073","Greenwood County","KS","20","073","H1"
"84020075","20075","Hamilton County","KS","20","075","H1"
"84020077","20077","Harper County","KS","20","077","H1"
"84020079","20079","Harvey County","KS","20","079","H1"
"84020081","20081","Haskell County","KS","20","081","H1"
"84020083","20083","Hodgeman County","KS","20","083","H1"
"84020085","20085","Jackson County","KS","20","085","H1"
"84020087","20087","Jefferson County","KS","20","087","H1"
"84020089","20089","Jewell County","KS","20","089","H1"
"84020091","20091","Johnson County","KS","20","091","H1"
"84020093","20093","Kearny County","KS","20","093","H1"
"84020095","20095","Kingman County","KS","20","095","H1"
"84020097","20097","Kiowa County","KS","20","097","H1"
"84020099","20099","Labette County","KS","20","099","H1"
"84020101","20101","Lane County","KS","20","101","H1"
"84020103","20103","Leavenworth County","KS","20","103","H1"
"84020105","20105","Lincoln County","KS","20","105","H1"
"84020107","20107","Linn County","KS","20","107","H1"
"84020109","20109","Logan County","KS","20","109","H1"
"84020111","20111","Lyon County","KS","20","111","H1"
"84020113","20113","McPherson County","KS","20","113","H1"
"84020115","20115","Marion County","KS","20","115","H1"
"84020117","20117","Marshall County","KS","20","117","H1"
"84020119","20119","Meade County","KS","20","119","H1"
"84020121","20121","Miami County","KS","20","121","H1"
"84020123","20123","Mitchell County","KS","20","123","H1"
"84020125","20125","Montgomery County","KS","20","125","H1"
"84020127","20127","Morris County","KS","20","127","H1"
"84020129","20129","Morton County","KS","20","129","H1"
"84020131","20131","Nemaha County","KS","20","131","H1"
"84020133","20133","Neosho County","KS","20","133","H1"
"84020135","20135","Ness County","KS","20","135","H1"
"84020137","20137","Norton County","KS","20","137","H1"
"84020139","20139","Osage County","KS","20","139","H1"
"84020141","20141","Osborne County","KS","20","141","H1"
"84020143","20143","Ottawa County","KS","20","143","H1"
"84020145","20145","Pawnee County","KS","20","145","H1"
"84020147","20147","Phillips County","KS","20","147","H1"
"84020149","20149","Pottawatomie County","KS","20","149","H1"
"84020151","20151","Pratt County","KS","20","151","H1"
"84020153","20153","Rawlins County","KS","20","153","H1"
"84020155","20155","Reno County","KS","20","155","H1"
"84020157","20157","Republic County","KS","20","157","H1"
"84020159","20159","Rice County","KS","20","159","H1"
"84020161","20161","Riley County","KS","20","161","H1"
"84020163","20163","Rooks County","KS","20","163","H1"
"84020165","20165","Rush County","KS","20","165","H1"
"84020167","20167","Russell County","KS","20","167","H1"
"84020169","20169","Saline County","KS","20","169","H1"
"84020171","20171","Scott County","KS","20","171","H1"
"84020173","20173","Sedgwick County","KS","20","173","H1"
"84020175","20175","Seward County","KS","20","175","H1"
"84020177","20177","Shawnee County","KS","20","177","H1"
"84020179","20179","Sheridan County","KS","20","179","H1"
"84020181","20181","Sherman County","KS","20","181","H1"
"84020183","20183","Smith County","KS","20","183","H1"
"84020185","20185","Stafford County","KS","20","185","H1"
"84020187","20187","Stanton County","KS","20","187","H1"
"84020189","20189","Stevens County","KS","20","189","H1"
"84020191","20191","Sumner County","KS","20","191","H1"
"84020193","20193","Thomas County","KS","20","193","H1"
"84020195","20195","Trego County","KS","20","195","H1"
"84020197","20197","Wabaunsee County","KS","20","197","H1"
"84020199","20199","Wallace County","KS","20","199","H1"
"84020201","20201","Washington County","KS","20","201","H1"
"84020203","20203","Wichita County","KS","20","203","H1"
"84020205","20205","Wilson County","KS","20","205","H1"
"84020207","20207","Woodson County","KS","20","207","H1"
"84020209","20209","Wyandotte County","KS","20","209","H6"
