"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84023001","23001","Androscoggin County","ME","23","001","H1"
"84023003","23003","Aroostook County","ME","23","003","H1"
"84023005","23005","Cumberland County","ME","23","005","H1"
"84023007","23007","Franklin County","ME","23","007","H1"
"84023009","23009","Hancock County","ME","23","009","H1"
"84023011","23011","Kennebec County","ME","23","011","H1"
"84023013","23013","Knox County","ME","23","013","H1"
"84023015","23015","Lincoln County","ME","23","015","H1"
"84023017","23017","Oxford County","ME","23","017","H1"
"84023019","23019","Penobscot County","ME","23","019","H1"
"84023021","23021","Piscataquis County","ME","23","021","H1"
"84023023","23023","Sagadahoc County","ME","23","023","H1"
"84023025","23025","Somerset County","ME","23","025","H1"
"84023027","23027","Waldo County","ME","23","027","H1"
"84023029","23029","Washington County","ME","23","029","H1"
"84023031","23031","York County","ME","23","031","H1"
