"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84024001","24001","Allegany County","MD","24","001","H1"
"84024003","24003","Anne Arundel County","MD","24","003","H1"
"84024005","24005","Baltimore County","MD","24","005","H1"
"84024009","24009","Calvert County","MD","24","009","H1"
"84024011","24011","Caroline County","MD","24","011","H1"
"84024013","24013","Carroll County","MD","24","013","H1"
"84024015","24015","Cecil County","MD","24","015","H1"
"84024017","24017","Charles County","MD","24","017","H1"
"84024019","24019","Dorchester County","MD","24","019","H1"
"84024021","24021","Frederick County","MD","24","021","H1"
"84024023","24023","Garrett County","MD","24","023","H1"
"84024025","24025","Harford County","MD","24","025","H1"
"84024027","24027","Howard County","MD","24","027","H1"
"84024029","24029","Kent County","MD","24","029","H1"
"84024031","24031","Montgomery County","MD","24","031","H1"
"84024033","24033","Prince George's County","MD","24","033","H1"
"84024035","24035","Queen Anne's County","MD","24","035","H1"
"84024037","24037","St. Mary's County","MD","24","037","H1"
"84024039","24039","Somerset County","MD","24","039","H1"
"84024041","24041","Talbot County","MD","24","041","H1"
"84024043","24043","Washington County","MD","24","043","H1"
"84024045","24045","Wicomico County","MD","24","045","H1"
"84024047","24047","Worcester County","MD","24","047","H1"
"84024510","24510","Baltimore city","MD","24","510","C7"
