"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84025001","25001","Barnstable County","MA","25","001","H1"
"84025003","25003","Berkshire County","MA","25","003","H4"
"84025005","25005","Bristol County","MA","25","005","H1"
"84025007","25007","Dukes County","MA","25","007","H1"
"84025009","25009","Essex County","MA","25","009","H4"
"84025011","25011","Franklin County","MA","25","011","H4"
"84025013","25013","Hampden County","MA","25","013","H4"
"84025015","25015","Hampshire County","MA","25","015","H4"
"84025017","25017","Middlesex County","MA","25","017","H4"
"84025019","25019","Nantucket County","MA","25","019","H4"
"84025021","25021","Norfolk County","MA","25","021","H1"
"84025023","25023","Plymouth County","MA","25","023","H1"
"84025025","25025","Suffolk County","MA","25","025","H4"
"84025027","25027","Worcester County","MA","25","027","H4"
