"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84026001","26001","Alcona County","MI","26","001","H1"
"84026003","26003","Alger County","MI","26","003","H1"
"84026005","26005","Allegan County","MI","26","005","H1"
"84026007","26007","Alpena County","MI","26","007","H1"
"84026009","26009","Antrim County","MI","26","009","H1"
"84026011","26011","Arenac County","MI","26","011","H1"
"84026013","26013","Baraga County","MI","26","013","H1"
"84026015","26015","Barry County","MI","26","015","H1"
"84026017","26017","Bay County","MI","26","017","H1"
"84026019","26019","Benzie County","MI","26","019","H1"
"84026021","26021","Berrien County","MI","26","021","H1"
"84026023","26023","Branch County","MI","26","023","H1"
"84026025","26025","Calhoun County","MI","26","025","H1"
"84026027","26027","Cass County","MI","26","027","H1"
"84026029","26029","Charlevoix County","MI","26","029","H1"
"84026031","26031","Cheboygan County","MI","26","031","H1"
"84026033","26033","Chippewa County","MI","26","033","H1"
"84026035","26035","Clare County","MI","26","035","H1"
"84026037","26037","Clinton County","MI","26","037","H1"
"84026039","26039","Crawford County","MI","26","039","H1"
"84026041","26041","Delta County","MI","26","041","H1"
"84026043","26043","Dickinson County","MI","26","043","H1"
"84026045","26045","Eaton County","MI","26","045","H1"
"84026047","26047","Emmet County","MI","26","047","H1"
"84026049","26049","Genesee County","MI","26","049","H1"
"84026051","26051","Gladwin County","MI","26","051","H1"
"84026053","26053","Gogebic County","MI","26","053","H1"
"84026055","26055","Grand Traverse County","MI","26","055","H1"
"84026057","26057","Gratiot County","MI","26","057","H1"
"84026059","26059","Hillsdale County","MI","26","059","H1"
"84026061","26061","Houghton County","MI","26","061","H1"
"84026063","26063","Huron County","MI","26","063","H1"
"84026065","26065","Ingham County","MI","26","065","H1"
"84026067","26067","Ionia County","MI","26","067","H1"
"84026069","26069","Iosco County","MI","26","069","H1"
"84026071","26071","Iron County","MI","26","071","H1"
"84026073","26073","Isabella County","MI","26","073","H1"
"84026075","26075","Jackson County","MI","26","075","H1"
"84026077","26077","Kalamazoo County","MI","26","077","H1"
"84026079","26079","Kalkaska County","MI","26","079","H1"
"84026081","26081","Kent County","MI","26","081","H1"
"84026083","26083","Keweenaw County","MI","26","083","H1"
"84026085","26085","Lake County","MI","26","085","H1"
"84026087","26087","Lapeer County","MI","26","087","H1"
"84026089","26089","Leelanau County","MI","26","089","H1"
"84026091","26091","Lenawee County","MI","26","091","H1"
"84026093","26093","Livingston County","MI","26","093","H1"
"84026095","26095","Luce County","MI","26","095","H1"
"84026097","26097","Mackinac County","MI","26","097","H1"
"84026099","26099","Macomb County","MI","26","099","H1"
"84026101","26101","Manistee County","MI","26","101","H1"
"84026103","26103","Marquette County","MI","26","103","H1"
"84026105","26105","Mason County","MI","26","105","H1"
"84026107","26107","Mecosta County","MI","26","107","H1"
"84026109","26109","Menominee County","MI","26","109","H1"
"84026111","26111","Midland County","MI","26","111","H1"
"84026113","26113","Missaukee County","MI","26","113","H1"
"84026115","26115","Monroe County","MI","26","115","H1"
"84026117","26117","Montcalm County","MI","26","117","H1"
"84026119","26119","Montmorency County","MI","26","119","H1"
"84026121","26121","Muskegon County","MI","26","121","H1"
"84026123","26123","Newaygo County","MI","26","123","H1"
"84026125","26125","Oakland County","MI","26","125","H1"
"84026127","26127","Oceana County","MI","26","127","H1"
"84026129","26129","Ogemaw County","MI","26","129","H1"
"84026131","26131","Ontonagon County","MI","26","131","H1"
"84026133","26133","Osceola County","MI","26","133","H1"
"84026135","26135","Oscoda County","MI","26","135","H1"
"84026137","26137","Otsego County","MI","26","137","H1"
"84026139","26139","Ottawa County","MI","26","139","H1"
"84026141","26141","Presque Isle County","MI","26","141","H1"
"84026143","26143","Roscommon County","MI","26","143","H1"
"84026145","26145","Saginaw County","MI","26","145","H1"
"84026147","26147","St. Clair County","MI","26","147","H1"
"84026149","26149","St. Joseph County","MI","26","149","H1"
"84026151","26151","Sanilac County","MI","26","151","H1"
"84026153","26153","Schoolcraft County","MI","26","153","H1"
"84026155","26155","Shiawassee County","MI","26","155","H1"
"84026157","26157","Tuscola County","MI","26","157","H1"
"84026159","26159","Van Buren County","MI","26","159","H1"
"84026161","26161","Washtenaw County","MI","26","161","H1"
"84026163","26163","Wayne County","MI","26","163","H1"
"84026165","26165","Wexford County","MI","26","165","H1"
