"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84028001","28001","Adams County","MS","28","001","H1"
"84028003","28003","Alcorn County","MS","28","003","H1"
"84028005","28005","Amite County","MS","28","005","H1"
"84028007","28007","Attala County","MS","28","007","H1"
"84028009","28009","Benton County","MS","28","009","H1"
"84028011","28011","Bolivar County","MS","28","011","H1"
"84028013","28013","Calhoun County","MS","28","013","H1"
"84028015","28015","Carroll County","MS","28","015","H1"
"84028017","28017","Chickasaw County","MS","28","017","H1"
"84028019","28019","Choctaw County","MS","28","019","H1"
"84028021","28021","Claiborne County","MS","28","021","H1"
"84028023","28023","Clarke County","MS","28","023","H1"
"84028025","28025","Clay County","MS","28","025","H1"
"84028027","28027","Coahoma County","MS","28","027","H1"
"84028029","28029","Copiah County","MS","28","029","H1"
"84028031","28031","Covington County","MS","28","031","H1"
"84028033","28033","DeSoto County","MS","28","033","H1"
"84028035","28035","Forrest County","MS","28","035","H1"
"84028037","28037","Franklin County","MS","28","037","H1"
"84028039","28039","George County","MS","28","039","H1"
"84028041","28041","Greene County","MS","28","041","H1"
"84028043","28043","Grenada County","MS","28","043","H1"
"84028045","28045","Hancock County","MS","28","045","H1"
"84028047","28047","Harrison County","MS","28","047","H1"
"84028049","28049","Hinds County","MS","28","049","H1"
"84028051","28051","Holmes County","MS","28","051","H1"
"84028053","28053","Humphreys County","MS","28","053","H1"
"84028055","28055","Issaquena County","MS","28","055","H1"
"84028057","28057","Itawamba County","MS","28","057","H1"
"84028059","28059","Jackson County","MS","28","059","H1"
"84028061","28061","Jasper County","MS","28","061","H1"
"84028063","28063","Jefferson County","MS","28","063","H1"
"84028065","28065","Jefferson Davis County","MS","28","065","H1"
"84028067","28067","Jones County","MS","28","067","H1"
"84028069","28069","Kemper County","MS","28","069","H1"
"84028071","28071","Lafayette County","MS","28","071","H1"
"84028073","28073","Lamar County","MS","28","073","H1"
"84028075","28075","Lauderdale County","MS","28","075","H1"
"84028077","28077","Lawrence County","MS","28","077","H1"
"84028079","28079","Leake County","MS","28","079","H1"
"84028081","28081","Lee County","MS","28","081","H1"
"84028083","28083","Leflore County","MS","28","083","H1"
"84028085","28085","Lincoln County","MS","28","085","H1"
"84028087","28087","Lowndes County","MS","28","087","H1"
"84028089","28089","Madison County","MS","28","089","H1"
"84028091","28091","Marion County","MS","28","091","H1"
"84028093","28093","Marshall County","MS","28","093","H1"
"84028095","28095","Monroe County","MS","28","095","H1"
"84028097","28097","Montgomery County","MS","28","097","H1"
"84028099","28099","Neshoba County","MS","28","099","H1"
"84028101","28101","Newton County","MS","28","101","H1"
"84028103","28103","Noxubee County","MS","28","103","H1"
"84028105","28105","Oktibbeha County","MS","28","105","H1"
"84028107","28107","Panola County","MS","28","107","H1"
"84028109","28109","Pearl River County","MS","28","109","H1"
"84028111","28111","Perry County","MS","28","111","H1"
"84028113","28113","Pike County","MS","28","113","H1"
"84028115","28115","Pontotoc County","MS","28","115","H1"
"84028117","28117","Prentiss County","MS","28","117","H1"
"84028119","28119","Quitman County","MS","28","119","H1"
"84028121","28121","Rankin County","MS","28","121","H1"
"84028123","28123","Scott County","MS","28","123","H1"
"84028125","28125","Sharkey County","MS","28","125","H1"
"84028127","28127","Simpson County","MS","28","127","H1"
"84028129","28129","Smith County","MS","28","129","H1"
"84028131","28131","Stone County","MS","28","131","H1"
"84028133","28133","Sunflower County","MS","28","133","H1"
"84028135","28135","Tallahatchie County","MS","28","135","H1"
"84028137","28137","Tate County","MS","28","137","H1"
"84028139","28139","Tippah County","MS","28","139","H1"
"84028141","28141","Tishomingo County","MS","28","141","H1"
"84028143","28143","Tunica County","MS","28","143","H1"
"84028145","28145","Union County","MS","28","145","H1"
"84028147","28147","Walthall County","MS","28","147","H1"
"84028149","28149","Warren County","MS","28","149","H1"
"84028151","28151","Washington County","MS","28","151","H1"
"84028153","28153","Wayne County","MS","28","153","H1"
"84028155","28155","Webster County","MS","28","155","H1"
"84028157","28157","Wilkinson County","MS","28","157","H1"
"84028159","28159","Winston County","MS","28","159","H1"
"84028161","28161","Yalobusha County","MS","28","161","H1"
"84028163","28163","Yazoo County","MS","28","163","H1"
