"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84029001","29001","Adair County","MO","29","001","H1"
"84029003","29003","Andrew County","MO","29","003","H1"
"84029005","29005","Atchison County","MO","29","005","H1"
"84029007","29007","Audrain County","MO","29","007","H1"
"84029009","29009","Barry County","MO","29","009","H1"
"84029011","29011","Barton County","MO","29","011","H1"
"84029013","29013","Bates County","MO","29","013","H1"
"84029015","29015","Benton County","MO","29","015","H1"
"84029017","29017","Bollinger County","MO","29","017","H1"
"84029019","29019","Boone County","MO","29","019","H1"
"84029021","29021","Buchanan County","MO","29","021","H1"
"84029023","29023","Butler County","MO","29","023","H1"
"84029025","29025","Caldwell County","MO","29","025","H1"
"84029027","29027","Callaway County","MO","29","027","H1"
"84029029","29029","Camden County","MO","29","029","H1"
"84029031","29031","Cape Girardeau County","MO","29","031","H1"
"84029033","29033","Carroll County","MO","29","033","H1"
"84029035","29035","Carter County","MO","29","035","H1"
"84029037","29037","Cass County","MO","29","037","H1"
"84029039","29039","Cedar County","MO","29","039","H1"
"84029041","29041","Chariton County","MO","29","041","H1"
"84029043","29043","Christian County","MO","29","043","H1"
"84029045","29045","Clark County","MO","29","045","H1"
"84029047","29047","Clay County","MO","29","047","H1"
"84029049","29049","Clinton County","MO","29","049","H1"
"84029051","29051","Cole County","MO","29","051","H1"
"84029053","29053","Cooper County","MO","29","053","H1"
"84029055","29055","Crawford County","MO","29","055","H1"
"84029057","29057","Dade County","MO","29","057","H1"
"84029059","29059","Dallas County","MO","29","059","H1"
"84029061","29061","Daviess County","MO","29","061","H1"
"84029063","29063","DeKalb County","MO","29","063","H1"
"84029065","29065","Dent County","MO","29","065","H1"
"84029067","29067","Douglas County","MO","29","067","H1"
"84029069","29069","Dunklin County","MO","29","069","H1"
"84029071","29071","Franklin County","MO","29","071","H1"
"84029073","29073","Gasconade County","MO","29","073","H1"
"84029075","29075","Gentry County","MO","29","075","H1"
"84029077","29077","Greene County","MO","29","077","H1"
"84029079","29079","Grundy County","MO","29","079","H1"
"84029081","29081","Harrison County","MO","29","081","H1"
"84029083","29083","Henry County","MO","29","083","H1"
"84029085","29085","Hickory County","MO","29","085","H1"
"84029087","29087","Holt County","MO","29","087","H1"
"84029089","29089","Howard County","MO","29","089","H1"
"84029091","29091","Howell County","MO","29","091","H1"
"84029093","29093","Iron County","MO","29","093","H1"
"84029095","29095","Jackson County","MO","29","095","H1"
"84029097","29097","Jasper County","MO","29","097","H1"
"84029099","29099","Jefferson County","MO","29","099","H1"
"84029101","29101","Johnson County","MO","29","101","H1"
"84029103","29103","Knox County","MO","29","103","H1"
"84029105","29105","Laclede County","MO","29","105","H1"
"84029107","29107","Lafayette County","MO","29","107","H1"
"84029109","29109","Lawrence County","MO","29","109","H1"
"84029111","29111","Lewis County","MO","29","111","H1"
"84029113","29113","Lincoln County","MO","29","113","H1"
"84029115","29115","Linn County","MO","29","115","H1"
"84029117","29117","Livingston County","MO","29","117","H1"
"84029119","29119","McDonald County","MO","29","119","H1"
"84029121","29121","Macon County","MO","29","121","H1"
"84029123","29123","Madison County","MO","29","123","H1"
"84029125","29125","Maries County","MO","29","125","H1"
"84029127","29127","Marion County","MO","29","127","H1"
"84029129","29129","Mercer County","MO","29","129","H1"
"84029131","29131","Miller County","MO","29","131","H1"
"84029133","29133","Mississippi County","MO","29","133","H1"
"84029135","29135","Moniteau County","MO","29","135","H1"
"84029137","29137","Monroe County","MO","29","137","H1"
"84029139","29139","Montgomery County","MO","29","139","H1"
"84029141","29141","Morgan County","MO","29","141","H1"
"84029143","29143","New Madrid County","MO","29","143","H1"
"84029145","29145","Newton County","MO","29","145","H1"
"84029147","29147","Nodaway County","MO","29","147","H1"
"84029149","29149","Oregon County","MO","29","149","H1"
"84029151","29151","Osage County","MO","29","151","H1"
"84029153","29153","Ozark County","MO","29","153","H1"
"84029155","29155","Pemiscot County","MO","29","155","H1"
"84029157","29157","Perry County","MO","29","157","H1"
"84029159","29159","Pettis County","MO","29","159","H1"
"84029161","29161","Phelps County","MO","29","161","H1"
"84029163","29163","Pike County","MO","29","163","H1"
"84029165","29165","Platte County","MO","29","165","H1"
"84029167","29167","Polk County","MO","29","167","H1"
"84029169","29169","Pulaski County","MO","29","169","H1"
"84029171","29171","Putnam County","MO","29","171","H1"
"84029173","29173","Ralls County","MO","29","173","H1"
"84029175","29175","Randolph County","MO","29","175","H1"
"84029177","29177","Ray County","MO","29","177","H1"
"84029179","29179","Reynolds County","MO","29","179","H1"
"84029181","29181","Ripley County","MO","29","181","H1"
"84029183","29183","St. Charles County","MO","29","183","H1"
"84029185","29185","St. Clair County","MO","29","185","H1"
"84029186","29186","Ste. Genevieve County","MO","29","186","H1"
"84029187","29187","St. Francois County","MO","29","187","H1"
"84029189","29189","St. Louis County","MO","29","189","H1"
"84029195","29195","Saline County","MO","29","195","H1"
"84029197","29197","Schuyler County","MO","29","197","H1"
"84029199","29199","Scotland County","MO","29","199","H1"
"84029201","29201","Scott County","MO","29","201","H1"
"84029203","29203","Shannon County","MO","29","203","H1"
"84029205","29205","Shelby County","MO","29","205","H1"
"84029207","29207","Stoddard County","MO","29","207","H1"
"84029209","29209","Stone County","MO","29","209","H1"
"84029211","29211","Sullivan County","MO","29","211","H1"
"84029213","29213","Taney County","MO","29","213","H1"
"84029215","29215","Texas County","MO","29","215","H1"
"84029217","29217","Vernon County","MO","29","217","H1"
"84029219","29219","Warren County","MO","29","219","H1"
"84029221","29221","Washington County","MO","29","221","H1"
"84029223","29223","Wayne County","MO","29","223","H1"
"84029225","29225","Webster County","MO","29","225","H1"
"84029227","29227","Worth County","MO","29","227","H1"
"84029229","29229","Wright County","MO","29","229","H1"
"84029510","29510","St. Louis city","MO","29","510","C7"
