"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84030001","30001","Beaverhead County","MT","30","001","H1"
"84030003","30003","Big Horn County","MT","30","003","H1"
"84030005","30005","Blaine County","MT","30","005","H1"
"84030007","30007","Broadwater County","MT","30","007","H1"
"84030009","30009","Carbon County","MT","30","009","H1"
"84030011","30011","Carter County","MT","30","011","H1"
"84030013","30013","Cascade County","MT","30","013","H1"
"84030015","30015","Chouteau County","MT","30","015","H1"
"84030017","30017","Custer County","MT","30","017","H1"
"84030019","30019","Daniels County","MT","30","019","H1"
"84030021","30021","Dawson County","MT","30","021","H1"
"84030023","30023","Deer Lodge County","MT","30","023","H6"
"84030025","30025","Fallon County","MT","30","025","H1"
"84030027","30027","Fergus County","MT","30","027","H1"
"84030029","30029","Flathead County","MT","30","029","H1"
"84030031","30031","Gallatin County","MT","30","031","H1"
"84030033","30033","Garfield County","MT","30","033","H1"
"84030035","30035","Glacier County","MT","30","035","H1"
"84030037","30037","Golden Valley County","MT","30","037","H1"
"84030039","30039","Granite County","MT","30","039","H1"
"84030041","30041","Hill County","MT","30","041","H1"
"84030043","30043","Jefferson County","MT","30","043","H1"
"84030045","30045","Judith Basin County","MT","30","045","H1"
"84030047","30047","Lake County","MT","30","047","H1"
"84030049","30049","Lewis and Clark County","MT","30","049","H1"
"84030051","30051","Liberty County","MT","30","051","H1"
"84030053","30053","Lincoln County","MT","30","053","H1"
"84030055","30055","McCone County","MT","30","055","H1"
"84030057","30057","Madison County","MT","30","057","H1"
"84030059","30059","Meagher County","MT","30","059","H1"
"84030061","30061","Mineral County","MT","30","061","H1"
"84030063","30063","Missoula County","MT","30","063","H1"
"84030065","30065","Musselshell County","MT","30","065","H1"
"84030067","30067","Park County","MT","30","067","H1"
"84030069","30069","Petroleum County","MT","30","069","H1"
"84030071","30071","Phillips County","MT","30","071","H1"
"84030073","30073","Pondera County","MT","30","073","H1"
"84030075","30075","Powder River County","MT","30","075","H1"
"84030077","30077","Powell County","MT","30","077","H1"
"84030079","30079","Prairie County","MT","30","079","H1"
"84030081","30081","Ravalli County","MT","30","081","H1"
"84030083","30083","Richland County","MT","30","083","H1"
"84030085","30085","Roosevelt County","MT","30","085","H1"
"84030087","30087","Rosebud County","MT","30","087","H1"
"84030089","30089","Sanders County","MT","30","089","H1"
"84030091","30091","Sheridan County","MT","30","091","H1"
"84030093","30093","Silver Bow County","MT","30","093","H6"
"84030095","30095","Stillwater County","MT","30","095","H1"
"84030097","30097","Sweet Grass County","MT","30","097","H1"
"84030099","30099","Teton County","MT","30","099","H1"
"84030101","30101","Toole County","MT","30","101","H1"
"84030103","30103","Treasure County","MT","30","103","H1"
"84030105","30105","Valley County","MT","30","105","H1"
"84030107","30107","Wheatland County","MT","30","107","H1"
"84030109","30109","Wibaux County","MT","30","109","H1"
"84030111","30111","Yellowstone County","MT","30","111","H1"
