"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84031001","31001","Adams County","NE","31","001","H1"
"84031003","31003","Antelope County","NE","31","003","H1"
"84031005","31005","Arthur County","NE","31","005","H1"
"84031007","31007","Banner County","NE","31","007","H1"
"84031009","31009","Blaine County","NE","31","009","H1"
"84031011","31011","Boone County","NE","31","011","H1"
"84031013","31013","Box Butte County","NE","31","013","H1"
"84031015","31015","Boyd County","NE","31","015","H1"
"84031017","31017","Brown County","NE","31","017","H1"
"84031019","31019","Buffalo County","NE","31","019","H1"
"84031021","31021","Burt County","NE","31","021","H1"
"84031023","31023","Butler County","NE","31","023","H1"
"84031025","31025","Cass County","NE","31","025","H1"
"84031027","31027","Cedar County","NE","31","027","H1"
"84031029","31029","Chase County","NE","31","029","H1"
"84031031","31031","Cherry County","NE","31","031","H1"
"84031033","31033","Cheyenne County","NE","31","033","H1"
"84031035","31035","Clay County","NE","31","035","H1"
"84031037","31037","Colfax County","NE","31","037","H1"
"84031039","31039","Cuming County","NE","31","039","H1"
"84031041","31041","Custer County","NE","31","041","H1"
"84031043","31043","Dakota County","NE","31","043","H1"
"84031045","31045","Dawes County","NE","31","045","H1"
"84031047","31047","Dawson County","NE","31","047","H1"
"84031049","31049","Deuel County","NE","31","049","H1"
"84031051","31051","Dixon County","NE","31","051","H1"
"84031053","31053","Dodge County","NE","31","053","H1"
"84031055","31055","Douglas County","NE","31","055","H1"
"84031057","31057","Dundy County","NE","31","057","H1"
"84031059","31059","Fillmore County","NE","31","059","H1"
"84031061","31061","Franklin County","NE","31","061","H1"
"84031063","31063","Frontier County","NE","31","063","H1"
"84031065","31065","Furnas County","NE","31","065","H1"
"84031067","31067","Gage County","NE","31","067","H1"
"84031069","31069","Garden County","NE","31","069","H1"
"84031071","31071","Garfield County","NE","31","071","H1"
"84031073","31073","Gosper County","NE","31","073","H1"
"84031075","31075","Grant County","NE","31","075","H1"
"84031077","31077","Greeley County","NE","31","077","H1"
"84031079","31079","Hall County","NE","31","079","H1"
"84031081","31081","Hamilton County","NE","31","081","H1"
"84031083","31083","Harlan County","NE","31","083","H1"
"84031085","31085","Hayes County","NE","31","085","H1"
"84031087","31087","Hitchcock County","NE","31","087","H1"
"84031089","31089","Holt County","NE","31","089","H1"
"84031091","31091","Hooker County","NE","31","091","H1"
"84031093","31093","Howard County","NE","31","093","H1"
"84031095","31095","Jefferson County","NE","31","095","H1"
"84031097","31097","Johnson County","NE","31","097","H1"
"84031099","31099","Kearney County","NE","31","099","H1"
"84031101","31101","Keith County","NE","31","101","H1"
"84031103","31103","Keya Paha County","NE","31","103","H1"
"84031105","31105","Kimball County","NE","31","105","H1"
"84031107","31107","Knox County","NE","31","107","H1"
"84031109","31109","Lancaster County","NE","31","109","H1"
"84031111","31111","Lincoln County","NE","31","111","H1"
"84031113","31113","Logan County","NE","31","113","H1"
"84031115","31115","Loup County","NE","31","115","H1"
"84031117","31117","McPherson County","NE","31","117","H1"
"84031119","31119","Madison County","NE","31","119","H1"
"84031121","31121","Merrick County","NE","31","121","H1"
"84031123","31123","Morrill County","NE","31","123","H1"
"84031125","31125","Nance County","NE","31","125","H1"
"84031127","31127","Nemaha County","NE","31","127","H1"
"84031129","31129","Nuckolls County","NE","31","129","H1"
"84031131","31131","Otoe County","NE","31","131","H1"
"84031133","31133","Pawnee County","NE","31","133","H1"
"84031135","31135","Perkins County","NE","31","135","H1"
"84031137","31137","Phelps County","NE","31","137","H1"
"84031139","31139","Pierce County","NE","31","139","H1"
"84031141","31141","Platte County","NE","31","141","H1"
"84031143","31143","Polk County","NE","31","143","H1"
"84031145","31145","Red Willow County","NE","31","145","H1"
"84031147","31147","Richardson County","NE","31","147","H1"
"84031149","31149","Rock County","NE","31","149","H1"
"84031151","31151","Saline County","NE","31","151","H1"
"84031153","31153","Sarpy County","NE","31","153","H1"
"84031155","31155","Saunders County","NE","31","155","H1"
"84031157","31157","Scotts Bluff County","NE","31","157","H1"
"84031159","31159","Seward County","NE","31","159","H1"
"84031161","31161","Sheridan County","NE","31","161","H1"
"84031163","31163","Sherman County","NE","31","163","H1"
"84031165","31165","Sioux County","NE","31","165","H1"
"84031167","31167","Stanton County","NE","31","167","H1"
"84031169","31169","Thayer County","NE","31","169","H1"
"84031171","31171","Thomas County","NE","31","171","H1"
"84031173","31173","Thurston County","NE","31","173","H1"
"84031175","31175","Valley County","NE","31","175","H1"
"84031177","31177","Washington County","NE","31","177","H1"
"84031179","31179","Wayne County","NE","31","179","H1"
"84031181","31181","Webster County","NE","31","181","H1"
"84031183","31183","Wheeler County","NE","31","183","H1"
"84031185","31185","York County","NE","31","185","H1"
