"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84032001","32001","Churchill County","NV","32","001","H1"
"84032003","32003","Clark County","NV","32","003","H1"
"84032005","32005","Douglas County","NV","32","005","H1"
"84032007","32007","Elko County","NV","32","007","H1"
"84032009","32009","Esmeralda County","NV","32","009","H1"
"84032011","32011","Eureka County","NV","32","011","H1"
"84032013","32013","Humboldt County","NV","32","013","H1"
"84032015","32015","Lander County","NV","32","015","H1"
"84032017","32017","Lincoln County","NV","32","017","H1"
"84032019","32019","Lyon County","NV","32","019","H1"
"84032021","32021","Mineral County","NV","32","021","H1"
"84032023","32023","Nye County","NV","32","023","H1"
"84032027","32027","Pershing County","NV","32","027","H1"
"84032029","32029","Storey County","NV","32","029","H1"
"84032031","32031","Washoe County","NV","32","031","H1"
"84032033","32033","White Pine County","NV","32","033","H1"
"84032510","32510","Carson City","NV","32","510","C7"
