"id","fips","county_name","state_code","state_fips","county_fips","class_fips"
"84033001","33001","Belknap County","NH","33","001","H1"
"84033003","33003","Carroll County","NH","33","003","H1"
"84033005","33005","Cheshire County","NH","33","005","H1"
"84033007","33007","Coos County","NH","33","007","H1"
"84033009","33009","Grafton County","NH","33","009","H1"
"84033011","33011","Hillsborough County","NH","33","011","H1"
"84033013","33013","Merrimack County","NH","33","013","H1"
"84033015","33015","Rockingham County","NH","33","015","H1"
"84033017","33017","Strafford County","NH","33","017","H1"
"84033019","33019","Sullivan County","NH","33","019","H1"
